year	delta	season
1808	30	w
1808	32	w
1815	34	s
1817	40	s
1817	33	s
1822	33	s
1823	31	w
1823	29	w
1823	27	w
1823	31	w
1823	28	w
1823	29	w
1823	28	w
1823	24	s
1823	27	s
1823	28	s
1823	28	s
1823	25	s
1823	29	s
1823	27	s
1823	25	s
1823	26	s
1824	29	w
1824	29	w
1824	29	w
1824	27	w
1827	23	s
1827	25	s
1827	29	s
1829	22	w
1830	23	w
1832	21	w
1836	18	w
1842	13	w
1842	15	w
1842	12	w
1842	13	w
1843	11	s
1843	12	s
1854	7	s
1854	5	s
1854	7	s
1854	7	s
1855	8	s
1865	3	w
1872	3	s
1873	2	s
1873	3	s
1873	2	s
1873	2	s
1873	2	s
1873	4	s
1873	4	s
1873	3	s
1873	2	s
1873	2	s
1873	5	w
1874	4	w
1874	3	s
1874	3	s
1874	3	s
1874	3	s
1874	4	s
1875	3	s
1877	3	w
1878	4	s
1878	2	s
