year	delta
1803	14
1806	20
1806	26
1809	24
1809	21
1809	26
1809	21
1809	25
1810	23
1811	42
1812	19
1812	19
1812	19
1813	18
1814	20
1814	22
1814	22
1815	24
1815	22
1817	25
1818	21
1818	22
1819	23
1831	11
1832	18
1833	27
1834	13
1834	12
1838	8
1838	20
1838	16
1838	10
1839	10
1839	19
1839	26
1841	26
1841	18
1842	8
1842	16
1842	9
1844	7
1844	25
1845	17
1845	15
1845	16
1845	8
1845	9
1845	8
1845	11
1845	8
1845	10
1845	8
1845	7
1845	14
1845	17
1845	8
1845	14
1845	20
1845	17
1845	16
1845	13
1845	14
1846	10
1846	14
1846	9
1846	8
1846	9
1846	12
1846	9
1846	11
1846	12
1846	10
1846	15
1846	10
1846	10
1846	7
1846	13
1846	6
1846	8
1846	11
1846	8
1846	12
1846	11
1846	6
1846	13
1846	11
1846	5
1846	6
1846	7
1846	12
1846	7
1846	10
1846	15
1846	15
1846	16
1847	16
1847	6
1847	12
1847	10
1847	12
1847	8
1847	8
1847	13
1847	6
1847	11
1847	10
1847	10
1847	10
1847	8
1847	7
1848	6
1848	12
1848	7
1848	5
1848	14
1848	9
1848	9
1848	7
1848	7
1848	8
1848	7
1848	5
1848	9
1848	7
1848	6
1848	9
1848	6
1848	6
1848	7
1848	6
1848	7
1848	8
1848	6
1848	7
1848	5
1848	8
1848	8
1848	6
1848	6
1848	6
1848	7
1848	6
1848	6
1848	8
1848	7
1848	10
1848	6
1848	6
1848	7
1848	10
1848	5
1848	7
1848	6
1848	8
1848	8
1848	6
1848	6
1848	11
1848	6
1848	6
1848	7
1848	7
1848	6
1848	6
1848	7
1848	11
1849	9
1849	8
1849	8
1850	11
1850	27
1850	7
1850	7
1850	12
1851	6
1852	6
1853	8
1853	8
1853	9
1853	9
1854	6
1854	6
1854	7
1854	7
1854	4
1854	7
1854	8
1856	5
1856	4
1857	7
1857	5
1857	5
1857	9
1858	5
1858	10
1858	13
1858	6
1858	7
1858	6
1858	8
1858	9
1858	4
1858	13
1859	7
1859	5
1859	8
1860	7
1860	6
1861	7
1861	9
1861	6
1861	7
1861	6
1861	6
1861	6
1861	6
1861	6
1861	8
1861	7
1861	12
1861	8
1862	6
1862	9
1862	7
1862	9
1863	5
1863	4
1863	4
1863	8
1863	7
1864	4
1864	7
1867	19
1867	6
1867	9
1867	30
1868	11
1868	24
1868	3
1868	3
1869	4
1869	6
1871	2
1871	5
1871	6
1872	3
1872	6
1872	5
1872	5
1872	4
1872	5
1872	5
1872	4
1872	3
1872	4
1872	3
1872	5
1872	6
1872	5
1872	5
1872	2
1872	2
1872	2
1872	4
1873	2
1873	5
1873	6
1873	4
1873	3
1873	2
1873	4
1873	3
1873	4
1873	4
1873	5
1873	3
1873	4
1873	5
1873	3
1873	4
1873	3
1873	2
1873	10
1873	2
1873	4
1873	2
1873	7
1873	3
1873	3
1873	4
1873	5
1873	4
1873	2
1873	4
1873	4
1873	2
1873	2
1873	5
1873	3
1873	3
1873	6
1873	2
1873	3
1873	4
1873	3
1873	6
1873	3
1873	1
1873	3
1873	5
1873	2
1873	4
1873	3
1873	2
1873	3
1873	5
1873	3
1873	2
1874	5
1874	3
1874	1
1874	2
1874	2
1874	4
1874	2
1874	4
1874	5
1874	3
1874	5
1874	3
1874	6
1874	7
1874	3
1874	3
1874	2
1874	2
1874	3
1874	2
1874	1
1874	3
1874	4
1874	4
1874	2
1874	5
1874	3
1874	6
1874	5
1874	4
1874	6
1874	2
1874	4
1874	6
1874	4
1874	3
1874	5
1874	5
1874	3
1874	2
1874	6
1874	6
1874	5
1874	3
1874	3
1874	3
1874	4
1874	5
1874	3
1874	3
1874	3
1874	7
1874	4
1874	3
1875	2
1875	3
1875	3
1875	5
1875	5
1875	5
1875	6
1875	4
1875	3
1875	5
1875	5
1875	2
1875	3
1875	3
1875	3
1875	3
1875	3
1875	6
1875	3
1875	3
1875	2
1875	6
1876	2
1876	5
1876	3
1876	3
1876	3
1876	5
1876	2
1876	2
1876	4
1876	4
1876	3
1877	5
1877	2
1877	5
1877	4
1877	3
1877	2
1877	6
1877	2
1877	3
1877	3
1877	5
1877	2
1877	4
1877	5
1877	3
1878	2
1878	3
1878	1
1878	3
1878	2
1878	2
1878	4
1878	2
1878	5
1878	5
1878	2
1878	2
1878	2
1878	2
1878	2
1878	2
1878	4
1878	4
1878	3
1879	1
1879	2
1879	3
1879	3
1879	6
1879	3
1879	4
1879	2
1880	2
1880	2
1880	2
1880	1
1880	3
1880	2
1880	2
1880	5
1880	2
1880	2
1880	4
1881	2
1881	2
1881	2
1881	2
1883	2
1883	2
1883	1
1883	2
1884	4
1884	2
1885	3
1885	3
1885	2
1886	1
1886	2
1886	2
1886	3
1886	2
1887	2
1887	2
1887	2
1888	1
1888	2
1888	2
1888	1
1888	3
1888	2
