year	delta
1805	24
1805	21
1811	15
1814	15
1824	19
1825	17
1825	14
1827	12
1829	9
1830	10
1836	20
1838	7
1838	8
1838	7
1838	7
1840	4
1840	6
1842	13
1842	13
1842	6
1843	13
1843	9
1843	7
1843	6
1843	6
1843	6
1843	6
1843	6
1843	6
1843	16
1843	7
1844	12
1844	5
1844	5
1844	5
1845	6
1845	9
1845	5
1845	6
1845	6
1846	7
1846	7
1846	6
1846	6
1846	5
1846	5
1846	6
1846	5
1846	5
1846	6
1847	6
1847	7
1847	7
1847	6
1847	6
1847	6
1848	6
1848	6
1848	5
1848	5
1848	4
1848	6
1848	6
1848	5
1848	6
1848	6
1848	5
1848	6
1848	7
1848	5
1848	6
1848	6
1848	5
1848	5
1848	7
1848	5
1848	5
1848	5
1848	6
1848	4
1848	8
1849	8
1849	6
1849	6
1849	6
1849	5
1850	6
1850	8
1850	5
1850	5
1850	6
1851	6
1851	5
1851	12
1851	12
1852	6
1852	5
1852	5
1853	4
1854	4
1854	4
1855	3
1855	4
1855	3
1855	3
1855	6
1855	9
1856	4
1856	3
1856	8
1857	5
1857	4
1857	8
1857	4
1857	3
1857	2
1857	3
1857	3
1857	3
1857	3
1858	3
1858	4
1858	6
1858	4
1859	7
1859	3
1859	3
1859	4
1859	4
1859	3
1860	5
1860	5
1860	4
1860	4
1860	6
1860	4
1860	4
1860	4
1860	7
1860	5
1860	5
1860	4
1860	7
1860	7
1863	10
1864	2
1866	2
1867	1
1867	2
1867	6
1867	2
1868	1
1870	4
1872	2
1873	2
1874	1
1874	3
1875	2
1875	3
1875	2
1878	4
1878	4
1878	2
1878	3
1883	1
1884	2
1884	2
1884	2
1885	1
1885	1
1886	2
1886	2
1887	1
1887	2
1887	1
1887	1
1888	1
1888	2
1888	1
1888	1
1888	13
1888	21
1888	2
1888	1
