year	delta
1805	24
1805	29
1805	28
1805	30
1808	29
1809	24
1809	23
1809	24
1809	26
1809	24
1809	25
1809	23
1809	19
1809	26
1809	19
1809	22
1809	19
1809	26
1809	26
1810	26
1810	24
1812	19
1812	21
1812	21
1813	18
1813	19
1813	19
1813	16
1813	21
1813	20
1813	28
1813	26
1813	28
1813	19
1813	22
1815	23
1815	24
1817	23
1818	24
1818	27
1822	20
1824	25
1827	16
1831	19
1833	21
1833	10
1833	10
1833	11
1833	22
1833	21
1834	9
1834	21
1835	21
1835	20
1835	10
1835	11
1835	11
1835	13
1835	10
1835	12
1836	12
1836	20
1836	13
1836	24
1836	12
1836	21
1836	10
1836	9
1836	11
1836	10
1836	11
1836	13
1836	11
1836	10
1837	11
1837	27
1838	11
1838	10
1838	10
1840	8
1841	18
1841	10
1841	9
1841	9
1841	8
1842	14
1842	11
1842	10
1842	14
1843	14
1843	8
1844	10
1844	9
1844	8
1844	10
1844	11
1844	27
1844	10
1845	10
1845	10
1845	21
1845	11
1846	14
1846	11
1846	13
1846	10
1847	15
1847	13
1847	11
1847	20
1847	9
1848	14
1848	18
1848	15
1848	8
1848	9
1848	9
1848	14
1848	9
1848	7
1848	10
1848	14
1848	10
1848	7
1848	9
1848	9
1848	9
1848	14
1848	9
1848	8
1848	12
1848	8
1848	10
1848	9
1848	12
1848	9
1848	8
1848	10
1848	9
1848	11
1848	7
1848	8
1848	7
1848	9
1848	7
1848	6
1848	8
1848	8
1848	9
1848	8
1848	7
1848	9
1848	9
1848	7
1848	10
1849	9
1849	8
1849	7
1849	8
1849	10
1849	10
1849	10
1849	9
1849	8
1849	11
1849	7
1849	10
1849	7
1849	10
1849	9
1849	9
1849	6
1849	9
1849	11
1849	9
1850	7
1850	16
1850	10
1850	9
1850	9
1850	6
1850	10
1850	11
1850	9
1850	9
1850	7
1850	9
1850	9
1850	8
1850	9
1850	9
1851	6
1851	6
1851	7
1851	8
1851	6
1851	8
1851	6
1851	6
1851	6
1851	8
1851	14
1851	7
1852	10
1852	7
1852	7
1852	7
1852	8
1852	8
1852	11
1853	7
1853	9
1853	9
1853	8
1853	7
1853	7
1854	7
1854	9
1854	7
1854	6
1854	7
1854	10
1854	6
1854	9
1855	11
1855	5
1855	5
1855	10
1856	10
1856	5
1856	5
1856	6
1856	9
1856	6
1856	6
1857	6
1857	6
1857	15
1857	11
1857	6
1857	4
1858	16
1858	12
1858	11
1858	8
1858	6
1858	6
1858	6
1858	70
1859	10
1860	7
1861	7
1861	6
1861	6
1861	8
1861	7
1861	7
1861	7
1861	7
1861	7
1861	7
1862	13
1862	7
1863	8
1863	6
1864	8
1865	2
1865	5
1866	4
1866	4
1866	4
1866	4
1866	3
1866	7
1866	3
1866	3
1866	5
1866	6
1867	2
1867	4
1867	9
1867	8
1868	2
1868	2
1868	3
1868	3
1868	5
1868	6
1868	3
1868	7
1868	1
1868	5
1868	3
1868	8
1868	3
1869	2
1869	2
1869	2
1869	3
1869	3
1869	3
1869	4
1869	3
1869	3
1869	2
1869	6
1869	5
1869	3
1869	2
1869	8
1869	7
1870	6
1870	3
1870	8
1870	2
1870	6
1870	5
1870	4
1870	6
1870	3
1870	2
1870	5
1870	2
1870	6
1870	6
1870	2
1870	4
1870	3
1870	2
1870	2
1870	2
1871	3
1871	5
1871	7
1871	5
1871	5
1871	6
1871	5
1871	5
1871	3
1871	6
1871	3
1871	1
1871	4
1871	3
1871	5
1871	6
1871	2
1871	3
1871	2
1871	6
1871	6
1871	3
1871	2
1871	6
1871	1
1871	5
1871	2
1871	6
1871	6
1871	5
1871	1
1872	1
1872	2
1872	2
1872	3
1873	3
1873	3
1874	3
1874	4
1874	3
1874	4
1874	3
1874	4
1874	3
1875	4
1875	3
1876	2
1876	1
1876	3
1876	2
1876	4
1876	4
1876	5
1876	5
1877	3
1877	5
1877	5
1877	3
1877	6
1877	3
1877	2
1877	3
1877	3
1877	3
1877	4
1878	3
1878	3
1878	4
1879	4
1879	3
1879	2
1879	3
1880	4
1880	3
1880	2
1880	3
1880	3
1880	3
1880	3
1881	2
1881	3
1881	3
1881	2
1881	2
1881	3
1881	3
1881	2
1881	4
1881	1
1881	3
1883	1
1883	3
1884	3
1884	2
1884	2
1884	3
1884	3
1884	3
1884	2
1885	1
1885	3
1885	2
1886	2
1886	2
1886	3
1886	1
1887	2
1887	4
1888	1
1888	1
1888	1
1888	1
1888	1
1888	3
