year	delta	season
1810	29	w
1827	25	w
1833	17	w
1843	11	s
1844	14	w
1844	13	w
1844	13	w
1847	9	w
1848	11	w
1848	14	w
1848	14	w
1848	10	w
1848	9	s
1848	10	s
1848	10	w
1848	9	w
1848	11	w
1849	10	w
1849	11	w
1849	9	s
1849	9	s
1849	8	s
1849	8	s
1849	8	s
1849	8	s
1849	10	s
1849	8	s
1849	8	s
1849	10	s
1849	8	s
1849	7	s
1849	9	s
1849	8	s
1849	9	s
1849	8	s
1849	8	s
1849	7	s
1849	7	s
1849	7	s
1849	9	s
1849	9	s
1849	8	s
1849	8	s
1849	7	s
1849	9	s
1849	7	s
1849	8	s
1849	9	s
1849	10	s
1849	7	s
1849	8	s
1849	8	s
1849	11	s
1849	7	s
1849	8	s
1849	8	s
1849	7	s
1849	8	w
1849	11	w
1850	10	w
1851	15	s
1853	9	w
1853	7	w
1859	13	w
1860	9	w
1861	7	w
1879	4	s
1880	4	s
