year	delta
1815	44
1828	30
1843	27
1844	29
1844	27
1845	22
1850	14
1854	77
1857	14
1857	17
1858	13
1858	10
1858	11
1858	16
1859	11
1859	11
1861	6
1861	3
1861	3
1861	4
1861	4
1861	7
1861	7
1861	4
1861	3
1861	3
1861	5
1861	8
1861	4
1861	6
1861	4
1862	4
1862	5
1862	4
1862	5
1862	4
1862	5
1862	4
1862	4
1862	5
1862	5
1862	9
1862	10
1862	4
1862	1
1862	4
1862	3
1863	16
1863	5
1863	7
1866	3
1875	1
1875	3
1875	4
1875	3
1875	1
1875	3
1875	1
1875	3
1875	4
1875	3
1875	3
1875	3
1875	1
1875	4
1875	3
1875	3
1875	1
1875	3
1875	3
1875	3
1875	3
1875	1
1875	2
1876	2
1876	1
1876	3
1876	1
1876	3
1876	3
1876	3
1876	3
1876	1
1876	2
1876	3
1876	3
1876	1
1876	16
1876	15
1876	2
1876	2
1876	1
1876	2
1876	1
1876	1
1876	2
1876	3
1876	2
1876	1
1876	2
1876	3
1876	3
1876	2
1876	3
1876	3
1876	3
1876	2
1876	3
1876	4
1876	3
1876	3
1876	3
1876	3
1876	2
1876	3
1876	4
1876	3
1876	3
1876	3
1876	3
1876	2
1876	3
1876	4
1876	2
1877	3
1877	3
1877	3
1877	3
1877	3
1877	9
1877	5
1877	3
1877	3
1877	3
1877	3
1877	4
1877	3
1877	3
1877	3
1878	2
1878	3
1878	3
1878	3
1878	3
1878	3
1878	3
1878	3
1879	3
1879	2
1880	2
1880	3
1880	3
1880	2
1880	3
1880	1
1880	3
1880	4
1880	3
1880	2
1880	1
1880	2
1880	1
1880	1
1880	3
1880	2
1880	2
1880	1
1880	1
1880	1
1880	1
1880	1
