year	delta	season
1848	7	w
1848	11	w
1849	9	w
1849	10	s
1849	7	s
1849	8	s
1849	7	s
1849	8	s
1849	10	s
1849	7	s
1849	10	s
1849	9	s
1849	11	s
1849	7	s
1849	8	s
1849	8	s
1849	9	s
1849	7	s
1849	7	s
1849	9	s
1849	9	s
1849	8	s
1849	9	s
1849	9	w
1849	8	w
1849	11	w
1849	11	w
1849	10	w
1850	13	w
1850	9	w
1850	8	s
1850	8	w
1850	11	w
1850	10	w
1851	9	w
1851	8	s
1851	9	s
1851	12	s
1851	9	s
1852	7	s
1852	8	s
1854	7	s
1855	7	s
1855	10	w
1856	6	s
1859	8	w
1859	8	w
1859	10	w
1859	10	w
1859	6	w
1860	8	s
1866	4	s
