year	delta	season
1802	26	w
1802	23	s
1802	22	s
1802	23	s
1802	22	s
1802	26	s
1802	20	w
1802	22	w
1803	22	w
1803	23	w
1803	22	w
1803	23	w
1803	22	s
1803	21	s
1803	25	s
1804	22	w
1804	22	s
1804	21	s
1804	22	s
1804	23	w
1805	26	s
1805	22	s
1805	23	s
1805	24	s
1805	22	s
1805	22	s
1805	23	s
1805	21	s
1805	21	s
1805	25	w
1806	26	w
1806	23	w
1806	29	w
1806	23	w
1806	23	s
1806	26	s
1806	23	s
1806	23	s
1806	23	s
1806	22	s
1806	26	s
1806	22	s
1809	26	s
1809	37	s
1809	25	s
1809	25	s
1809	26	s
1810	26	w
1810	26	w
1810	24	s
1811	31	s
1817	35	w
1837	12	s
1839	16	s
1840	14	s
1841	12	w
1842	10	w
1844	14	w
1845	9	s
1848	9	s
1849	12	w
1850	8	s
1856	10	w
1872	2	s
1880	2	w
