year	delta	season
1803	22	s
1807	26	w
1808	19	w
1822	17	w
1848	7	w
1848	8	w
1848	7	w
1848	8	w
1848	11	w
1848	6	w
1848	5	w
1848	7	w
1848	7	w
1848	6	w
1848	7	w
1848	6	w
1848	6	w
1848	7	w
1848	5	w
1848	7	w
1848	6	s
1848	6	s
1848	7	s
1848	7	s
1848	8	s
1848	7	s
1848	6	s
1848	6	s
1848	6	s
1848	7	s
1848	5	s
1848	6	s
1848	5	s
1848	5	s
1848	7	s
1848	6	s
1848	9	s
1848	8	s
1848	8	s
1848	6	s
1848	6	s
1848	7	s
1848	6	s
1848	5	s
1848	7	s
1848	6	s
1848	9	s
1848	6	s
1848	5	s
1848	5	s
1848	7	s
1848	6	s
1848	6	s
1848	6	s
1848	7	s
1848	5	s
1848	6	s
1848	7	s
1848	6	s
1848	7	s
1848	7	s
1848	7	s
1848	7	s
1848	8	s
1848	7	s
1848	6	s
1848	7	s
1848	7	s
1848	5	s
1848	9	s
1848	6	s
1848	5	s
1848	8	s
1848	6	s
1848	6	s
1848	6	s
1848	7	s
1848	6	s
1848	5	s
1848	5	s
1848	5	s
1848	6	s
1848	7	s
1848	5	s
1848	5	s
1848	7	s
1848	6	s
1848	6	s
1848	5	s
1848	5	s
1848	5	s
1848	7	s
1848	7	s
1848	6	s
1848	6	s
1848	6	s
1848	5	s
1848	7	s
1848	6	s
1848	5	w
1848	8	w
1848	7	w
1848	8	w
1848	7	w
1849	6	w
1849	6	s
1849	9	s
1849	7	s
1849	8	s
1850	11	w
1850	10	s
1850	7	s
1850	9	s
1850	6	s
1850	5	s
1850	5	s
1850	5	s
1850	6	s
1850	5	s
1850	6	s
1850	6	s
1850	4	s
1850	6	s
1850	7	s
1850	7	s
1850	5	s
1850	5	s
1850	7	s
1850	5	s
1850	7	s
1850	7	s
1850	6	s
1850	5	s
1850	5	s
1850	6	s
1850	5	s
1850	12	s
1850	7	s
1850	6	s
1850	7	s
1850	6	s
1850	7	s
1850	5	s
1850	5	s
1850	6	s
1850	6	s
1850	5	s
1850	6	s
1850	6	s
1850	6	s
1850	5	s
1850	6	s
1850	6	s
1850	7	s
1850	7	s
1850	6	s
1850	5	s
1850	5	s
1850	6	s
1850	5	s
1850	5	s
1850	6	s
1850	5	s
1850	7	s
1850	7	s
1850	6	s
1850	7	w
1850	7	w
1850	5	w
1850	6	w
1850	5	w
1850	9	w
1850	7	w
1850	6	w
1850	7	w
1850	7	w
1850	6	w
1850	5	w
1850	7	w
1850	7	w
1850	8	w
1851	2	w
1851	5	w
1851	5	w
1851	7	w
1851	6	w
1851	6	w
1851	7	w
1851	6	w
1851	10	w
1851	9	w
1851	7	w
1851	6	w
1851	6	w
1851	5	w
1851	6	w
1851	6	w
1851	6	w
1851	5	w
1851	7	w
1851	8	s
1851	8	s
1851	11	s
1851	7	s
1851	6	s
1851	7	s
1852	8	w
1852	7	w
1852	9	s
1852	8	s
1852	10	s
1852	9	s
1852	10	s
1852	11	s
1852	6	w
1852	12	w
1853	7	s
1853	7	s
1853	12	s
1853	6	s
1853	16	s
1853	9	s
1853	6	w
1853	7	w
1854	7	w
1854	11	s
1854	11	s
1854	6	w
1855	14	s
1857	10	w
1857	14	w
1858	8	s
1858	9	s
1858	8	s
1858	17	s
1858	7	s
1858	10	s
1858	5	s
1858	6	s
1858	8	s
1858	11	w
1858	6	w
1858	7	w
1858	7	w
1859	10	w
1859	8	w
1859	12	w
1859	7	w
1859	8	w
1859	10	s
1861	8	w
1861	7	s
1863	8	w
1864	7	w
1864	3	w
1864	4	w
1864	6	w
1864	8	w
1864	3	w
1864	3	w
1864	5	w
1864	4	w
1864	3	w
1864	5	w
1864	4	s
1864	5	s
1864	15	s
1864	13	s
1864	3	s
1864	2	s
1864	2	s
1864	3	w
1864	3	w
1865	3	s
1865	4	s
1865	3	s
1866	3	s
1866	4	s
1866	3	s
1867	6	w
1868	5	w
1868	3	w
1878	10	s
