year	delta	season
1802	10	s
1804	12	s
1804	15	s
1804	17	s
1806	25	s
1806	39	w
1809	74	w
1809	34	s
1810	46	w
1810	49	w
1810	27	s
1810	25	s
1810	32	s
1810	19	s
1810	25	s
1810	28	s
1810	30	w
1811	24	s
1812	21	s
1812	19	s
1813	21	s
1816	23	w
1817	14	w
1828	8	w
1833	21	s
1834	21	w
1835	4	w
1835	7	w
1836	20	w
1836	15	s
1836	12	s
1837	15	w
1837	15	s
1838	8	w
1838	8	w
1838	17	w
1838	15	s
1838	17	s
1838	11	s
1838	17	w
1839	346	w
1839	15	s
1839	15	s
1840	21	s
1840	15	s
1840	8	s
1841	11	w
1841	14	w
1841	10	s
1841	16	s
1841	38	w
1842	16	s
1842	18	s
1842	11	s
1842	14	w
1842	18	w
1843	17	w
1843	14	w
1843	10	s
1843	15	s
1843	12	s
1843	13	s
1843	18	s
1843	30	s
1844	14	w
1844	7	s
1844	27	w
1845	18	s
1845	6	w
1845	8	w
1845	10	w
1846	13	w
1846	19	w
1846	10	s
1846	15	w
1846	14	w
1846	5	w
1846	6	w
1846	6	w
1847	12	w
1847	13	w
1847	7	w
1847	16	w
1847	13	s
1847	20	s
1847	13	s
1847	21	s
1847	31	s
1847	18	s
1847	6	s
1847	4	w
1848	13	w
1848	24	s
1848	6	s
1848	8	s
1848	6	s
1848	14	w
1849	27	w
1849	8	w
1850	13	s
1850	4	w
1850	18	w
1851	9	s
1851	17	s
1852	42	w
1852	49	w
1852	9	w
1853	8	w
1853	8	w
1853	4	w
1853	52	w
1853	5	s
1853	24	s
1854	12	w
1854	16	w
1854	4	s
1854	4	s
1854	4	s
1854	8	s
1854	9	s
1854	5	s
1854	4	s
1854	28	s
1854	6	s
1854	7	s
1854	7	s
1854	5	s
1854	7	s
1854	5	w
1854	10	w
1854	11	w
1854	12	w
1855	16	s
1855	17	s
1855	14	s
1855	12	s
1855	7	s
1856	8	w
1856	8	s
1856	5	w
1856	7	w
1857	4	w
1857	6	s
1857	1	s
1857	10	s
1857	3	s
1857	3	s
1857	8	w
1858	3	w
1858	26	s
1858	5	w
1858	7	w
1858	35	w
1859	4	w
1859	4	w
1859	5	w
1859	11	w
1859	6	w
1859	4	w
1859	6	w
1859	7	w
1859	6	w
1859	16	w
1859	7	w
1859	7	w
1859	8	s
1859	5	s
1859	5	s
1859	5	s
1859	64	w
1859	4	s
1859	6	s
1859	6	s
1859	12	s
1859	5	s
1859	4	s
1859	4	s
1859	4	s
1859	7	s
1859	5	w
1859	5	w
1859	4	w
1859	4	w
1859	5	w
1859	9	w
