year	delta	season
1802	22	w
1802	20	s
1810	20	w
1810	26	s
1814	18	w
1814	25	w
1814	22	w
1815	19	w
1815	19	s
1815	19	s
1815	19	s
1815	19	s
1815	19	s
1815	42	s
1816	18	w
1816	19	w
1817	17	s
1817	21	w
1819	21	w
1826	23	s
1830	21	s
1831	22	s
1833	20	w
1833	20	w
1837	16	w
1838	21	w
1843	12	s
1843	13	w
1844	12	s
1844	16	s
1844	10	s
1844	14	s
1845	17	s
1845	10	s
1845	14	s
1847	13	w
1847	12	w
1847	18	w
1847	11	s
1847	11	s
1847	8	w
1848	17	s
1848	7	s
1849	8	w
1849	9	s
1849	10	w
1850	9	w
1851	8	s
1853	8	w
1853	7	w
1853	9	s
1853	9	w
1853	10	w
1854	9	w
1854	9	s
1855	13	w
1856	9	s
1856	8	w
1857	11	w
1857	6	w
1857	7	s
1857	8	s
1857	5	s
1857	9	s
1857	11	s
1858	11	s
1858	16	s
1859	7	w
1859	7	w
1860	8	s
1860	7	s
1860	7	w
1870	7	s
1873	8	s
1873	5	s
1873	6	s
