year	delta	season
1802	2	w
1804	1	w
1804	3	w
1804	5	w
1805	1	w
1805	5	w
1805	2	s
1806	2	w
1807	3	w
1807	2	w
1807	4	w
1807	3	s
1807	2	s
1807	4	s
1807	1	s
1807	9	s
1807	1	w
1807	2	w
1807	13	w
1807	5	w
1808	4	w
1808	1	w
1808	7	s
1808	2	s
1808	3	s
1808	1	s
1808	3	s
1808	2	w
1808	2	w
1809	1	w
1809	1	s
1809	1	s
1809	1	s
1809	15	s
1809	3	w
1810	27	w
1810	2	w
1810	4	s
1810	1	s
1810	3	s
1810	1	s
1810	1	s
1810	1	s
1811	5	w
1811	1	s
1811	4	s
1811	1	s
1811	1	w
1811	1	w
1811	1	w
1811	1	w
1812	1	w
1812	5	w
1812	9	w
1812	2	w
1812	1	s
1812	3	s
1812	3	s
1812	2	s
1812	1	s
1812	4	s
1812	3	s
1812	4	s
1812	3	s
1812	2	s
1812	4	s
1812	3	s
1812	2	s
1812	2	s
1812	1	s
1812	32	s
1812	4	w
1812	3	w
1812	1	w
1812	3	w
1812	3	w
1812	3	w
1812	1	w
1812	4	w
1812	3	w
1812	1	w
1812	1	w
1813	2	w
1813	1	w
1813	1	w
1813	9	w
1813	2	w
1813	3	w
1813	2	w
1813	2	w
1813	1	s
1813	2	s
1813	3	s
1813	1	s
1813	9	s
1813	2	s
1813	16	s
1813	2	s
1813	2	s
1813	2	s
1813	4	s
1813	2	w
1813	2	w
1813	2	w
1813	2	w
1813	2	w
1813	5	w
1813	2	w
1813	1	w
1813	5	w
1814	2	w
1814	3	w
1814	2	w
1814	4	w
1814	1	w
1814	1	s
1814	1	s
1814	4	s
1814	2	s
1814	1	s
1814	3	s
1814	1	s
1814	4	s
1814	1	s
1814	3	s
1814	7	s
1814	1	s
1814	1	s
1814	2	s
1814	1	s
1814	1	s
1814	1	s
1814	1	s
1814	3	s
1814	4	s
1814	3	s
1814	1	w
1814	4	w
1814	2	w
1814	4	w
1814	1	w
1814	3	w
1814	1	w
1814	1	w
1815	1	w
1815	1	w
1815	1	w
1815	1	w
1815	1	w
1815	1	w
1815	1	w
1815	1	s
1815	1	s
1815	1	s
1815	1	s
1815	1	s
1815	1	s
1815	4	s
1815	1	s
1815	1	s
1815	1	s
1815	1	s
1815	2	s
1815	1	s
1815	1	s
1815	1	s
1815	1	s
1815	1	s
1815	3	w
1815	1	w
1815	1	w
1815	1	w
1815	1	w
1815	1	w
1815	1	w
1815	1	w
1815	1	w
1815	1	w
1815	1	w
1815	1	w
1815	1	w
1815	1	w
1815	1	w
1815	1	w
1815	1	w
1815	1	w
1815	1	w
1815	1	w
1815	1	w
1815	1	w
1815	2	w
1816	3	w
1816	5	w
1816	9	w
1816	1	w
1816	1	w
1816	2	w
1816	1	w
1816	1	w
1816	1	w
1816	1	w
1816	1	w
1816	1	w
1816	1	w
1816	1	w
1816	1	w
1816	1	w
1816	1	s
1816	1	s
1816	1	s
1816	1	s
1816	2	s
1816	5	s
1816	1	w
1816	4	w
1816	4	w
1816	2	w
1816	2	w
1817	1	s
1817	2	s
1817	1	s
1817	4	s
1817	1	s
1818	2	w
1818	1	w
1818	2	s
1818	1	s
1818	2	s
1818	1	s
1818	2	s
1818	2	s
1818	1	s
1818	1	s
1818	1	w
1819	1	w
1819	1	w
1819	1	w
1819	2	s
1819	1	s
1819	2	s
1819	1	s
1819	2	s
1819	1	s
1819	1	s
1819	4	s
1819	3	s
1819	5	w
1819	1	w
1819	2	w
1820	2	w
1820	1	s
1820	1	s
1820	1	s
1820	2	s
1821	3	w
1821	5	s
1821	1	s
1821	8	s
1821	2	s
1821	2	w
1822	3	w
1822	1	s
1822	1	s
1822	1	s
1822	3	w
1822	1	w
1823	1	w
1823	21	w
1823	1	w
1823	1	s
1823	5	s
1823	8	s
1823	1	s
1823	1	s
1823	1	s
1823	2	s
1823	1	s
1823	1	w
1824	1	w
1824	1	w
1824	2	w
1824	2	w
1824	1	w
1824	2	w
1824	2	w
1824	1	s
1824	1	s
1824	1	s
1824	2	w
1824	2	w
1824	2	w
1824	1	w
1825	1	w
1825	6	w
1825	2	w
1825	4	w
1825	1	w
1825	1	w
1825	1	w
1825	2	w
1825	1	s
1825	1	s
1825	1	s
1825	1	s
1825	1	s
1825	2	s
1825	1	s
1825	1	s
1825	1	w
1825	5	w
1826	1	w
1826	1	w
1826	1	w
1826	1	w
1826	4	s
1826	1	s
1826	1	s
1826	3	s
1826	1	s
1826	3	w
1826	3	w
1826	7	w
1826	2	w
1827	1	w
1827	2	w
1827	1	w
1827	1	w
1827	1	w
1827	1	s
