year	delta	season
1802	40	s
1802	39	w
1803	32	w
1803	42	s
1804	42	w
1804	39	s
1804	34	s
1804	37	s
1804	35	s
1804	33	w
1804	42	w
1805	40	w
1805	42	w
1805	42	w
1805	42	w
1805	38	w
1805	39	w
1805	38	s
1805	34	s
1805	55	s
1806	52	w
1806	46	w
1806	46	w
1806	60	w
1806	47	w
1806	42	w
1806	40	s
1806	39	s
1806	42	s
1806	38	s
1806	41	s
1806	38	s
1806	47	s
1806	48	s
1807	45	s
1807	46	s
1807	49	s
1808	47	w
1808	42	w
1808	42	w
1808	54	w
1808	40	s
1808	36	s
1808	41	s
1808	47	w
1808	42	w
1809	42	w
1809	38	s
1809	33	s
1809	32	s
1809	34	s
1809	32	s
1809	31	s
1810	47	w
1810	40	w
1810	32	w
1810	39	w
1810	64	w
1810	38	w
1810	35	s
1810	38	w
1810	40	w
1811	37	w
1811	35	s
1811	42	s
1811	39	s
1811	57	s
1812	45	w
1812	38	w
1812	46	w
1814	35	s
1814	42	s
1814	35	s
1814	35	s
1814	38	s
1814	32	s
1814	32	s
1814	43	w
1815	42	w
1815	37	s
1815	38	s
1815	35	s
1815	39	w
1816	38	w
1816	39	w
1816	35	w
1816	41	s
1816	31	s
1816	35	s
1816	39	w
1816	37	w
1816	35	w
1817	44	w
1817	42	w
1817	38	s
1817	29	s
1817	39	s
1817	38	s
1817	37	s
1817	32	w
1818	32	w
1818	43	w
1818	35	w
1818	38	w
1818	39	w
1818	42	s
1818	35	s
1818	39	s
1819	38	w
1819	33	w
1819	32	w
1819	35	w
1819	33	s
1819	43	s
1819	35	w
1820	35	s
1820	33	s
1820	36	s
1820	38	w
1821	33	w
1821	31	w
1821	33	w
1821	35	w
1821	35	w
1821	35	w
1821	31	w
1821	35	w
1821	30	s
1821	31	s
1821	43	s
1822	39	w
1822	47	w
1822	39	w
1822	36	w
1822	37	w
1822	31	s
1822	30	s
1822	34	s
1823	31	w
1823	27	s
1823	28	s
1823	32	s
1823	34	s
1823	27	w
1823	32	w
1823	34	w
1823	31	w
1824	33	w
1824	31	w
1824	42	w
1824	26	s
1824	31	s
1824	29	s
1824	37	w
1824	34	w
1824	31	w
1825	29	w
1825	34	w
1825	35	w
1825	32	w
1825	28	w
1825	29	s
1825	29	s
1825	29	s
1825	29	s
1825	29	s
1825	31	w
1825	29	w
1825	27	w
1826	30	w
1826	29	w
1826	42	w
1826	26	w
1826	26	w
1826	29	w
1826	37	w
1826	29	w
1826	33	s
1826	29	s
1826	31	s
1826	30	s
1826	28	s
1826	29	s
1826	30	s
1826	26	s
1826	22	s
1826	22	s
1826	22	s
1827	22	w
1827	22	w
1827	26	s
1827	27	s
1827	26	s
1827	22	w
1828	21	w
1828	26	w
1828	23	w
1828	21	w
1828	21	s
1828	23	s
1828	26	s
1828	27	s
1828	21	s
1828	24	s
1828	21	w
1828	21	w
1828	17	w
1828	24	w
1828	21	w
1829	28	w
1829	22	w
1829	23	w
1829	25	w
1829	26	w
1829	20	w
1829	22	w
1829	24	w
1829	22	w
1829	24	s
1829	24	s
1829	24	s
1829	26	s
1829	28	s
1829	26	s
1829	27	w
1829	19	w
1829	23	w
1830	26	w
1830	24	w
1830	28	w
1830	22	w
1830	96	w
1830	21	s
1830	31	s
1830	53	s
1830	34	s
1830	19	s
1830	33	s
1830	23	w
1830	25	w
1831	19	w
1831	27	w
1831	50	w
1831	19	w
1831	19	w
1831	21	w
1831	21	w
1831	21	w
1831	20	w
1831	21	w
1831	21	w
1831	26	w
1831	28	w
1831	25	w
1831	21	w
1831	21	s
1831	25	s
1831	22	s
1831	21	s
1831	21	s
1831	26	s
1831	23	s
1831	20	s
1831	24	s
1831	21	w
1831	19	w
1831	26	w
1831	17	w
1832	18	w
1832	20	w
1832	21	w
1832	26	w
1832	24	w
1832	24	w
1832	20	s
1832	21	s
1832	19	s
1832	21	s
1832	21	s
1832	19	s
1832	21	w
1832	21	w
1832	21	w
1833	21	s
1833	9	s
1833	23	s
1833	19	s
1833	18	s
1833	20	s
1833	18	w
1834	22	w
1834	23	w
1834	20	w
1834	21	w
1834	24	w
1834	19	s
1834	21	s
1834	26	s
1834	28	s
1834	23	s
1834	23	s
1834	21	s
1834	24	s
1834	22	s
1834	25	s
1834	20	s
1834	18	s
1834	20	s
1834	25	s
1834	23	s
1834	24	s
1834	20	s
1834	21	s
1834	23	w
1834	9	w
1834	18	w
1834	18	w
1834	22	w
1834	20	w
1835	21	w
1835	16	w
1835	21	w
1835	23	w
1835	20	w
1835	22	w
1835	21	w
1835	19	s
1835	21	s
1835	19	s
1835	21	s
1835	18	s
1835	39	s
1835	20	s
1835	28	s
1835	22	s
1835	23	s
1835	18	s
1835	18	w
1835	56	w
1835	32	w
1835	63	w
1836	20	w
1836	28	w
1836	33	w
