year	delta	season
1803	19	s
1807	41	s
1810	18	s
1813	17	s
1814	22	s
1819	17	s
1819	19	w
1825	21	w
1825	25	s
1838	15	w
1839	16	w
1842	12	w
1848	7	s
1848	10	s
1848	6	s
1849	9	w
1850	8	w
1852	6	s
1852	8	s
1853	8	w
1853	6	s
1853	7	s
1853	14	s
1854	7	w
1854	7	s
1854	6	s
1855	6	s
1856	7	w
1857	6	s
1858	6	s
1858	6	s
1858	9	s
1858	6	s
1858	7	s
1858	9	w
1858	8	w
1858	6	w
1858	10	w
1859	5	w
1859	8	w
1859	10	s
1859	9	s
1859	4	w
1860	6	s
1861	9	s
1862	10	s
1862	8	s
1862	8	s
1862	8	w
1864	6	w
1865	9	s
1867	7	w
1869	3	w
1873	4	w
1873	9	s
1873	5	w
1875	3	s
1881	45	w
1881	7	s
1884	5	s
1884	283	w
1885	7	s
