year	delta	season
1802	19	w
1806	23	s
1806	34	s
1806	55	w
1806	55	w
1806	69	w
1807	58	w
1809	18	w
1809	21	s
1810	24	s
1810	19	w
1811	19	w
1811	22	s
1811	26	s
1811	30	s
1811	28	w
1811	30	w
1811	38	w
1813	17	s
1813	28	s
1813	14	s
1813	17	s
1814	21	s
1814	18	s
1814	17	w
1814	16	w
1815	22	s
1815	19	s
1815	16	w
1816	22	s
1816	20	s
1816	26	s
1817	27	w
1817	17	s
1817	19	s
1817	23	s
1817	26	s
1817	21	s
1817	21	w
1817	24	w
1817	22	w
1818	20	w
1818	22	w
1818	17	s
1819	21	w
1819	15	w
1819	25	w
1819	23	s
1819	20	s
1819	28	s
1819	23	s
1820	22	s
1821	23	w
1824	15	w
1824	17	w
1825	17	w
1825	16	s
1825	18	s
1825	17	s
1826	13	w
1826	17	s
1831	14	s
1831	13	w
1832	16	w
1833	10	s
1833	11	s
1833	11	s
1833	9	s
1833	9	s
1833	11	w
1833	12	w
1845	9	s
1847	23	w
1854	9	s
1857	9	s
1859	8	s
1860	6	w
1861	6	w
1869	6	w
1870	6	w
1873	5	w
