year	delta	season
1805	26	s
1806	26	w
1809	28	s
1809	26	s
1809	28	s
1809	27	s
1809	25	s
1809	27	s
1809	27	s
1809	28	s
1809	31	s
1810	25	w
1810	29	w
1810	24	s
1810	25	s
1818	25	s
1818	24	s
1822	21	s
1839	17	w
1840	14	w
1842	42	w
1842	12	s
1846	11	s
1847	13	s
1848	14	w
1848	14	w
1848	10	s
1848	13	w
1849	8	s
1850	9	w
1851	7	s
1852	10	s
1852	9	s
1853	9	s
1853	7	s
1855	7	s
1856	8	s
1856	15	s
1856	12	s
1856	9	w
1857	7	w
1858	10	s
1860	4	s
1861	3	w
1861	3	w
1863	3	s
1864	2	s
1864	2	s
1865	3	s
1865	2	s
1865	3	s
1867	1	s
1867	2	s
1867	1	s
1867	2	s
1867	3	s
1867	2	s
1867	3	s
1867	9	s
1871	3	s
1871	1	s
1871	3	s
1871	3	s
1871	2	s
1871	7	s
1872	3	s
1873	3	s
1875	2	w
1876	2	s
1876	2	s
1876	2	s
1876	3	s
1876	4	s
1877	2	s
1880	2	w
1881	2	s
1883	1	s
1883	2	s
1883	1	s
1886	2	w
1886	2	s
1887	1	s
1887	7	s
1888	9	s
