year	delta	season
1820	38	s
1834	13	s
1845	15	s
1846	13	s
1846	7	w
1846	10	w
1846	6	w
1846	10	w
1846	8	w
1846	9	w
1846	11	w
1846	11	w
1846	10	w
1846	12	w
1846	9	w
1846	9	w
1847	8	w
1847	17	w
1848	8	w
1848	7	w
1848	6	w
1848	6	w
1848	6	w
1848	5	w
1848	7	w
1848	8	s
1848	6	s
1848	10	s
1848	6	s
1848	8	s
1848	7	s
1848	5	s
1848	6	s
1848	5	s
1848	8	s
1848	6	s
1848	7	s
1848	9	s
1848	6	s
1848	9	s
1848	7	s
1848	8	s
1848	6	s
1848	6	s
1848	5	s
1848	5	s
1848	8	s
1848	6	s
1848	8	s
1848	6	s
1848	6	s
1848	6	s
1848	6	w
1848	7	w
1848	7	w
1848	8	w
1848	6	w
1848	12	w
1848	6	w
1848	9	w
1848	8	w
1848	10	w
1848	8	w
1848	8	w
1848	7	w
1849	8	w
1849	8	w
1849	6	w
1849	16	w
1849	11	w
1849	8	w
1849	8	w
1849	7	w
1849	7	w
1849	6	w
1849	5	w
1849	11	w
1849	8	w
1849	7	w
1849	9	w
1849	7	w
1849	7	w
1849	7	w
1849	9	w
1849	6	w
1849	9	w
1849	6	w
1849	7	w
1849	6	w
1849	6	w
1849	5	w
1849	6	w
1849	5	w
1849	5	w
1849	7	w
1849	6	w
1849	7	w
1849	10	w
1849	9	w
1849	7	s
1849	7	s
1849	10	s
1849	6	s
1849	7	s
1849	7	s
1849	7	s
1849	6	s
1849	7	s
1849	8	s
1849	9	s
1849	6	s
1849	6	s
1849	7	s
1849	7	s
1849	7	s
1849	5	s
1849	8	s
1849	8	s
1849	5	s
1849	6	s
1849	4	s
1849	8	s
1849	9	s
1849	8	s
1849	6	s
1849	6	s
1849	8	s
1849	8	s
1849	5	s
1849	6	s
1849	6	s
1849	9	s
1849	7	s
1849	8	s
1849	6	s
1849	6	s
1849	7	w
1849	5	w
1849	12	w
1850	7	w
1850	8	w
1850	8	w
1850	6	w
1850	6	s
1850	6	s
1850	6	s
1850	7	s
1850	5	s
1850	5	s
1850	6	s
1850	7	s
1850	6	s
1850	5	s
1850	6	s
1850	5	s
1850	6	s
1850	5	s
1850	8	s
1852	7	s
1852	8	s
1853	12	w
1853	9	w
1853	11	s
1853	9	s
1853	7	s
1853	7	w
1853	5	w
1853	6	w
1853	6	w
1854	12	w
1854	12	w
1855	39	s
1856	11	w
1857	5	s
1858	8	s
1858	9	s
1858	10	s
1858	9	s
1858	13	s
1858	10	w
1859	7	w
1859	11	w
1859	8	w
1859	6	w
1859	11	w
1860	10	w
1860	9	w
1860	6	w
1860	6	w
1860	7	w
1860	10	s
1860	8	s
1860	10	s
1860	11	s
1860	12	s
1860	9	s
1860	9	s
1860	9	s
1860	18	s
1860	14	s
1860	12	s
1860	13	s
1860	9	w
1860	9	w
1860	8	w
1860	7	w
1860	7	w
1860	8	w
1861	7	w
1861	8	w
1861	7	s
1861	7	s
1863	10	s
1864	4	w
1864	3	w
1864	4	w
1864	3	w
1864	5	w
1864	4	w
1864	16	w
1864	6	w
1864	5	w
1864	3	w
1864	4	w
1864	4	s
1864	3	s
1864	2	s
1864	7	w
1864	2	w
1864	117	s
1865	5	w
1865	7	s
1865	5	s
1865	11	s
1865	7	s
1865	6	s
1865	4	s
1865	3	s
1865	8	s
1865	3	w
1865	3	w
1865	4	w
1865	4	w
1865	3	w
1866	3	w
1866	4	w
1866	2	w
1866	6	s
1866	3	s
1866	5	w
1867	5	s
1869	3	w
1869	7	s
1873	5	s
1886	155	w
