year	delta	season
1802	38	s
1802	25	s
1803	29	w
1803	30	s
1804	28	s
1805	29	w
1805	29	s
1808	29	s
1809	32	w
1809	27	w
1809	32	w
1809	25	w
1810	32	w
1810	30	w
1810	35	w
1810	33	s
1810	27	w
1810	37	w
1810	30	w
1810	32	w
1811	29	w
1811	27	w
1811	28	s
1811	31	w
1811	26	w
1812	26	w
1814	22	w
1814	24	w
1814	23	w
1814	21	w
1814	25	s
1814	27	s
1815	25	w
1815	22	w
1815	25	s
1815	22	s
1815	23	s
1815	22	s
1815	23	s
1815	23	s
1815	26	s
1815	24	s
1815	26	w
1815	26	w
1816	25	w
1816	32	w
1816	18	s
1816	28	s
1816	23	s
1816	24	w
1816	24	w
1816	23	w
1817	25	w
1817	28	w
1817	23	w
1817	25	s
1817	23	s
1817	23	s
1817	28	w
1817	24	w
1818	28	w
1818	24	w
1818	25	s
1818	24	s
1818	25	w
1818	25	w
1819	22	w
1820	24	w
1820	24	s
1821	59	w
1821	24	s
1823	16	w
1823	20	w
1824	17	w
1824	23	w
1824	17	w
1825	17	s
1825	17	w
1826	20	w
1826	16	w
1826	17	s
1826	16	s
1826	16	s
1826	16	s
1826	16	s
1826	16	s
1828	15	s
1828	16	s
1828	15	s
1828	17	s
1828	15	s
1828	16	s
1829	15	w
1829	14	w
1829	15	w
1829	20	s
1829	19	s
1829	18	w
1829	15	w
1829	17	w
1830	16	w
1830	19	w
1830	18	w
1830	16	w
1830	15	w
1830	17	w
1830	15	w
1830	15	s
1830	17	w
1830	15	w
1830	18	w
1831	16	w
1831	17	w
1831	16	w
1831	16	w
1831	16	w
1831	22	s
1831	18	s
1831	16	s
1831	19	s
1831	78	s
1831	16	s
1831	16	s
1831	16	w
1831	15	w
1831	15	w
1831	16	w
1831	11	w
1832	18	w
1832	16	w
1832	15	w
1832	16	w
1832	13	w
1832	16	w
1832	18	s
1832	15	s
1832	15	s
1832	19	s
1832	14	s
1832	14	s
1832	112	s
1832	14	w
1832	15	w
1832	18	w
1833	15	w
1833	19	w
1833	15	s
1833	14	s
1833	15	s
1833	14	s
1833	16	s
1833	16	s
1833	16	s
1833	15	s
1833	14	s
1833	15	s
1833	14	s
1833	14	w
1833	14	w
1833	12	w
1834	14	w
1834	13	w
1834	15	w
1834	18	w
1834	15	s
1834	15	s
1834	17	s
1838	14	s
1840	13	w
1841	17	w
1841	17	w
1841	16	s
1847	10	w
1848	14	w
1848	10	s
1850	33	w
1851	13	s
1852	9	w
1852	9	s
1852	10	s
1852	9	s
1852	10	w
1853	9	w
1853	13	w
1853	8	w
1853	8	w
1853	10	w
1853	11	w
1853	9	w
1853	8	w
1853	8	w
1853	8	s
1853	9	s
1853	9	s
1853	8	s
1853	7	s
1853	7	s
1853	8	s
1853	7	s
1853	8	s
1853	8	s
1853	8	s
1853	10	s
1853	7	s
1853	9	s
1853	9	s
1853	6	w
1853	7	w
1853	6	w
1853	12	w
1854	6	w
1854	10	s
1854	7	s
1854	10	w
1854	9	w
1854	10	w
1855	8	w
1855	7	w
1855	7	w
1855	8	w
1855	5	w
1855	8	w
1855	7	w
1855	8	w
1855	6	w
1855	7	w
1855	13	w
1855	8	s
1855	7	s
1855	6	s
1855	7	s
1855	7	s
1855	7	s
1855	6	s
1855	10	s
1855	8	s
1855	8	w
1855	9	w
1856	7	w
1856	9	w
1856	9	w
1856	8	s
1856	7	s
1856	9	w
1856	8	w
1857	6	w
1857	7	s
1857	7	s
1857	7	s
1857	6	s
1857	6	s
1857	6	s
1857	5	s
1857	8	s
1857	6	s
1857	7	s
1857	7	s
1857	6	s
1857	8	s
1857	199	w
1857	9	s
1857	5	s
1857	6	s
1857	6	s
1857	7	s
1857	7	s
1857	7	s
1857	6	w
1858	8	w
1858	6	w
1858	6	w
1858	8	w
1858	8	w
1858	7	w
1858	7	w
1858	7	w
1858	7	s
1858	6	s
1858	6	s
1858	7	s
1858	7	s
1858	8	s
1858	6	s
1858	13	s
1858	9	s
1858	9	s
1858	6	s
1858	7	s
1858	7	s
1858	12	w
1858	7	w
1858	7	w
1858	5	w
1858	6	w
1858	8	w
1858	7	w
1858	12	w
1858	6	w
1858	6	w
1858	6	w
1858	14	w
1858	6	w
1858	7	w
1859	7	w
1859	6	w
1859	8	w
1859	6	w
1859	6	w
1859	10	w
1859	10	w
1859	8	w
1859	5	w
1859	7	w
1859	9	w
1859	9	w
1859	9	w
1859	9	w
1859	2	w
1859	9	w
1859	8	w
1859	5	w
1859	6	w
1859	9	s
1859	6	s
1859	6	s
1859	5	s
1859	9	s
1859	11	s
1859	8	s
1859	9	s
1859	8	s
1859	10	s
1859	8	s
1859	11	s
1859	8	s
1859	9	s
1859	9	s
1859	9	s
1859	10	s
1859	7	s
1859	8	s
1859	8	w
1859	9	w
1859	9	w
1859	9	w
1859	8	w
1859	9	w
1859	8	w
1859	8	w
1859	9	w
1859	8	w
1860	10	w
1860	12	w
1860	10	w
1860	11	w
1860	7	w
1860	10	w
1860	8	w
1860	9	w
1860	8	w
1860	8	w
1860	9	w
1860	9	w
1860	10	w
1860	9	w
1860	10	w
1860	7	s
1860	6	s
1860	7	s
1860	8	s
1860	7	s
1860	8	s
1860	6	s
1860	8	s
1860	9	s
1860	10	s
1860	8	s
1860	7	s
1860	7	s
1861	7	s
1863	17	w
1867	7	w
1867	9	s
1869	6	w
1869	8	w
1870	6	w
1871	7	s
1873	7	s
