year	delta	season
1803	19	w
1807	36	s
1807	23	s
1807	55	s
1807	55	s
1807	23	w
1810	21	w
1810	19	s
1812	21	w
1813	22	w
1814	18	w
1818	18	s
1820	19	w
1821	21	s
1821	44	w
1827	15	w
1830	11	s
1831	13	s
1832	12	w
1835	11	s
1836	11	w
1837	11	w
1837	11	w
1839	8	s
1839	8	s
1841	8	s
1842	8	w
1842	8	w
1842	7	s
1843	15	s
1843	11	s
1843	5	s
1843	8	s
1845	9	s
1845	11	s
1845	11	w
1846	12	w
1846	10	s
1846	8	w
1847	8	s
1847	6	s
1847	8	w
1848	6	w
1848	7	w
1848	7	s
1848	8	s
1848	14	s
1848	6	s
1848	9	s
1848	7	s
1849	8	s
1849	7	s
1849	5	s
1849	6	w
1849	7	w
1849	7	w
1850	8	w
1850	6	w
1850	5	w
1850	7	w
1850	9	w
1850	7	w
1850	7	w
1850	6	s
1850	7	s
1850	6	s
1850	9	s
1850	6	w
1851	6	w
1851	9	w
1851	7	w
1851	6	w
1851	7	w
1851	5	w
1851	7	s
1851	7	s
1852	6	w
1852	5	s
1852	6	s
1852	14	s
1852	6	s
1852	6	s
1852	6	s
1853	7	w
1853	10	w
1853	15	s
1853	14	s
1853	7	s
1853	7	s
1853	6	s
1854	5	s
1854	5	s
1854	5	s
1855	4	s
1855	4	w
1856	4	w
1856	9	s
1857	6	s
1857	6	w
1858	6	s
1858	8	s
1858	8	s
1858	7	s
1858	7	s
1858	8	s
1858	6	s
1858	7	s
1858	8	s
1858	6	w
1858	14	w
1858	6	w
1858	6	w
1859	7	w
1859	7	w
1859	11	w
1859	4	w
1859	8	w
1859	6	w
1859	4	w
1859	5	s
1859	5	s
1859	5	s
1859	10	s
1859	6	s
1859	5	s
1859	6	w
1859	6	w
1860	7	w
1860	9	s
1860	8	s
1860	7	s
1860	4	s
1861	7	s
1861	6	s
1861	6	s
1861	6	w
1861	16	w
1862	7	s
1862	11	w
1864	7	w
1865	13	s
1866	4	s
1866	4	s
1866	4	s
1866	5	s
1867	2	s
1867	7	s
1867	2	s
1868	2	w
1868	3	s
1868	2	w
1869	8	s
1869	2	s
1870	3	s
1870	2	w
1870	3	w
1870	2	w
1870	2	w
1870	3	w
1870	2	w
1870	2	w
1870	2	w
1871	2	s
1871	8	s
1871	2	w
1873	3	w
1874	2	w
1874	4	w
1874	4	w
1874	3	w
1874	5	w
1874	4	w
1874	4	w
1874	3	w
1874	3	w
1874	5	w
1874	6	s
1883	2	w
1883	3	s
1883	1	s
1883	2	s
1884	2	w
1885	4	w
1885	3	w
1885	2	s
1885	1	w
1886	4	s
1886	2	s
1888	6	w
