year	delta	season
1829	18	w
1829	13	w
1829	14	w
1829	15	w
1829	17	w
1829	15	s
1829	16	s
1829	17	s
1829	16	s
1829	15	s
1829	8	s
1829	19	s
1829	13	s
1829	11	s
1829	11	s
1829	9	s
1829	12	s
1829	18	s
1829	12	s
1829	14	w
1829	14	w
1829	16	w
1829	13	w
1829	14	w
1829	16	w
1829	10	w
1830	13	w
1830	14	w
1830	17	w
1830	12	w
1830	13	s
1830	16	s
1830	13	s
1830	16	s
1830	15	s
1830	18	s
1830	16	s
1830	9	s
1830	9	s
1830	7	s
1830	12	s
1830	15	s
1830	13	s
1830	22	s
1830	21	w
1830	44	w
1831	16	w
1831	7	s
1832	18	s
1832	16	s
1832	16	s
1833	12	w
1833	17	s
1833	8	s
1833	11	s
1837	13	s
1838	9	w
1839	10	s
1839	9	s
1839	8	s
1839	6	s
1839	9	s
1840	6	w
1840	4	s
1840	11	s
1841	9	s
1842	8	s
1842	8	w
1842	8	w
1842	8	w
1842	7	w
1842	6	w
1842	2	w
1842	3	w
1843	3	w
1843	1	w
1843	5	w
1843	6	w
1843	8	s
1843	1	s
1843	7	s
1843	7	s
1843	5	w
1844	1	s
1844	3	s
1846	2	s
1846	2	s
1846	10	s
1849	4	s
