year	delta	season
1807	64	w
1808	55	w
1810	52	w
1811	79	s
1813	92	w
1814	65	s
1817	42	s
1821	46	s
1821	50	s
1821	55	s
1821	43	w
1822	48	w
1822	40	w
1822	41	w
1822	48	s
1822	43	s
1822	37	w
1823	44	w
1823	48	s
1823	39	s
1823	47	s
1823	55	s
1823	49	s
1823	37	w
1823	41	w
1823	55	w
1823	58	w
1824	48	w
1824	51	w
1824	55	w
1824	50	s
1824	34	s
1824	50	s
1824	52	s
1824	43	s
1824	47	s
1824	53	s
1824	44	w
1824	57	w
1825	43	w
1825	50	w
1825	48	w
1825	40	w
1825	54	w
1825	41	s
1825	51	s
1825	42	s
1825	48	s
1825	32	s
1825	36	s
1825	41	s
1825	37	s
1825	35	s
1825	45	s
1825	37	w
1825	41	w
1826	48	s
1826	47	s
1826	41	s
1828	37	w
1828	37	w
1828	31	w
1828	35	s
1828	29	s
1828	37	s
1828	30	s
1828	28	s
1828	43	s
1828	35	w
1828	36	w
1828	38	w
1828	27	w
1828	35	w
1829	42	w
1829	47	w
1829	36	w
1829	34	w
1829	28	s
1830	32	w
1830	39	w
1830	43	w
1830	46	w
1830	37	s
1830	27	s
1830	30	s
1830	29	s
1830	29	s
1830	29	w
1830	32	w
1832	23	w
1832	39	w
1833	49	s
1833	43	s
1833	29	s
1833	32	w
1834	51	w
1834	44	w
1834	44	w
1834	57	s
1835	32	s
1835	32	s
1835	26	s
1835	23	w
1836	132	s
1836	18	s
1836	25	s
1836	16	s
1837	29	w
1837	27	s
1837	19	w
1837	18	w
1838	24	w
1838	23	w
1838	21	s
1838	18	s
1838	18	s
1838	18	s
1838	16	s
1838	16	s
1838	24	s
1838	16	w
1839	23	w
1839	15	s
1839	14	s
1839	13	s
1839	15	s
1839	17	s
1839	14	s
1839	16	s
1839	16	s
1839	13	s
1839	15	w
1839	15	w
1839	8	w
1839	16	w
1839	15	w
1840	18	w
1840	14	w
1840	16	s
1840	14	s
1840	15	s
1840	16	s
1840	15	s
1840	16	w
1841	15	w
1841	25	s
1841	18	s
1841	17	s
1841	17	s
1841	15	s
1841	18	s
1841	17	w
1842	21	w
1842	18	s
1842	16	s
1842	16	w
1843	18	w
1843	13	s
1844	30	s
1844	17	w
1844	21	w
1845	13	s
1845	13	s
1845	16	w
1846	18	s
1848	6	s
1849	4	s
1850	5	w
1850	10	w
1850	7	w
1850	3	s
1850	7	s
1850	3	s
1850	10	w
1851	6	w
1851	5	w
1851	6	w
1851	6	s
1852	5	s
1852	2	s
1852	6	w
1853	8	w
1853	13	w
1853	4	s
1853	11	s
1853	5	s
1853	2	s
1853	2	s
1853	6	s
1853	3	s
1853	10	s
1853	9	s
1853	8	s
1853	11	s
1853	11	s
1853	11	s
1853	44	s
1853	16	s
1853	2	w
1853	1	w
1853	2	w
1853	7	w
1853	9	w
1854	11	w
1854	12	w
1854	3	w
1854	5	w
1854	7	w
1854	2	s
1854	3	s
1854	7	s
1854	1	s
1854	8	s
1854	6	s
1854	9	s
1854	8	w
1854	5	w
1855	7	w
1855	5	w
1855	10	w
1855	4	w
1855	5	s
1855	4	s
1855	6	w
1855	2	w
1855	5	w
1856	5	w
1856	2	s
1856	11	s
1856	6	s
1856	1	s
1856	4	s
1856	2	w
1857	9	w
1857	6	w
1857	7	s
1857	29	s
1857	1	w
1858	2	w
1858	2	w
1859	6	w
1860	1	s
1860	2	s
1860	1	s
1860	117	s
1861	13	w
1861	14	w
1862	14	w
1866	9	w
1866	5	w
1867	9	s
1867	9	s
1867	9	s
1872	3	s
1873	4	w
1876	3	s
1877	3	w
1880	14	s
1881	3	w
1881	2	w
1881	3	s
1887	3	s
1887	2	s
