year	delta	season
1815	32	s
1820	29	w
1821	29	s
1821	26	s
1821	30	w
1821	30	w
1822	30	w
1822	28	w
1822	32	s
1822	26	s
1822	26	s
1822	24	s
1822	26	w
1822	23	w
1822	28	w
1822	31	w
1823	25	w
1823	26	w
1823	28	w
1823	29	w
1823	28	w
1823	28	w
1823	27	w
1823	30	w
1823	27	w
1823	24	w
1823	26	w
1823	27	w
1823	24	w
1823	22	w
1823	26	w
1823	31	w
1823	26	w
1823	22	w
1823	25	w
1823	24	w
1823	23	w
1823	24	w
1823	26	w
1823	18	s
1823	24	s
1823	26	s
1823	22	s
1823	24	s
1823	25	s
1823	27	s
1823	25	s
1823	20	s
1823	25	s
1823	20	s
1823	21	s
1823	22	s
1823	21	s
1823	21	s
1823	18	s
1823	19	s
1823	21	s
1823	21	s
1823	21	s
1823	21	s
1823	22	s
1823	22	w
1823	21	w
1823	21	w
1823	21	w
1823	21	w
1823	21	w
1823	21	w
1824	23	w
1824	23	w
1824	22	w
1824	22	w
1824	19	w
1824	23	w
1824	21	w
1824	21	w
1824	22	w
1824	20	s
1824	24	s
1825	19	s
1825	22	s
1825	22	s
1827	26	w
1828	19	s
1828	24	s
1828	23	s
1828	19	s
1828	19	s
1828	86	s
1829	23	w
1829	22	w
1830	24	w
1830	24	w
1830	21	s
1830	22	s
1830	20	s
1830	20	s
1830	14	s
1830	29	s
1830	20	w
1830	22	w
1832	22	s
