year	delta	season
1806	24	w
1806	18	w
1806	22	w
1806	22	s
1808	23	w
1809	19	w
1812	17	w
1812	15	w
1813	24	s
1813	20	s
1813	22	s
1831	11	s
1831	10	s
1832	9	s
1834	9	s
1838	11	s
1838	8	s
1838	9	s
1838	9	s
1838	7	s
1838	12	w
1839	9	w
1839	6	s
1839	9	s
1839	8	w
1840	7	w
1841	10	s
1841	10	w
1842	8	w
1842	7	s
1842	7	s
1843	24	w
1843	7	s
1843	7	s
1843	8	s
1843	5	s
1843	8	s
1843	7	s
1843	7	s
1843	7	s
1843	7	w
1843	10	w
1844	16	w
1844	5	s
1844	5	s
1844	8	w
1845	7	w
1845	8	w
1845	10	w
1845	17	w
1845	7	s
1845	10	s
1845	11	s
1845	6	s
1845	12	w
1845	12	w
1846	22	s
1846	5	s
1846	8	s
1847	7	w
1847	14	w
1847	7	w
1847	7	w
1847	5	s
1847	6	s
1847	9	s
1847	10	s
1847	13	s
1847	10	s
1847	7	s
1847	4	s
1847	15	s
1847	17	s
1847	14	s
1847	10	s
1847	70	s
1847	10	w
1847	19	w
1848	9	w
1848	6	w
1848	6	s
1848	5	s
1848	5	s
1848	9	s
1848	6	s
1848	6	s
1848	6	s
1848	8	s
1848	9	s
1848	5	s
1848	7	s
1848	7	s
1848	11	s
1848	6	s
1848	6	s
1848	11	s
1848	6	s
1848	7	s
1848	5	s
1848	5	s
1848	5	s
1848	12	s
1848	6	s
1848	6	s
1848	6	s
1848	5	s
1848	6	s
1848	6	s
1848	6	s
1848	6	s
1848	6	s
1848	7	w
1848	8	w
1849	7	w
1849	9	w
1849	7	w
1849	7	w
1849	6	w
1849	9	s
1849	5	s
1849	5	s
1849	6	s
1849	5	s
1849	5	s
1849	7	w
1849	7	w
1849	8	w
1849	8	w
1849	6	w
1850	6	w
1850	6	w
1850	7	w
1850	6	w
1850	14	w
1850	11	s
1850	6	s
1850	7	s
1850	5	s
1850	5	s
1850	15	s
1850	6	s
1850	6	s
1850	6	s
1850	6	s
1850	5	s
1850	6	s
1850	7	s
1850	5	s
1850	6	s
1850	5	s
1850	5	s
1850	6	s
1850	6	w
1850	5	w
1851	7	w
1851	10	w
1851	5	w
1851	8	s
1851	7	s
1851	8	s
1851	7	s
1851	6	s
1851	5	s
1851	6	s
1851	6	s
1851	6	s
1851	6	w
1852	12	w
1852	11	s
1852	7	s
1852	7	s
1852	6	s
1852	6	s
1852	7	s
1852	6	s
1852	5	s
1852	8	s
1852	7	s
1852	7	w
1853	5	w
1853	7	w
1853	6	s
1853	7	s
1853	8	s
1853	6	s
1853	6	s
1853	5	s
1853	6	s
1853	11	s
1853	6	s
1853	6	w
1853	5	w
1853	11	w
1854	5	w
1854	5	w
1854	7	s
1854	4	s
1854	4	s
1854	5	s
1854	4	s
1854	4	s
1854	4	s
1854	5	s
1854	7	s
1854	4	s
1854	5	s
1854	6	s
1854	5	s
1854	4	s
1854	4	s
1854	4	w
1854	6	w
1854	6	w
1855	4	w
1855	4	w
1855	5	w
1855	6	w
1855	6	s
1855	5	s
1855	4	s
1855	6	s
1855	6	s
1855	4	s
1855	16	s
1855	4	w
1856	6	w
1856	6	w
1856	4	w
1856	5	w
1856	5	s
1856	5	s
1856	4	s
1856	5	s
1856	5	s
1856	5	s
1856	7	s
1856	9	s
1857	4	w
1857	4	w
1857	4	s
1857	5	s
1857	4	s
1857	4	s
1857	5	s
1857	5	s
1857	7	s
1857	4	w
1857	10	w
1857	5	w
1858	36	w
1858	6	w
1858	11	s
1858	4	s
1858	4	s
1858	5	s
1858	6	s
1858	6	s
1858	4	s
1858	8	s
1858	6	s
1858	5	s
1858	6	w
1858	7	w
1859	9	w
1859	6	w
1859	4	s
1859	6	s
1859	6	s
1859	6	w
1860	6	s
1860	8	s
1861	6	s
1861	4	s
1861	6	s
1861	5	s
1861	6	s
1862	6	s
1862	5	s
1863	7	s
1863	5	s
1863	8	s
1863	8	s
1863	3	w
1864	4	w
1864	7	w
1864	5	w
1864	4	w
1864	3	s
1864	7	s
1864	2	s
1864	5	w
1865	3	s
1866	8	w
1866	5	s
1866	5	s
1866	5	s
1866	5	s
1866	7	s
1866	5	s
1866	8	w
1866	6	w
1867	6	w
1867	5	w
1867	5	w
1868	3	s
1868	8	s
1868	1	w
1868	1	w
1868	1	w
1868	2	w
1868	7	w
1868	2	w
1868	5	w
1868	1	w
1868	1	w
1868	1	w
1868	1	w
1868	1	w
1868	1	w
1868	1	w
1868	1	w
1868	1	w
1868	1	w
1870	6	w
1871	8	w
1871	1	w
1871	7	w
1872	1	s
1872	4	w
1873	2	s
1873	4	w
1874	2	w
1874	4	s
1875	4	w
1879	2	s
1880	3	w
1881	1	w
1881	3	s
1881	2	s
1881	1	s
1881	1	s
1881	2	s
1881	1	w
1881	1	w
1883	1	w
1883	4	s
1883	2	w
1884	2	w
1884	4	w
1885	2	s
1885	2	s
1885	2	w
1886	2	w
1886	6	w
1886	2	s
1886	2	w
1886	2	w
1887	1	w
1887	2	w
1887	1	w
1887	1	s
1887	1	s
1887	1	s
