year	delta
1802	29
1802	25
1802	26
1802	33
1802	26
1802	25
1802	25
1802	26
1802	25
1802	25
1802	26
1802	23
1802	25
1803	25
1803	25
1803	25
1803	25
1803	26
1804	25
1804	25
1804	25
1804	26
1804	25
1804	25
1804	25
1804	25
1804	25
1804	25
1805	25
1805	39
1805	25
1805	25
1805	25
1805	25
1805	25
1806	25
1806	32
1806	25
1806	26
1806	25
1806	71
1807	43
1807	64
1807	46
1808	32
1808	32
1808	25
1808	26
1809	40
1809	34
1809	28
1809	30
1809	27
1809	51
1809	24
1809	32
1809	32
1809	29
1809	26
1809	32
1809	29
1809	36
1809	33
1810	34
1810	33
1810	32
1810	29
1810	24
1810	29
1810	25
1810	53
1810	24
1810	26
1810	26
1810	26
1810	25
1810	25
1810	25
1810	26
1810	26
1810	28
1810	26
1810	26
1810	26
1810	26
1810	25
1810	26
1810	43
1810	25
1810	25
1811	26
1811	25
1811	29
1811	25
1811	26
1811	26
1811	25
1811	25
1811	26
1811	25
1811	25
1811	25
1811	25
1811	26
1811	25
1811	29
1811	29
1811	25
1812	47
1812	56
1812	45
1813	65
1813	28
1814	26
1814	22
1814	24
1814	25
1815	26
1815	27
1816	70
1816	25
1816	26
1816	26
1816	22
1816	25
1816	26
1816	25
1816	25
1817	25
1817	25
1817	29
1817	25
1817	26
1817	45
1817	29
1817	25
1817	25
1817	29
1817	26
1817	25
1817	25
1817	22
1817	22
1817	22
1817	52
1817	22
1817	22
1817	22
1817	22
1817	22
1817	22
1817	22
1817	22
1817	26
1817	22
1817	25
1817	22
1817	29
1818	22
1818	26
1818	26
1818	25
1818	25
1818	26
1818	25
1818	26
1818	25
1818	25
1818	22
1818	25
1818	22
1818	21
1818	22
1818	26
1818	22
1818	22
1818	22
1818	22
1818	29
1818	25
1818	29
1819	26
1819	26
1819	22
1819	22
1819	22
1819	25
1819	29
1819	22
1819	24
1819	22
1819	22
1819	22
1819	22
1819	55
1819	22
1819	22
1819	22
1819	22
1819	22
1819	21
1819	22
1820	25
1820	26
1820	26
1820	22
1820	22
1820	22
1820	22
1820	22
1820	26
1820	26
1820	26
1821	26
1821	25
1821	29
1821	26
1821	22
1821	25
1821	26
1821	22
1821	22
1821	26
1821	22
1821	26
1822	26
1822	19
1822	21
1822	21
1822	21
1822	21
1822	21
1823	21
1823	25
1823	28
1823	20
1823	21
1823	21
1823	21
1823	21
1823	21
1823	35
1823	21
1823	18
1823	21
1823	30
1823	27
1824	21
1824	24
1824	23
1824	21
1824	23
1824	25
1824	24
1825	21
1825	21
1825	21
1825	25
1825	20
1825	28
1825	21
1826	20
1826	21
1826	20
1826	21
1826	21
1826	21
1826	21
1826	25
1826	21
1826	35
1826	21
1826	21
1826	21
1826	31
1826	21
1827	21
1827	21
1827	21
1827	21
1827	25
1827	21
1827	17
1827	18
1827	17
1827	21
1827	18
1828	28
1828	21
1828	12
1828	18
1828	16
1828	18
1828	20
1828	15
1828	18
1828	15
1828	20
1829	18
1829	18
1829	25
1829	11
1829	18
1829	18
1829	18
1829	14
1829	18
1829	15
1829	18
1830	21
1830	18
1830	27
1830	14
1830	18
1830	16
1830	18
1830	18
1830	13
1830	16
1830	18
1830	18
1831	20
1831	18
1831	20
1831	20
1831	20
1831	16
1831	15
1831	15
1831	18
1831	16
1831	17
1831	21
1831	18
1831	22
1831	23
1831	21
1832	20
1832	18
1832	16
1832	15
1832	15
1832	15
1832	17
1832	18
1832	20
1833	18
1833	9
1833	18
1833	18
1833	21
1833	18
1833	18
1833	18
1833	18
1833	18
1833	15
1833	15
1834	17
1834	8
1834	17
1834	19
1834	17
1834	18
1834	17
1834	88
1834	13
1834	13
1834	13
1834	12
1834	12
1834	15
1834	13
1834	15
1834	13
1834	15
1834	13
1834	15
1834	12
1834	12
1834	13
1834	13
1834	15
1834	13
1834	13
1834	73
1834	12
1834	16
1834	15
1834	17
1834	22
1834	10
1835	19
1835	18
1835	14
1835	15
1835	15
1835	13
1835	60
1835	13
1835	15
1835	12
1835	14
1835	13
1836	15
1836	18
1836	25
1836	18
1836	15
1836	13
1836	13
1836	12
1836	15
1836	18
1836	22
1836	15
1836	18
1836	12
1836	13
1836	8
1836	12
1836	17
1836	15
1836	15
1836	15
1836	13
1837	17
1837	15
1837	15
1837	17
1837	16
1837	12
1837	13
1837	13
1837	15
1837	13
1837	14
1837	13
1837	15
1837	15
1837	15
1837	13
1837	15
1837	17
1837	15
1837	15
1837	15
1838	24
1838	21
1838	18
1838	19
1838	19
1838	16
1838	18
1838	13
1838	12
1838	12
1838	13
1838	15
1838	13
1838	12
1838	17
1838	12
1838	15
1838	13
1838	13
1838	12
1838	12
1838	12
1838	15
1838	17
1838	12
1838	13
1838	15
1838	13
1838	15
1838	15
1838	13
1838	12
1838	13
1838	15
1838	14
1838	15
1838	12
1838	18
1838	17
1838	15
1838	24
1838	15
1838	17
1839	17
1839	18
1839	28
1839	16
1839	19
1839	17
1839	11
1839	18
1839	18
1839	16
1839	18
1839	18
1839	19
1839	16
1839	10
1839	15
1839	11
1839	11
1839	11
1839	11
1839	11
1839	11
1839	16
1839	15
1839	14
1839	13
1839	14
1839	13
1839	11
1839	11
1839	13
1839	11
1839	11
1839	18
1839	16
1839	15
1840	18
1840	14
1840	16
1840	14
1840	16
1840	17
1840	15
1840	26
1840	16
1840	14
1840	16
1840	15
1840	13
1840	11
1840	13
1840	11
1840	11
1840	14
1840	14
1840	15
1840	15
1840	16
1840	16
1840	23
1840	18
1841	21
1841	14
1841	30
1841	15
1841	17
1841	16
1841	15
1841	16
1841	15
1841	14
1841	15
1841	15
1841	12
1841	12
1841	16
1841	14
1841	13
1841	14
1841	11
1841	14
1841	14
1841	13
1841	15
1841	14
1841	16
1841	17
1841	16
1842	15
1842	20
1842	13
1842	13
1842	16
1842	15
1842	15
1842	11
1842	12
1842	21
1842	16
1842	13
1842	16
1842	16
1842	18
1842	21
1842	11
1842	16
1842	14
1842	18
1842	19
1842	28
1843	20
1843	17
1843	16
1843	16
1843	18
1843	18
1843	16
1843	18
1843	16
1843	15
1843	25
1843	11
1843	14
1843	15
1843	15
1843	18
1843	15
1843	13
1843	11
1843	13
1843	13
1843	13
1843	21
1843	14
1843	22
1843	13
1843	15
1843	26
1843	19
1844	13
1844	13
1844	13
1844	13
1844	15
1844	13
1844	14
1844	17
1844	15
1844	14
1844	15
1844	17
1844	14
1844	18
1844	18
1844	13
1844	13
1844	15
1844	13
1844	12
1844	15
1844	19
1844	11
1844	12
1844	13
1844	13
1844	14
1844	15
1844	17
1844	13
1844	12
1844	12
1844	12
1844	12
1844	13
1844	11
1844	21
1844	13
1844	17
1844	11
1844	15
1844	14
1844	13
1844	12
1844	14
1844	11
1844	10
1844	15
1844	11
1844	18
1844	16
1844	17
1844	15
1844	15
1844	14
1844	13
1844	17
1844	15
1844	13
1844	15
1844	16
1844	15
