year	delta
1803	18
1804	19
1804	22
1804	19
1804	19
1804	18
1804	19
1804	18
1805	18
1806	25
1807	31
1807	91
1807	46
1807	23
1808	27
1808	21
1809	21
1809	18
1809	18
1809	18
1810	19
1810	19
1810	19
1810	21
1811	18
1811	18
1812	25
1812	23
1813	17
1813	22
1813	17
1813	17
1813	21
1813	17
1813	16
1813	21
1813	27
1813	22
1813	17
1813	20
1814	23
1815	20
1818	18
1830	18
1848	8
1848	12
1848	7
1849	8
1849	7
1849	9
1851	10
1853	10
1853	6
1854	6
1854	8
1855	48
1858	8
1859	21
1859	8
1860	8
1863	8
1864	5
1864	3
1865	12
1865	9
1866	6
1867	7
1867	8
1868	7
1884	3
