year	delta
1805	24
1805	25
1805	24
1805	23
1806	30
1806	27
1806	26
1806	22
1807	54
1809	25
1809	24
1809	25
1809	21
1810	24
1810	25
1810	31
1810	25
1811	25
1811	25
1811	24
1811	23
1811	26
1811	21
1812	26
1812	25
1814	23
1814	19
1815	23
1816	26
1816	22
1816	21
1816	25
1816	22
1816	25
1816	19
1816	21
1816	23
1816	22
1816	22
1816	21
1816	19
1816	20
1816	26
1817	25
1817	23
1817	27
1817	22
1817	23
1817	22
1817	23
1817	23
1817	26
1817	25
1817	19
1817	18
1817	22
1817	22
1817	18
1817	25
1817	20
1817	22
1817	21
1817	20
1817	25
1817	19
1817	23
1817	23
1817	23
1817	24
1817	22
1818	21
1818	22
1818	23
1818	25
1818	23
1818	29
1818	23
1818	21
1819	20
1819	21
1819	22
1819	32
1819	23
1819	21
1819	23
1819	22
1819	19
1819	23
1819	22
1819	22
1820	21
1820	17
1820	23
1820	20
1821	22
1821	22
1822	22
1822	21
1822	19
1823	18
1829	13
1830	16
1831	18
1833	14
1833	73
1834	13
1834	11
1834	10
1834	25
1834	11
1834	14
1834	10
1834	12
1834	11
1834	11
1834	12
1834	35
1834	18
1834	11
1834	14
1835	11
1835	12
1835	12
1835	14
1836	9
1836	17
1836	12
1836	75
1836	12
1836	15
1836	12
1836	13
1836	13
1836	11
1837	11
1837	12
1837	12
1837	17
1837	19
1838	11
1838	13
1838	12
1838	12
1838	13
1838	13
1838	11
1838	14
1838	15
1838	12
1838	13
1838	14
1838	11
1838	10
1838	11
1838	11
1838	14
1838	14
1839	10
1839	12
1839	14
1839	11
1839	11
1839	11
1839	15
1839	9
1839	10
1839	10
1839	11
1839	9
1839	11
1839	9
1839	10
1840	9
1840	8
1840	8
1840	11
1840	10
1840	10
1841	10
1841	14
1841	11
1841	10
1841	10
1841	10
1841	10
1841	11
1841	10
1842	16
1842	9
1842	11
1842	13
1842	11
1842	10
1842	11
1842	12
1842	14
1842	11
1842	14
1843	12
1843	13
1843	9
1843	10
1843	10
1844	12
1844	10
1844	18
1844	10
1844	9
1844	12
1844	11
1845	10
1845	12
1845	11
1845	10
1845	15
1845	11
1845	9
1845	11
1845	11
1845	11
1845	10
1845	11
1845	10
1845	13
1845	16
1845	11
1845	11
1846	12
1846	9
1846	13
1846	10
1846	16
1846	11
1846	8
1846	8
1846	8
1846	10
1846	10
1846	11
1846	12
1846	10
1846	11
1846	8
1846	10
1846	9
1846	11
1846	9
1846	9
1846	11
1846	11
1846	11
1847	8
1847	8
1847	10
1847	9
1847	10
1847	8
1847	8
1847	8
1847	10
1847	9
1847	11
1847	10
1847	10
1847	39
1847	9
1847	10
1847	10
1847	10
1847	8
1847	10
1848	12
1848	8
1848	14
1848	47
1848	8
1848	9
1848	8
1848	8
1848	8
1848	10
1848	7
1848	8
1848	6
1848	10
1848	10
1848	8
1848	8
1848	8
1848	9
1848	7
1848	10
1848	7
1848	9
1848	10
1848	10
1848	11
1848	13
1848	11
1848	11
1848	7
1848	11
1848	7
1849	8
1849	20
1849	12
1849	11
1849	10
1849	7
1849	10
1849	8
1849	7
1849	7
1849	8
1849	9
1849	9
1849	10
1849	9
1849	10
1849	9
1849	7
1849	8
1849	9
1849	9
1849	8
1849	9
1849	9
1849	8
1849	8
1849	9
1849	9
1849	10
1849	9
1849	8
1849	8
1849	10
1849	8
1849	8
1849	10
1849	9
1849	10
1849	8
1849	7
1849	7
1849	8
1849	5
1849	7
1849	7
1849	9
1849	10
1849	9
1849	8
1849	9
1849	10
1849	9
1849	10
1849	10
1850	12
1850	8
1850	13
1850	11
1850	9
1850	9
1850	12
1850	10
1850	11
1850	11
1850	9
1850	10
1850	9
1850	9
1850	10
1850	9
1850	9
1850	8
1850	13
1850	7
1850	6
1850	7
1850	7
1850	6
1850	6
1850	8
1850	7
1850	8
1850	6
1850	9
1850	9
1850	9
1850	8
1850	7
1850	7
1850	10
1850	7
1850	8
1850	7
1850	9
1850	6
1850	7
1850	7
1850	7
1850	8
1850	8
1850	6
1850	6
1850	8
1850	7
1850	7
1850	10
1850	10
1850	6
1850	8
1850	7
1850	8
1850	6
1850	8
1850	9
1850	10
1850	8
1850	9
1850	9
1850	7
1850	8
1850	10
1850	8
1850	6
1851	9
1851	6
1851	9
1851	6
1851	6
1851	6
1851	9
1851	9
1851	7
1851	9
1851	13
1851	10
1851	5
1851	7
1851	7
1851	7
1851	8
1851	6
1851	9
1851	12
1851	7
1851	7
1851	6
1851	7
1851	7
1851	7
1851	8
1851	6
1851	6
1851	9
1851	8
1852	5
1852	8
1852	7
1852	8
1852	9
1852	8
1852	8
1852	9
1852	7
1852	8
1852	9
1852	9
1852	11
1852	16
1852	9
1852	9
1853	8
1853	10
1853	6
1853	8
1853	7
1853	8
1853	12
1853	7
1853	11
1853	9
1853	6
1853	5
1853	8
1853	9
1853	6
1853	6
1853	6
1853	9
1853	5
1853	5
1853	6
1853	6
1853	6
1853	9
1853	8
1853	9
1853	11
1854	7
1854	6
1854	5
1854	7
1854	5
1854	6
1854	6
1854	7
1854	6
1855	7
1855	8
1855	9
1855	6
1855	8
1855	5
1855	6
1855	5
1855	6
1855	5
1855	8
1855	6
1855	6
1855	5
1855	5
1855	5
1855	6
1855	7
1855	5
1855	8
1855	7
1855	7
1855	6
1855	7
1855	5
1856	6
1856	11
1856	9
1856	7
1856	8
1856	5
1856	6
1856	7
1856	5
1856	5
1856	5
1856	7
1856	6
1856	5
1856	5
1856	5
1856	5
1856	6
1856	7
1856	5
1856	17
1856	16
1856	6
1856	6
1856	6
1856	6
1856	6
1856	6
1856	8
1856	9
1856	6
1856	5
1856	6
1856	7
1856	6
1856	10
1856	7
1856	7
1856	6
1856	7
1856	7
1856	6
1856	6
1856	6
1856	8
1856	4
1856	9
1857	6
1857	5
1857	6
1857	5
1857	7
1857	6
1857	6
1857	6
1857	6
1857	5
1857	5
1857	5
1857	5
1857	7
1857	7
1857	8
1857	9
1857	5
1857	7
1857	8
1857	5
1857	7
1857	7
1857	8
1857	7
1857	6
1857	5
1857	9
1857	5
1857	4
1857	6
1857	8
1857	5
1857	6
1857	5
1857	5
1857	6
1857	5
1857	6
1857	19
1857	8
1857	10
1857	7
1857	6
1857	4
1857	8
1857	14
1857	6
1857	5
1857	5
1857	5
1857	4
1857	6
1857	5
1857	4
1857	4
1857	5
1857	7
1857	6
1857	5
1857	6
1857	9
1858	5
1858	5
1858	5
1858	4
1858	5
1858	5
1858	6
1858	6
1858	12
1858	17
1858	7
1858	6
1858	5
1858	5
1858	15
1858	6
1858	5
1858	6
1858	7
1858	6
1858	4
1858	7
1858	8
1858	6
1858	7
1858	6
1858	6
1858	5
1858	7
1858	5
1858	5
1858	4
1858	8
1858	5
1858	9
1858	6
1858	5
1858	6
1858	6
1858	9
1858	5
1858	7
1858	7
1858	5
1858	11
1858	7
1858	6
1858	6
1858	5
1858	6
1858	7
1858	6
1858	6
1858	7
1858	11
1858	6
1858	11
1858	7
1858	5
1858	7
1858	6
1858	7
1858	6
1858	6
1858	7
1858	6
1858	11
1858	9
1858	6
1858	4
1858	6
1858	6
1858	6
1858	8
1858	7
1858	5
1858	8
1858	7
1858	6
1858	6
1858	10
1858	8
1858	10
1858	9
1858	11
1858	8
1858	7
1858	6
1858	15
1858	10
1858	7
1858	6
1858	6
1858	8
1858	26
1858	6
1858	10
1858	8
1858	7
1858	4
1858	8
1858	5
1858	5
1858	7
1858	8
1858	6
1858	5
1858	5
1858	5
1858	13
1858	11
1858	10
1858	5
1858	7
1858	6
1858	7
1858	6
1858	4
1858	8
1858	6
1858	7
1858	4
1858	6
1859	8
1859	6
1859	8
1859	8
1859	8
1859	7
1859	8
1859	4
1859	5
1859	7
1859	6
1859	6
1859	9
1859	7
1859	6
1859	7
1859	5
1859	7
1859	6
1859	7
1859	7
1859	5
1859	9
