year	delta	season
1870	4	s
1870	8	s
1870	4	s
1870	4	s
1870	5	s
1870	2	s
1871	5	w
1871	2	w
1871	7	w
1871	4	s
1871	2	w
1871	2	w
1872	34	s
1873	4	w
1875	38	w
1876	4	s
1876	5	s
1876	3	s
1876	2	s
1876	3	s
1876	2	s
1876	2	s
1876	2	s
1876	3	w
1876	3	w
1877	3	s
1877	6	s
1877	4	s
1877	4	s
1877	3	s
1877	3	s
1877	5	s
1877	4	s
1877	4	w
1877	4	w
1878	4	w
1878	4	w
1878	4	w
1878	5	s
1878	1	w
1879	3	w
1879	2	w
1879	14	w
1879	2	w
1879	2	w
1880	4	s
1880	4	s
1883	2	w
1883	2	s
1883	2	w
1883	2	w
1884	1	w
1884	2	w
1884	2	s
1884	2	w
1885	3	s
1885	2	w
1885	3	w
1885	3	w
1885	2	w
1885	1	w
1886	2	s
1886	2	w
1886	2	w
1886	21	w
1886	2	w
1887	2	s
1888	2	s
1888	1	s
1888	2	s
1888	2	w
