year	delta	season
1811	26	w
1830	23	w
1830	22	s
1846	21	s
1849	8	w
1849	8	w
1850	10	w
1850	8	w
1850	11	w
1850	10	w
1850	9	w
1850	8	w
1850	9	w
1851	10	s
1851	15	w
1852	6	w
1852	6	w
1852	9	s
1852	9	s
1852	7	s
1852	8	s
1852	8	w
1853	15	s
1853	7	s
1853	9	s
1853	5	s
1853	8	w
1854	6	w
1854	10	s
1854	7	s
1854	8	w
1854	7	w
1855	6	w
1855	12	w
1855	9	s
1855	6	s
1856	10	w
1856	10	w
1856	7	w
1856	6	s
1856	7	s
1856	9	s
1856	7	w
1857	10	w
1857	5	s
1857	7	s
1857	6	s
1857	6	s
1857	8	s
1857	5	w
1858	8	s
1858	11	s
1858	10	s
1858	12	s
1858	13	w
1858	12	w
1859	11	w
1859	9	w
1859	9	w
1859	9	w
1859	8	s
1860	9	w
1860	9	s
1861	7	s
1861	7	s
1861	8	s
1861	13	s
1862	10	s
1863	6	w
1863	8	s
1868	10	w
1868	8	w
