year	delta	season
1807	31	s
1807	39	s
1807	33	s
1807	28	s
1807	44	s
1811	29	s
1831	15	s
1838	10	s
1839	11	s
1839	11	s
1841	14	s
1843	12	w
1844	9	s
1844	8	s
1844	10	w
1845	4	s
1845	9	w
1849	12	w
1850	10	w
1850	18	s
1850	9	w
1851	11	w
1851	27	s
1854	8	w
1854	7	s
1854	6	s
1854	5	s
1854	8	w
1855	10	w
1855	11	w
1855	10	s
1856	6	w
1856	5	w
1856	3	w
1857	6	s
1858	3	w
1858	5	w
1858	7	s
1858	3	w
1859	8	w
1859	20	s
1861	8	s
1862	12	w
1863	7	w
1863	9	s
1863	6	s
1867	11	s
1872	2	w
1875	4	s
1878	2	w
1878	1	s
1878	2	s
1878	2	s
1878	2	w
1879	2	w
1879	3	w
1879	2	s
1879	1	s
1879	3	s
1879	2	w
1880	1	s
1884	2	w
1885	2	s
