year	delta	season
1809	32	w
1811	32	w
1812	28	w
1815	32	s
1827	25	s
1828	24	w
1828	24	w
1828	27	s
1828	21	s
1828	24	s
1828	26	w
1828	23	w
1828	22	w
1829	236	s
1829	23	w
1829	19	s
1829	21	s
1829	21	s
1829	21	w
1829	27	w
1830	23	w
1830	25	w
1830	21	w
1830	25	s
1830	21	s
1830	21	s
1830	21	s
1830	21	s
1830	20	s
1830	18	s
1830	20	s
1830	20	s
1830	21	s
1830	23	s
1830	23	s
1830	21	s
1830	22	w
1830	21	w
1831	22	w
1831	33	w
1831	23	s
1831	20	s
1831	22	s
1831	21	s
1831	23	w
1832	12	w
1832	22	w
1832	20	w
1832	22	w
1832	21	w
1832	21	w
1834	19	s
1834	21	s
1835	18	w
1836	20	s
1838	16	w
1838	21	w
1838	21	w
1839	58	w
1839	16	s
1839	15	w
1839	14	w
1840	26	w
1840	15	w
1840	15	w
1840	14	w
1840	16	w
1840	15	w
1840	37	w
1840	17	s
1840	17	s
1840	14	s
1840	13	s
1840	16	w
1840	15	w
1840	18	w
1841	16	w
1841	15	w
1841	12	s
1841	15	s
1841	15	s
1841	12	s
1841	14	s
1841	17	s
1841	13	s
1841	14	s
1844	15	w
1844	16	s
1844	14	s
1845	44	s
1846	15	s
1848	13	w
1854	4	w
1854	4	s
1854	5	w
1857	6	s
1857	8	s
1858	8	s
1859	6	s
1861	3	w
1861	3	s
1862	1	w
1862	1	s
1864	3	w
1865	3	s
1866	4	s
1866	2	w
1867	1	w
1867	1	w
1867	3	w
1867	3	w
1869	13	s
1869	2	w
1874	7	s
1875	2	w
1876	3	s
1880	2	w
1881	3	w
1881	1	s
1883	3	s
1884	2	s
1884	1	s
1885	1	s
1887	2	w
1888	1	w
