year	delta	season
1870	1	w
1870	3	w
1870	8	s
1870	2	s
1870	3	s
1870	3	s
1870	3	s
1870	2	s
1870	8	s
1870	4	s
1870	3	s
1870	8	s
1870	10	s
1870	3	s
1870	10	s
1870	3	s
1870	2	s
1870	9	s
1870	8	s
1870	3	s
1870	8	s
1870	2	w
1870	3	w
1870	2	w
1870	4	w
1870	14	s
1870	8	w
1870	2	w
1870	8	w
1870	3	w
1870	3	w
1870	7	w
1870	2	w
1870	2	w
1870	5	w
1870	3	w
1870	2	w
1870	2	w
1870	3	w
1870	2	w
1870	7	w
1870	2	w
1870	2	w
1870	2	w
1870	3	w
1870	3	w
1870	2	w
1870	6	w
1870	3	w
1870	3	w
1870	3	w
1870	10	w
1870	3	w
1870	3	w
1870	2	w
1870	1	w
1870	3	w
1870	1	w
1870	3	w
1870	2	w
1870	10	w
1870	9	w
1881	1	s
1886	17	s
1887	16	w
1887	16	w
1888	3	w
