year	delta	season
1802	84	w
1811	125	w
1811	68	s
1815	61	w
1819	76	s
1822	50	w
1824	82	w
1825	41	s
1839	57	w
1843	33	s
1844	43	w
1845	33	s
1850	26	s
1852	17	s
1852	24	s
1853	27	w
1854	21	s
1855	22	w
1855	21	s
1855	21	w
1856	33	w
1857	15	s
1857	13	s
1857	16	s
1857	15	s
1858	14	w
1859	15	w
1864	7	s
1865	28	s
1868	3	s
1877	3	w
1878	1	w
1881	4	s
1881	1	s
1881	2	s
1881	4	s
1881	4	s
1881	7	s
1881	2	s
1881	3	s
1881	8	s
1881	3	s
1881	3	s
1881	2	s
1881	1	w
1881	2	w
1881	3	w
1881	3	w
1881	10	w
1881	3	w
1881	4	w
1883	1	s
1883	2	s
1884	3	s
