year	delta	season
1809	36	w
1810	32	s
1811	39	w
1811	32	w
1812	31	w
1814	36	s
1815	34	w
1815	27	w
1817	27	w
1817	37	s
1817	27	w
1818	35	s
1819	29	w
1819	36	s
1821	30	w
1821	27	w
1821	28	w
1821	24	w
1821	28	w
1821	30	w
1822	35	w
1825	28	w
1825	28	s
1829	29	w
1831	24	w
1831	20	s
1831	21	s
1831	21	s
1831	19	w
1831	21	w
1831	21	w
1832	22	s
1832	50	s
1832	22	w
1833	19	s
1833	20	s
1833	20	s
1834	18	w
1834	18	w
1834	21	w
1834	18	w
1834	20	s
1834	21	s
1834	22	s
1834	20	s
1834	18	w
1835	47	s
1835	47	s
1835	16	s
1835	18	s
1836	16	w
1836	20	w
1836	17	s
1836	17	s
1836	22	s
1836	15	s
1836	21	w
1837	15	w
1837	25	s
1838	20	s
1838	20	s
1838	16	w
1839	25	w
1839	16	w
1839	15	s
1839	14	w
1839	17	w
1840	16	s
1840	17	w
1841	16	w
1841	18	s
1841	18	s
1842	20	w
1842	19	w
1842	15	w
1843	18	s
1843	19	s
1843	23	s
1843	21	s
1843	19	w
1843	20	w
1844	16	w
1844	16	w
1844	15	s
1844	17	s
1844	14	s
1844	18	s
1844	18	w
1844	18	w
1844	17	w
1845	19	w
1845	26	w
1845	19	w
1845	16	w
1845	15	s
1845	14	w
1845	20	w
1846	16	w
1846	20	w
1846	13	s
1846	19	s
1846	20	s
1846	14	s
1846	15	s
1846	14	w
1846	13	w
1847	16	w
1847	17	w
1847	17	w
1847	34	w
1847	11	s
1847	19	s
1847	15	s
1847	12	s
1847	18	s
1847	12	s
1847	14	w
1847	13	w
1847	14	w
1847	12	w
1847	21	w
1847	15	w
1847	16	w
1847	16	w
1847	13	w
1847	16	w
1848	14	w
1848	13	w
1848	20	w
1848	19	w
1848	21	w
1848	16	w
1848	16	w
1848	15	w
1848	13	w
1848	15	w
1848	10	s
1848	15	s
1848	16	s
1848	22	s
1848	17	s
1848	18	s
1848	13	s
1848	16	s
1848	12	s
1848	14	s
1848	12	s
1848	13	s
1848	16	s
1848	14	s
1848	15	w
1848	13	w
1848	13	w
1848	11	w
1848	14	w
1848	12	w
1848	15	w
1848	11	w
1848	11	w
1848	14	w
1848	15	w
1848	14	w
1849	17	w
1849	12	w
1849	13	w
1849	13	w
1849	11	w
1849	22	w
1849	9	w
1849	11	w
1849	13	w
1849	12	w
1849	14	w
1849	14	w
1849	15	w
1849	16	w
1849	12	w
1849	15	w
1849	13	w
1849	12	w
1849	17	w
1849	18	w
1849	14	w
1849	11	w
1849	13	w
1849	11	w
1849	12	w
1849	16	w
1849	11	w
1849	15	w
1849	12	w
1849	13	w
1849	12	w
1849	13	w
1849	14	w
1849	11	w
1849	13	w
1849	12	w
1849	15	w
1849	13	w
1849	12	w
1849	9	w
1849	13	w
1849	13	w
1849	11	w
1849	13	w
1849	12	w
1849	11	w
1849	12	w
1849	12	w
1849	12	w
1849	12	w
1849	14	w
1849	13	w
1849	13	w
1849	12	w
1849	12	w
1849	17	w
1849	12	w
1849	15	w
1849	13	w
1849	13	s
1849	11	s
1849	13	s
1849	12	s
1849	12	s
1849	12	s
1849	12	s
1849	11	s
1849	12	s
1849	12	s
1849	14	s
1849	11	s
1849	12	s
1849	11	s
1849	10	s
1849	11	s
1849	12	s
1849	11	s
1849	12	s
1849	11	s
1849	11	s
1849	14	s
1849	13	s
1849	13	s
1849	12	s
1849	13	s
1849	14	s
1849	13	s
1849	13	s
1849	13	s
1849	12	s
1849	11	s
1849	11	s
1849	14	s
1849	11	s
1849	12	s
1849	14	s
1849	17	s
1849	13	s
1849	13	s
1849	13	s
1849	12	s
1849	12	s
1849	12	s
1849	12	s
1849	18	s
1849	12	s
1849	12	s
1849	12	s
1849	11	w
1849	12	w
1849	12	w
1849	13	w
1849	13	w
1849	13	w
1849	11	w
1849	10	w
1849	10	w
1849	11	w
1849	11	w
1850	13	w
1850	12	w
1850	14	w
1850	12	w
1850	17	w
1850	12	w
1850	17	w
1850	13	w
1850	14	w
1850	16	w
1850	13	w
1850	14	w
1850	13	w
1850	13	w
1850	14	w
1850	12	w
1850	13	w
1850	12	w
1850	12	w
1850	11	w
1850	17	w
1850	14	w
1850	12	w
1850	12	w
1850	12	w
1850	12	w
1850	12	w
1850	13	w
1850	12	w
1850	11	w
1850	13	w
1850	11	w
1850	11	w
1850	14	w
1850	17	w
1850	10	s
1850	9	s
1850	12	s
1850	11	s
1850	9	s
1850	11	s
1850	11	s
1850	13	s
1850	13	s
1850	12	s
1850	12	s
1850	10	s
1850	11	s
1850	12	s
1850	11	s
1850	12	s
1850	11	s
1850	15	s
1850	12	s
1850	12	s
1850	13	s
1850	347	s
1850	12	s
1850	12	s
1850	12	s
1850	12	s
1850	10	s
1850	13	s
1850	11	s
1850	15	s
1850	13	s
1850	11	s
1850	11	s
1850	10	s
1850	9	s
1850	14	s
1850	11	s
1850	10	s
1850	11	s
1850	14	s
1850	13	s
1850	12	s
1850	11	s
1850	13	s
1850	11	s
1850	10	s
1850	12	s
1850	11	s
1850	12	s
1850	9	s
1850	11	s
1850	13	s
1850	11	s
1850	13	s
1850	10	s
1850	13	s
1850	9	s
1850	11	s
1850	8	s
1850	10	s
1850	11	s
1850	10	s
1850	11	s
1850	11	s
1850	9	s
1850	13	s
1850	11	s
1850	13	s
1850	12	s
1850	11	s
1850	11	s
1850	9	s
1850	10	s
1850	12	s
1850	10	s
1850	10	s
1850	13	s
1850	13	s
1850	11	s
1850	12	s
1850	10	s
1850	9	s
1850	12	s
1850	10	s
1850	11	s
1850	9	s
1850	12	s
1850	10	s
1850	13	s
1850	8	w
1850	13	w
1850	13	w
1850	9	w
1850	10	w
1850	12	w
1850	12	w
1850	11	w
1850	9	w
1850	12	w
1850	12	w
1850	15	w
1850	15	w
1850	12	w
1850	15	w
1850	12	w
1850	12	w
1850	10	w
1850	10	w
1850	9	w
1850	13	w
1850	13	w
1850	11	w
1850	10	w
1850	11	w
1850	13	w
1850	12	w
1850	14	w
1850	15	w
1851	14	w
1851	12	w
1851	11	w
1851	12	w
1851	12	w
1851	13	w
1851	11	w
1851	12	w
1851	11	w
1851	11	w
1851	13	w
1851	10	w
1851	9	w
1851	12	w
1851	13	w
1851	9	w
1851	12	w
1851	13	w
1851	13	w
1851	13	w
1851	18	w
1851	14	w
1851	15	w
1851	12	w
1851	13	s
1851	12	s
1851	10	s
1851	10	s
1851	9	s
1851	11	s
1851	11	s
1851	12	s
1851	9	s
1851	11	s
1851	10	s
1851	10	s
1851	12	s
1851	11	s
1851	9	s
1851	11	s
1851	10	s
1851	9	s
1851	10	s
1851	12	s
1851	9	s
1851	9	s
1851	10	s
1851	10	s
1851	11	s
1851	13	s
1851	12	s
1851	9	s
1851	10	s
1851	9	s
1851	11	s
1851	11	s
1851	13	s
1851	10	s
1851	11	s
1851	9	s
1851	14	s
1851	13	s
1851	8	s
1851	9	s
1851	11	s
1851	12	s
1851	9	s
1851	12	s
1851	10	s
1851	10	s
1851	14	s
1851	12	s
1851	12	s
1851	11	s
1851	10	s
1851	10	s
1851	12	s
1851	14	s
1851	11	s
1851	12	s
1851	10	s
1851	10	s
1851	10	w
1851	9	w
1851	13	w
1851	16	w
1851	8	w
1851	10	w
1851	12	w
1851	10	w
1851	13	w
1851	12	w
1851	11	w
1851	10	w
1851	12	w
1851	11	w
1851	9	w
1851	12	w
1851	9	w
1851	9	w
1851	12	w
1851	11	w
1852	12	w
1852	9	w
1852	10	w
1852	10	w
1852	9	w
1852	10	w
1852	11	w
1852	10	w
1852	10	w
1852	12	w
1852	8	w
1852	11	w
1852	10	w
1852	10	w
1852	13	w
1852	14	w
1852	12	w
1852	11	w
1852	9	w
1852	11	w
1852	12	w
1852	9	w
1852	9	s
1852	10	s
1852	8	s
1852	11	s
1852	10	s
1852	9	s
1852	11	s
1852	10	s
1852	9	s
1852	9	s
1852	12	s
1852	9	s
1852	12	s
1852	9	s
1852	9	s
1852	9	s
1852	9	s
1852	10	s
1852	9	s
1852	13	s
1852	11	s
1852	11	s
1852	10	s
1852	10	s
1852	12	s
1852	14	s
1852	9	s
1852	9	s
1852	9	s
1852	10	s
1852	11	w
1852	10	w
1852	8	w
1852	8	w
1852	7	w
1852	11	w
1852	9	w
1852	11	w
1852	8	w
1852	8	w
1852	9	w
1852	9	w
1852	9	w
1852	11	w
1852	8	w
1852	11	w
1852	10	w
1852	9	w
1853	12	w
1853	9	w
1853	8	w
1853	12	w
1853	11	w
1853	10	w
1853	10	w
1853	13	w
1853	9	w
1853	11	w
1853	10	w
1853	11	w
1853	11	w
1853	10	w
1853	18	w
1853	11	w
1853	11	w
1853	14	w
1853	14	w
1853	12	w
1853	15	w
1853	10	w
1853	8	w
1853	11	w
1853	6	w
1853	13	w
1853	7	s
1853	7	s
1853	10	s
1853	14	s
1853	11	s
1853	10	s
1853	10	s
1853	7	s
1853	14	s
1853	6	s
1853	9	s
1853	6	s
1853	11	s
1853	10	s
1853	12	s
1853	11	s
1853	10	s
1853	9	s
1853	11	s
1853	8	s
1853	10	s
1853	8	s
1853	6	s
1853	19	s
1853	10	s
1853	10	s
1853	8	s
1853	11	s
1853	10	s
1853	9	s
1853	8	s
1853	12	s
1853	10	s
1853	9	s
1853	12	s
1853	11	s
1853	6	s
1853	12	s
1853	11	s
1853	10	s
1853	11	s
1853	13	s
1853	11	s
1853	9	s
1853	9	s
1853	12	s
1853	13	s
1853	11	s
1853	10	s
1853	9	s
1853	18	s
1853	10	s
1853	10	s
1853	10	s
1853	11	s
1853	12	s
1853	9	s
1853	13	s
1853	9	w
1853	11	w
1853	11	w
1853	10	w
1853	9	w
1853	7	w
1853	11	w
1853	10	w
1853	8	w
1853	4	w
1853	8	w
1853	9	w
1853	12	w
1853	4	w
1853	9	w
1853	6	w
1853	11	w
1853	9	w
1853	9	w
1853	9	w
1853	5	w
1853	5	w
1853	11	w
1853	6	w
1853	4	w
1853	10	w
1853	13	w
1853	13	w
1853	10	w
1853	11	w
1853	18	w
1853	11	w
1853	10	w
1853	9	w
1853	11	w
1853	12	w
1854	12	w
1854	10	w
1854	10	w
1854	9	w
1854	11	w
1854	12	w
1854	11	w
1854	14	w
1854	10	w
1854	9	w
1854	6	w
1854	9	w
1854	4	w
1854	9	w
1854	10	w
1854	12	w
1854	14	w
1854	13	w
1854	10	w
1854	10	w
1854	12	w
1854	6	w
1854	10	w
1854	10	w
1854	11	w
1854	8	w
1854	13	w
1854	12	s
1854	9	s
1854	9	s
1854	8	s
1854	10	s
1854	11	s
1854	9	s
1854	7	s
1854	10	s
1854	11	s
1854	13	s
1854	10	s
1854	11	s
1854	6	s
1854	9	s
1854	11	s
1854	10	s
1854	11	s
1854	10	s
1854	9	s
1854	11	s
1854	9	s
1854	12	s
1854	9	s
1854	12	s
1854	9	s
1854	11	s
1854	10	s
1854	10	s
1854	11	s
1854	21	s
1854	9	w
1854	11	w
1854	12	w
1854	15	w
1854	12	w
1854	12	w
1854	10	w
1854	9	w
1854	8	w
1854	11	w
1854	10	w
1854	13	w
1854	6	w
1854	17	w
1854	8	w
1854	10	w
1854	11	w
1855	4	w
1855	6	w
1855	7	w
1855	10	w
1855	11	w
1855	5	w
1855	10	w
1855	7	w
1855	6	w
1855	9	w
1855	20	w
1855	7	w
1855	5	w
1855	9	w
1855	9	w
1855	12	w
1855	8	w
1855	8	w
1855	10	w
1855	11	w
1855	11	w
1855	10	w
1855	11	w
1855	11	w
1855	11	w
1855	8	w
1855	6	w
1855	17	w
1855	10	w
1855	9	w
1855	4	w
1855	8	w
1855	9	w
1855	10	w
1855	11	w
1855	8	w
1855	10	w
1855	12	w
1855	13	w
1855	14	w
1855	11	w
1855	11	w
1855	12	w
1855	9	w
