year	delta	season
1809	30	w
1809	17	w
1810	18	w
1810	20	w
1811	28	w
1811	29	w
1811	15	w
1811	23	s
1811	22	s
1811	23	s
1811	19	s
1811	44	w
1812	23	w
1812	25	s
1812	15	s
1812	13	s
1812	18	s
1812	20	w
1812	21	w
1813	15	w
1834	17	s
1839	22	s
1840	15	s
1853	14	w
1855	40	w
1859	27	s
1860	24	s
1862	5	w
1863	13	w
1863	12	s
1863	8	s
1863	16	s
1863	8	s
1864	15	s
1865	17	s
1866	8	s
1866	7	w
1867	13	s
1867	8	s
1867	5	s
1869	2	s
1870	3	s
1870	5	w
1870	5	w
1871	3	w
1871	4	s
1877	2	s
1880	2	s
1883	1	s
1883	2	s
1883	5	s
1887	3	s
