year	delta	season
1803	20	s
1806	27	w
1807	91	s
1817	32	s
1819	21	w
1821	22	s
1821	23	s
1821	19	s
1821	17	s
1821	21	s
1821	20	s
1821	21	s
1821	16	s
1821	19	s
1821	12	s
1821	18	s
1821	17	s
1821	18	s
1821	20	s
1821	19	s
1821	9	s
1821	13	s
1821	13	s
1821	12	s
1821	16	s
1821	22	s
1821	15	s
1821	29	s
1821	16	w
1821	21	w
1821	30	w
1821	22	w
1821	21	w
1821	28	w
1821	16	w
1821	16	w
1822	21	w
1822	17	s
1822	19	s
1822	18	s
1822	19	s
1822	27	s
1822	19	s
1822	20	s
1822	19	s
1822	16	w
1822	32	s
1822	28	w
1822	11	w
1822	15	w
1823	16	w
1823	15	w
1823	25	w
1823	13	w
1823	13	w
1823	14	w
1823	16	w
1823	18	w
1823	19	w
1823	21	w
1823	24	w
1823	18	w
1823	13	w
1823	15	w
1823	15	s
1823	20	s
1823	14	s
1823	14	s
1823	22	s
1823	22	s
1823	13	s
1823	16	s
1823	16	s
1823	16	s
1823	12	s
1823	15	s
1823	20	s
1823	19	s
1823	24	s
1823	20	s
1823	22	s
1823	23	s
1823	15	s
1823	17	s
1823	15	s
1823	18	s
1823	22	s
1823	19	s
1823	24	s
1823	17	s
1823	17	s
1823	12	w
1823	19	w
1823	17	w
1823	13	w
1823	22	w
1823	15	w
1823	17	w
1824	16	w
1824	19	w
1824	19	w
1824	17	w
1824	18	w
1824	13	w
1824	13	w
1824	17	w
1824	19	w
1824	23	w
1824	18	w
1824	16	w
1824	17	s
1824	18	s
1824	20	s
1824	22	s
1824	57	w
1824	16	s
1824	18	s
1824	56	s
1824	19	s
1824	29	s
1824	19	s
1824	23	s
1824	23	s
1824	26	s
1824	25	s
1824	14	s
1824	13	s
1824	16	s
1824	17	s
1824	19	s
1824	16	s
1824	11	s
1824	9	s
1824	21	s
1824	23	s
1824	26	s
1824	27	s
1824	23	s
1824	25	s
1824	24	s
1824	18	s
1824	16	w
1824	18	w
1824	19	w
1824	19	w
1824	25	w
1824	25	w
1824	14	w
1824	16	w
1824	28	w
1824	22	w
1825	34	w
1825	28	w
1825	14	w
1825	21	w
1825	33	w
1825	14	w
1825	17	w
1825	11	w
1825	15	w
1825	18	w
1825	21	w
1825	16	w
1825	19	w
1825	18	w
1825	17	w
1825	16	w
1825	24	w
1825	19	s
1825	26	s
1825	18	s
1825	16	s
1825	17	s
1825	17	s
1825	17	s
1825	17	s
1825	14	s
1825	10	s
1825	23	s
1825	19	s
1825	18	s
1825	20	s
1825	17	s
1825	30	s
1825	19	s
1825	15	s
1825	28	s
1825	30	s
1825	21	s
1825	18	s
1825	17	s
1825	20	s
1825	15	s
1825	15	s
1825	13	s
1825	14	s
1825	12	s
1825	14	s
1825	6	w
1825	13	w
1825	22	w
1825	27	w
1825	14	w
1825	16	w
1825	12	w
1825	11	w
1825	3	w
1825	20	w
1825	10	w
1826	15	w
1826	23	w
1826	20	w
1826	23	w
1826	22	w
1826	12	w
1826	16	w
1826	21	w
1826	24	w
1826	23	w
1826	33	w
1826	12	s
1826	14	s
1826	10	s
1826	19	s
1826	17	s
1826	16	s
1826	16	s
1826	1	s
1826	11	s
1826	20	s
1826	19	s
1826	44	s
1826	17	s
1826	15	s
1826	14	s
1826	15	s
1826	6	s
1826	10	s
1826	12	s
1826	13	s
1826	10	s
1826	15	s
1826	12	s
1826	13	s
1826	13	w
1826	8	w
1827	12	s
1827	9	s
1827	8	w
1828	13	w
1828	18	w
1828	16	w
1828	12	w
1828	13	w
1828	10	w
1828	13	w
1828	12	w
1828	12	w
1828	14	w
1828	11	w
1828	14	w
1828	18	w
1828	10	s
1828	20	s
1828	8	s
1828	16	s
1828	10	s
1828	13	s
1828	8	s
1828	5	s
1828	6	s
1828	6	s
1828	9	s
1828	9	s
1828	12	s
1828	43	s
1828	8	s
1828	8	s
1828	7	s
1828	7	s
1828	11	s
1828	7	s
1828	6	s
1828	9	s
1828	12	s
1828	11	w
1828	2	w
1828	10	w
1828	8	w
1828	8	w
1828	11	w
1828	8	w
1828	9	w
1828	13	w
1828	5	w
1828	8	w
1828	10	w
1828	12	w
1828	12	w
1828	11	w
1828	7	w
1829	10	w
1829	9	w
1829	12	w
1829	10	w
1829	17	w
1829	13	w
1829	7	w
1829	7	s
1829	9	s
1829	7	s
1829	13	s
1829	16	s
1829	5	s
1829	18	s
1829	10	s
1829	9	s
1829	12	s
1829	13	s
1829	17	s
1829	10	s
1829	9	s
1829	9	s
1829	7	s
1829	7	w
1829	9	w
1829	6	w
1829	7	w
1829	11	w
1829	12	w
1829	11	w
1829	15	w
1830	21	w
1830	12	w
1830	12	w
1830	8	s
1830	6	s
1830	12	s
1830	14	s
1830	10	s
1830	10	s
1830	12	s
1830	10	w
1830	11	w
1830	14	w
1831	12	w
1831	21	w
1831	16	s
1831	12	w
1832	16	w
1832	15	w
1832	11	w
1832	8	s
1832	7	s
1832	7	s
1832	9	s
1832	10	s
1833	18	w
1833	13	s
1833	12	s
1833	15	s
1833	12	s
1833	19	s
1833	17	s
1833	19	s
1833	8	s
1833	10	w
1833	12	w
1833	12	w
1833	16	w
1834	14	w
1834	14	w
1834	15	w
1834	11	w
1834	9	w
1834	12	w
1834	20	s
1834	14	s
1834	15	s
1834	2	s
1834	14	w
1834	11	w
1834	13	w
1834	12	w
1834	10	w
1835	25	w
1835	13	s
1835	14	s
1835	12	s
1835	12	s
1839	8	w
1840	8	s
1840	5	s
1840	3	s
1840	5	s
1840	8	s
1840	7	s
1840	33	s
1840	9	w
1840	7	w
1840	9	w
1840	8	w
1840	8	w
1841	6	w
1841	8	w
1841	9	w
1841	45	w
1841	7	w
1841	6	w
1841	8	w
1841	12	w
1841	7	s
1841	5	s
1841	3	s
1841	4	s
1841	5	s
1841	9	s
1841	9	s
1841	5	s
1841	6	s
1841	7	s
1841	7	s
1841	11	s
1841	4	s
1841	4	s
1841	4	s
1841	5	s
1841	11	s
1841	6	s
1841	8	s
1841	9	s
1841	7	s
1841	8	w
1842	8	w
1842	11	w
1842	5	w
1842	5	w
1842	8	s
1842	6	s
1842	5	s
1842	5	s
1842	1	s
1842	9	s
1842	6	s
1842	5	s
1842	7	s
1842	4	s
1842	6	s
1842	8	s
1842	8	s
1842	6	w
1842	6	w
1842	7	w
1843	8	w
1843	5	w
1843	11	w
1843	12	w
1843	7	w
1843	8	w
1843	6	w
1843	7	w
1843	5	w
1843	8	w
1843	5	s
1843	8	s
1843	7	s
1843	7	s
1843	9	s
1843	6	s
1843	1	s
1843	9	s
1843	9	s
1843	8	s
1843	2	s
1843	8	s
1843	7	w
1843	8	w
1843	9	w
1844	9	w
1844	13	w
1844	10	w
1844	7	w
1844	7	w
1844	10	w
1844	13	w
1844	9	w
1844	5	s
1844	8	s
1844	4	s
1844	4	s
1844	7	s
1844	4	s
1844	10	s
1844	7	s
1844	4	s
1844	4	w
1844	8	w
1844	7	w
1844	8	w
1844	5	w
1844	4	w
1844	7	w
1844	5	w
1844	4	w
1844	7	w
1845	7	s
1845	8	s
1845	8	s
1846	7	s
1846	5	s
1846	5	w
1846	7	w
1847	5	w
1847	15	s
1847	5	s
1847	5	w
1848	3	s
1850	2	s
