year	delta	season
1803	32	s
1803	25	s
1804	23	s
1804	22	w
1805	27	s
1805	28	w
1805	29	w
1805	30	w
1806	30	w
1806	22	w
1806	26	w
1806	30	w
1807	37	w
1807	37	w
1809	23	w
1809	25	s
1809	25	s
1811	27	s
1811	26	w
1834	21	w
1835	14	s
1839	12	s
1841	14	w
1843	15	w
1844	11	w
1845	10	w
1846	14	w
1846	15	w
1847	9	s
1847	11	s
1848	8	s
1848	10	w
1848	11	w
1849	12	w
1849	11	s
1849	9	s
1849	10	w
1850	9	s
1851	13	s
1853	7	w
1854	7	s
1856	7	w
1856	6	w
1858	12	s
1858	10	w
1859	8	w
1859	8	s
1859	9	s
1859	8	s
1859	7	s
1859	10	s
1859	10	s
1859	7	s
1859	7	s
1859	12	s
1859	6	s
