year	delta	season
1829	27	w
1829	29	s
1853	24	s
1853	12	s
1853	37	s
1853	8	w
1854	4	s
1854	10	s
1854	9	s
1854	8	s
1854	10	s
1854	6	s
1854	5	s
1854	2	s
1854	3	s
1854	13	s
1854	3	s
1854	2	s
1854	2	s
1854	3	w
1854	3	w
1854	9	w
1855	4	w
1855	8	w
1855	2	w
1855	6	w
1855	4	w
1855	3	s
1855	1	s
1855	3	s
1855	3	s
1855	2	s
1855	9	s
1855	4	s
1855	3	s
1855	3	s
1855	4	s
1855	2	s
1855	5	s
1855	6	w
1855	4	w
1855	3	w
1855	5	w
1855	4	w
1877	3	s
1877	1	s
1877	3	s
1877	5	s
1877	3	w
1878	3	s
1886	1	w
1887	2	w
1888	1	w
