year	delta	season
1802	28	w
1802	42	w
1803	35	w
1803	29	w
1804	33	s
1804	30	s
1804	32	s
1804	31	s
1804	33	w
1804	31	w
1805	35	w
1805	35	w
1805	33	w
1805	29	s
1805	31	s
1805	49	w
1805	46	w
1806	29	w
1806	28	w
1806	34	s
1806	33	s
1807	51	w
1807	56	w
1807	40	s
1807	42	s
1807	35	s
1807	40	w
1808	36	w
1808	38	w
1808	32	w
1808	28	s
1809	32	w
1809	34	w
1810	32	s
1811	44	w
1811	31	w
1811	56	w
1815	29	s
1815	28	s
1819	36	w
1821	32	w
1821	32	w
1822	30	w
1822	39	w
1822	27	w
1824	39	s
1826	37	w
1829	36	w
1830	28	w
1831	22	w
1831	24	w
1831	22	s
1831	22	s
1831	24	s
1831	28	s
1831	28	s
1832	20	w
1833	17	w
1834	18	w
1834	19	s
1835	22	s
1836	19	w
1836	18	s
1836	19	w
1838	22	s
1838	20	w
1838	17	w
1838	14	w
1841	17	s
1842	17	w
1843	14	s
1844	18	s
1845	19	w
1845	15	s
1845	14	w
1845	13	w
1845	14	w
1846	19	w
1846	17	w
1846	15	w
1846	13	s
1846	14	s
1846	17	s
1846	12	s
1847	14	w
1847	11	s
1847	12	s
1847	14	s
1847	15	s
1847	15	s
1847	13	w
1848	15	w
1848	14	w
1848	19	w
1848	18	w
1848	13	w
1848	12	w
1848	15	w
1848	13	s
1848	16	s
1848	13	s
1848	13	s
1848	16	w
1848	14	w
1849	21	w
1849	14	w
1849	26	w
1849	20	w
1849	16	w
1849	19	w
1849	16	w
1849	22	w
1849	20	s
1849	20	s
1849	18	w
1849	15	w
1849	12	w
1849	19	w
1849	14	w
1849	14	w
1850	12	w
1850	15	w
1850	24	w
1850	11	w
1850	10	w
1850	14	w
1850	10	s
1850	10	s
1850	9	s
1850	10	s
1850	11	s
1850	10	s
1850	8	s
1850	10	s
1850	11	s
1850	11	s
1850	16	w
1850	12	w
1850	10	w
1850	13	w
1850	8	w
1850	11	w
1851	7	w
1851	10	w
1851	15	w
1851	14	w
1851	10	w
1851	9	w
1851	9	s
1851	9	s
1851	8	s
1851	9	s
1851	12	s
1851	8	s
1851	6	s
1851	17	s
1851	7	s
1851	9	s
1851	8	w
1851	17	w
1851	8	w
1851	15	w
1852	9	w
1852	8	w
1852	11	w
1852	10	w
1852	15	w
1852	15	w
1852	18	w
1852	8	w
1852	7	w
1852	8	w
1852	14	w
1852	17	s
1852	14	s
1852	12	s
1852	13	s
1852	11	s
1852	11	s
1852	7	w
1852	7	w
1852	11	w
1852	15	w
1853	17	w
1853	12	w
1853	8	w
1853	52	w
1853	12	s
1853	19	s
1853	10	s
1853	6	s
1854	7	w
1854	8	s
1854	11	s
1854	11	w
1855	6	w
1855	8	w
1855	7	s
1855	7	s
1855	6	w
1856	7	w
1856	7	w
1856	11	w
1856	8	w
1856	11	w
1856	6	w
1856	7	w
1856	7	w
1856	6	w
1856	7	w
1856	8	w
1856	6	w
1856	9	w
1856	13	w
1856	8	w
1856	10	w
1856	9	w
1857	6	w
1857	9	w
1857	8	s
1857	8	w
1858	12	w
1858	13	w
1858	8	w
1858	13	w
1858	10	s
1858	6	s
1858	9	s
1858	12	s
1858	10	s
1858	8	s
1858	8	s
1858	8	s
1858	7	s
1858	7	w
1858	16	w
1858	10	w
1858	10	w
1859	6	w
1859	8	w
1859	6	w
1859	7	w
1859	16	w
1859	8	w
1859	11	w
1859	8	w
1859	10	w
1859	7	w
1859	14	s
1859	7	s
1859	9	s
1859	8	s
1859	8	s
1859	5	s
1859	8	s
1859	5	s
1859	7	s
1859	11	s
1859	6	s
1859	12	s
1859	6	s
1859	7	s
1859	11	s
1859	11	w
1859	8	w
1859	9	w
1860	9	w
1860	9	w
1860	8	w
1860	8	s
1860	8	s
1860	9	s
1860	8	s
1860	10	s
1860	8	w
1860	11	w
1860	8	w
1860	12	w
1860	9	w
1860	12	w
1860	5	w
1860	9	w
1860	10	w
1860	11	w
1861	10	w
1861	10	w
1861	13	w
1861	9	w
1861	7	w
1861	12	w
1861	7	s
1861	9	s
1861	9	s
1861	9	s
1861	8	s
1861	8	w
1861	11	w
1861	4	w
1861	17	w
1861	10	w
1862	5	w
1865	2	s
1866	5	s
1866	3	w
1866	4	w
1866	4	w
1866	5	w
1866	7	w
1867	3	w
1867	3	s
1867	14	s
1868	3	w
1868	15	s
1868	6	s
1868	3	w
1869	13	w
1869	3	s
1869	3	s
1869	3	s
1869	3	s
1870	9	s
1874	4	s
1875	1	w
1875	4	w
1875	1	w
1875	3	w
1875	2	w
1875	128	w
1875	127	w
1875	126	w
1875	121	w
1875	112	w
1875	109	w
1875	107	w
1879	3	s
1880	1	s
1883	2	w
1883	3	w
1883	3	s
1883	2	s
1883	1	s
1886	3	s
1887	7	w
