year	delta
1807	52
1807	39
1809	34
1814	28
1816	30
1816	23
1822	26
1822	25
1822	27
1822	30
1822	26
1822	30
1822	27
1822	30
1831	31
1836	18
1838	21
1845	17
1847	16
1848	10
1848	10
1848	13
1848	13
1848	10
1848	10
1848	11
1848	8
1848	13
1848	11
1848	11
1848	13
1848	13
1848	15
1848	16
1849	19
1849	12
1849	18
1849	13
1849	11
1850	11
1850	11
1850	11
1851	16
1851	13
1851	4
1851	16
1851	14
1851	16
1851	8
1851	7
1851	7
1851	28
1852	8
1852	8
1852	18
1852	8
1853	7
1853	11
1853	13
1853	13
1853	11
1854	9
1854	9
1854	8
1854	11
1854	11
1854	7
1855	8
1855	7
1855	9
1855	7
1855	7
1855	8
1856	7
1856	7
1856	6
1856	6
1857	7
1857	8
1857	7
1857	6
1857	6
1857	7
1857	8
1857	7
1857	7
1857	5
1857	7
1857	10
1857	7
1857	10
1857	6
1857	7
1857	10
1857	7
1857	7
1857	6
1857	8
1858	3
1859	5
1859	7
1859	6
1859	4
1859	8
1859	11
1859	11
1859	8
1859	15
1859	9
1860	8
1860	9
1860	9
1860	11
1860	8
1860	9
1860	11
1860	8
1860	9
1861	8
1861	6
1861	7
1866	3
1866	3
1866	3
1868	3
1875	3
1875	173
1875	3
1876	169
1879	5
1879	3
