year	delta	season
1837	13	s
1870	2	s
1870	3	s
1870	11	s
1870	3	s
1870	1	w
1870	3	w
1870	4	w
1870	1	w
1870	6	w
1870	3	w
1870	11	w
1870	3	w
1870	3	w
1870	1	w
1870	4	w
1870	4	w
1870	2	w
1870	2	w
1870	1	w
1870	3	w
1870	10	w
1870	3	w
1870	1	w
1870	1	w
1870	3	w
1870	2	w
1870	2	w
1870	1	w
1870	1	w
1870	3	w
1870	1	w
1870	2	w
1870	2	w
1870	1	w
1870	2	w
1870	3	w
1870	2	w
1870	3	w
1870	3	w
1870	2	w
1870	9	w
1870	3	w
1870	3	w
1870	3	w
1870	7	w
1870	3	w
1870	2	w
1870	1	w
1870	2	w
1870	1	w
1870	3	w
1870	2	w
1870	3	w
1870	1	w
1870	1	w
1870	7	w
1870	3	w
1870	2	w
1870	1	w
1870	2	w
1870	3	w
1870	3	w
1870	3	w
1870	3	w
1870	3	w
1870	4	w
1870	11	w
1870	3	w
1870	1	w
1870	1	w
1870	3	w
1870	29	w
1870	2	w
1870	1	w
1870	1	w
1870	1	w
1870	1	w
1870	1	w
1871	2	w
1871	1	w
1871	2	w
1871	2	w
1871	2	w
1871	1	w
1871	2	w
1871	3	w
1871	4	w
1871	3	w
1871	3	w
1871	7	w
1871	1	w
1871	1	w
1871	2	w
1871	1	w
1871	1	w
1871	3	w
1871	1	w
1871	3	w
1871	8	w
1871	3	w
1871	3	w
1871	2	w
1871	1	w
1871	9	w
1871	3	w
1871	1	w
1871	1	w
1871	1	w
1871	1	w
1871	3	w
1871	2	w
1871	1	w
1871	3	w
1871	1	w
1871	4	w
1871	3	w
1871	1	w
1871	5	w
1871	3	w
1871	5	w
1871	4	w
1871	4	w
1871	3	w
1871	3	w
1871	7	w
1871	6	w
1871	2	w
1871	7	w
1871	7	w
1871	6	w
1871	1	w
1871	2	w
1871	1	w
1871	2	w
1871	1	w
1871	2	w
1871	1	w
1871	6	w
1871	4	w
1871	3	w
1871	1	w
1871	3	w
1871	7	w
1871	3	w
1871	3	w
1871	3	w
1871	1	s
1871	7	w
1871	3	s
1871	1	s
1871	3	s
1871	7	w
1871	7	w
1871	7	w
1871	3	s
1871	1	s
1871	3	s
1871	1	s
1871	3	s
1871	3	s
1871	3	s
1871	8	s
1871	2	s
1871	1	s
1871	3	s
1871	6	s
1871	3	s
1871	3	s
1871	2	s
1871	1	s
1871	2	s
1871	3	s
1871	11	s
1871	3	s
1871	2	s
1871	3	s
1871	2	s
1871	3	s
1871	3	s
1871	2	s
1871	7	s
1871	2	s
1871	7	s
1871	2	s
1871	7	s
1871	1	s
1871	2	s
1871	1	s
1871	3	s
1871	1	s
1871	3	s
1871	5	s
1871	2	s
1871	7	s
1871	6	s
1871	3	s
1871	3	s
1871	2	s
1871	3	s
1871	1	s
1871	6	s
1871	3	s
1871	1	s
1871	8	s
1871	4	s
1871	3	s
1871	3	s
1871	6	s
1871	7	s
1871	3	s
1871	2	s
1871	1	s
1871	7	s
1871	1	s
1871	3	s
1871	4	s
1871	3	s
1871	2	s
1871	3	s
1871	3	s
1871	3	s
1871	3	s
1871	3	s
1871	2	s
1871	3	s
1871	3	s
1871	1	s
1871	4	s
1871	4	s
1871	3	s
1871	2	s
1871	2	s
1871	4	s
1871	1	s
1871	3	s
1871	2	s
1871	3	s
1871	2	s
1871	2	s
1871	1	s
1871	6	s
1871	2	s
1871	3	s
1871	22	s
1871	4	s
1871	2	s
1871	3	s
1871	1	s
1871	3	s
1871	2	s
1871	3	s
1871	2	s
1871	2	s
1871	8	s
1871	3	s
1871	3	s
1871	6	s
1871	6	s
1871	5	s
1871	3	s
1871	7	s
1871	6	s
1871	3	s
1871	3	s
1871	4	s
1871	3	s
1871	3	s
1871	6	s
1871	3	s
1871	5	s
1871	4	s
1871	3	s
1871	6	s
1871	3	s
1871	2	s
1871	2	s
1871	7	s
1871	6	s
1871	5	s
1871	3	s
1871	3	s
1871	3	s
1871	1	s
1871	4	s
1871	3	s
1871	3	s
1871	1	s
1871	5	s
1871	3	s
1871	3	s
1871	3	s
1871	2	s
1871	6	s
1871	2	s
1871	2	s
1871	3	s
1871	6	s
1871	3	s
1871	2	s
1871	10	s
1871	2	s
1871	9	s
1871	3	s
1871	1	s
1871	8	s
1871	3	s
1871	1	s
1871	8	s
1871	6	s
1871	7	s
1871	3	s
1871	7	s
1871	4	s
1871	6	s
1871	6	s
1871	3	s
1871	1	s
1871	6	s
1871	3	s
1871	2	s
1871	2	s
1871	6	s
1871	2	s
1871	2	s
1871	3	s
1871	3	s
1871	5	s
1871	3	s
1871	3	s
1871	2	s
1871	5	s
1871	5	s
1871	3	s
1871	7	s
1871	3	s
1871	3	s
1871	6	s
1871	2	s
1871	1	s
1871	3	s
1871	6	s
1871	3	s
1871	6	s
1871	5	s
1871	5	s
1871	1	s
1871	6	s
1871	3	s
1871	3	w
1871	2	w
1871	7	w
1871	2	w
1871	5	w
1871	2	w
1871	2	w
1871	2	w
1871	2	w
1871	2	w
1871	6	w
1871	3	w
1871	1	w
1871	10	w
1871	1	w
1871	1	w
1871	5	w
1871	3	w
1871	3	w
1871	3	w
1871	4	w
1871	6	w
1871	5	w
1871	3	w
1871	5	w
1871	2	w
1871	5	w
1871	1	w
1871	6	w
1871	3	w
1871	6	w
1871	1	w
1871	3	w
1871	5	w
1871	3	w
1871	3	w
1871	4	w
1871	6	w
1871	4	w
1871	4	w
1871	5	w
1871	3	w
1871	3	w
1871	3	w
1872	3	w
1872	5	w
1872	3	w
1872	1	w
1872	3	w
1872	5	w
1872	6	w
1872	3	w
1872	5	w
1872	5	w
1872	3	w
1872	3	w
1872	3	w
1872	2	w
1872	6	w
1872	5	w
1872	2	w
1872	3	w
1872	7	w
1872	5	w
1872	5	w
1872	5	w
1872	2	w
1872	3	w
1872	6	w
1872	5	w
1872	3	w
1872	5	w
1872	3	w
1872	6	w
1872	3	w
1872	6	w
1872	3	w
1872	5	w
1872	3	w
1872	3	w
1872	3	w
1872	3	w
1872	3	w
1872	2	w
1872	1	w
1872	3	w
1872	2	w
1872	1	w
1872	5	w
1872	6	w
1872	2	s
1872	3	s
1872	5	s
1872	5	s
1872	3	s
1872	3	s
1872	5	s
1872	3	s
1872	3	s
1872	6	s
1872	5	s
1872	3	s
1872	6	s
1872	3	s
1872	2	s
1872	5	s
1872	1	s
1872	11	s
1872	3	s
1872	5	s
1872	3	s
1872	2	s
1872	5	s
1872	3	s
1872	5	s
1872	3	s
1872	3	s
1872	4	s
1872	3	s
1872	3	s
1872	3	s
1872	5	s
1872	3	s
1872	2	s
1872	3	s
1872	3	s
1872	5	s
1872	4	s
1872	4	s
1872	6	s
1872	5	s
1872	4	s
1872	3	s
1872	5	s
1872	4	s
1872	2	s
1872	3	s
1872	4	s
1872	3	s
1872	3	s
1872	5	s
1872	3	s
1872	2	s
1872	2	s
1872	4	s
1872	6	s
1872	3	s
1872	5	s
1872	3	s
1872	6	s
1872	3	s
1872	3	s
1872	6	s
1872	5	s
1872	2	s
1872	5	s
1872	5	s
1872	6	s
1872	3	w
1872	3	w
1872	2	w
1872	5	w
1872	3	w
1872	3	w
1872	3	w
1872	2	w
1872	5	w
1872	2	w
1872	6	w
1872	5	w
1872	3	w
1872	3	w
1872	5	w
1872	5	w
1872	2	w
1872	3	w
1872	5	w
1872	5	w
1872	3	w
1873	2	w
1873	3	w
1873	5	w
1873	4	w
1873	5	w
1873	3	w
1873	3	w
1873	5	w
1873	3	w
1873	2	w
1873	3	w
1873	1	w
1873	6	w
1873	5	w
1873	4	w
1873	5	w
1873	3	w
1873	4	w
1873	3	w
1873	3	w
1873	3	w
1873	3	w
1873	3	w
1873	3	w
1873	3	w
1873	3	w
1873	2	w
1873	1	w
1873	3	w
1873	3	w
1873	3	w
1873	3	w
1873	3	w
1873	4	w
1873	3	w
1873	4	w
1873	2	w
1873	3	w
1873	3	w
1873	2	w
1873	3	s
1873	4	s
1873	3	s
1873	3	s
1873	3	s
1873	3	s
1873	3	s
1873	3	s
1873	3	s
1873	3	s
1873	3	s
1873	2	s
1873	3	s
1873	4	s
1873	4	s
1873	3	s
1873	3	s
1873	4	s
1873	3	s
1873	1	s
1873	5	s
1873	3	s
1873	6	s
1873	4	s
1873	3	s
1873	4	s
1873	4	s
1873	3	s
1873	2	s
1873	4	s
1873	4	s
1873	5	s
1873	6	s
1873	7	s
1873	1	w
1873	3	w
1873	5	w
1873	6	w
1873	3	w
1873	3	w
1873	3	w
1873	3	w
1873	3	w
1873	3	w
1873	5	w
1873	4	w
1873	3	w
1873	3	w
1873	3	w
1873	3	w
1873	3	w
1873	5	w
1873	3	w
1873	3	w
1873	1	w
1873	3	w
1873	1	w
1873	2	w
1873	3	w
1873	2	w
1873	1	w
1873	3	w
1873	2	w
1873	4	w
1873	3	w
1873	3	w
1873	3	w
1873	3	w
1873	3	w
1873	3	w
1873	5	w
1873	3	w
1873	3	w
1873	3	w
1873	2	w
1873	3	w
1873	3	w
1873	3	w
1873	3	w
1873	3	w
1873	3	w
1873	4	w
1873	4	w
1873	3	w
1873	3	w
1873	1	w
1873	3	w
1874	3	w
1874	3	w
1874	5	w
1874	4	w
1874	6	w
1874	3	w
1874	3	w
1874	3	w
1874	3	w
1874	3	w
1874	3	w
1874	3	w
1874	4	w
1874	3	w
1874	1	w
1874	3	w
1874	4	w
1874	1	w
1874	4	w
1874	3	w
1874	3	w
1874	3	w
1874	3	w
1874	3	w
1874	3	w
1874	3	w
1874	2	w
1874	3	w
1874	3	w
1874	4	w
1874	3	w
1874	4	w
1874	3	s
1874	3	s
1874	3	s
1874	3	s
1874	3	s
1874	4	s
1874	3	s
1874	4	s
1874	4	s
1874	3	s
1874	3	s
1874	3	s
1874	3	s
1874	6	s
1874	5	s
1874	4	s
1874	4	s
1874	3	s
1874	1	s
1874	3	s
1874	5	s
1874	5	s
1874	4	s
1874	3	s
1874	3	s
1874	4	s
1874	3	s
1874	3	s
1874	3	s
1874	3	s
1874	3	s
1874	3	s
1874	3	s
1874	1	s
1874	3	s
1874	1	s
1874	4	s
1874	1	s
1874	4	s
1874	2	s
1874	3	s
1874	3	s
1874	3	s
1874	3	s
1874	5	s
1874	3	s
1874	4	s
1874	4	s
1874	2	s
1874	4	s
1874	4	s
1874	4	s
1874	4	w
1874	4	w
1874	3	w
1874	3	w
1874	4	w
1874	3	w
1874	3	w
1874	6	w
1874	3	w
1874	2	w
1874	3	w
1874	3	w
1874	3	w
1874	4	w
1874	6	w
1874	3	w
1874	4	w
1875	5	w
1875	5	w
1875	4	w
1875	3	w
1875	1	w
1875	3	w
1875	4	w
1875	3	w
1875	1	w
1875	5	w
1875	3	w
1875	6	w
1875	3	w
1875	4	w
1875	3	w
1875	4	w
1875	1	w
1875	1	w
1875	4	w
1875	1	w
1875	3	w
1875	2	w
1875	1	w
1875	1	w
1875	3	w
1875	5	w
1875	3	w
1875	1	w
1875	3	w
1875	1	w
1875	1	w
1875	3	w
1875	3	w
1875	3	w
1875	3	w
1875	3	w
1875	4	w
1875	4	s
1875	3	s
1875	3	s
1875	3	s
1875	3	s
1875	3	s
1875	1	s
1875	3	s
1875	4	s
1875	3	s
1875	3	s
1875	3	s
1875	3	s
1875	3	s
1875	3	s
1875	3	s
1875	5	s
1875	3	s
1875	3	s
1875	4	s
1875	3	s
1875	4	s
1875	4	s
1875	3	s
1875	3	s
1875	3	s
1875	4	s
1875	3	s
1875	3	s
1875	4	s
1875	3	s
1875	3	s
1875	3	s
1875	3	s
1875	6	s
1875	7	s
1875	7	s
1875	6	s
1875	3	s
1875	3	s
1875	3	s
1875	3	s
1875	3	s
1875	5	s
1875	4	s
1875	4	s
1875	9	s
1875	5	w
1875	3	w
1875	4	w
1875	3	w
1875	3	w
1875	4	w
1875	3	w
1875	3	w
1875	3	w
1875	5	w
1875	5	w
1875	3	w
1875	5	w
1875	4	w
1875	3	w
1875	3	w
1875	3	w
1875	4	w
1875	3	w
1875	3	w
1875	1	w
1875	3	w
1875	6	w
1875	3	w
1875	3	w
1875	3	w
1875	4	w
1875	3	w
1875	3	w
1875	3	w
1875	4	w
1875	3	w
1875	4	w
1876	6	w
1876	3	w
1876	1	w
1876	1	w
1876	3	w
1876	3	w
1876	1	w
1876	1	w
1876	3	w
1876	5	w
1876	3	w
1876	3	w
1876	3	w
1876	3	w
1876	1	w
1876	4	w
1876	3	w
1876	3	w
1876	3	w
1876	5	w
1876	5	w
1876	3	w
1876	4	w
1876	4	s
1876	4	s
1876	1	s
1876	4	s
1876	3	s
1876	1	s
1876	1	s
1876	3	s
1876	6	s
1876	5	s
1876	4	s
1876	3	s
1876	1	s
1876	5	s
1876	2	s
1876	5	s
1876	3	s
1876	3	s
1876	3	s
1876	4	s
1876	1	s
1876	3	s
1876	1	s
1876	3	s
1876	3	s
1876	4	s
1876	4	s
1876	3	s
1876	3	s
1876	3	s
1876	3	s
1876	3	s
1876	4	s
1876	3	s
1876	3	s
1876	3	s
1876	3	s
1876	3	s
1876	4	s
1876	3	s
1876	3	s
1876	3	s
1876	4	s
1876	3	s
1876	4	s
1876	6	s
1876	3	s
1876	5	s
1876	3	s
1876	4	s
1876	4	s
1876	5	s
1876	3	s
1876	4	s
1876	3	w
1876	4	w
1876	4	w
1876	3	w
1876	3	w
1876	4	w
1876	4	w
1876	3	w
1876	3	w
1876	6	w
1876	3	w
1876	4	w
1877	3	w
1877	3	w
1877	3	w
1877	3	w
1877	4	w
1877	3	w
1877	3	w
1877	3	s
1877	4	s
1877	3	s
1877	4	s
1877	4	s
1877	2	s
1877	2	s
1877	4	s
1877	3	s
1877	3	s
1877	3	s
1877	2	w
1877	8	w
1877	3	w
1877	2	w
1877	3	w
1877	2	w
1877	3	w
1877	2	w
1877	3	w
1877	2	w
1877	4	w
1877	2	w
1877	2	w
1877	2	w
1877	3	w
1878	4	w
1878	3	w
1878	3	w
1878	3	w
1878	3	w
1878	2	w
1878	3	w
1878	3	w
1878	3	w
1878	3	w
1878	3	w
1878	1	w
1878	3	w
1878	3	s
1878	2	s
1878	3	s
1878	3	s
1878	3	w
1878	3	w
1878	3	w
1878	2	w
1878	3	w
1878	1	w
1879	1	w
1879	3	w
1879	4	w
1879	3	w
1879	1	w
1879	4	w
1879	4	w
1879	1	w
1879	4	w
1879	1	w
1879	3	w
1879	2	w
1879	3	w
1879	3	w
1879	2	w
1879	2	w
1879	2	w
1879	2	w
1879	2	s
1879	3	s
1879	3	s
1879	4	s
1879	3	s
1879	2	s
1879	2	s
1879	2	s
1879	1	s
1879	1	s
1879	3	s
1884	1	s
1884	1	s
1884	2	s
1884	2	s
1884	2	s
1884	3	s
1884	1	s
1884	2	s
1887	2	w
1887	3	w
