year	delta
1804	23
1804	25
1805	34
1807	65
1807	28
1807	61
1807	57
1807	61
1807	35
1807	37
1807	26
1807	25
1807	28
1807	26
1807	28
1808	23
1808	29
1808	47
1808	31
1808	35
1808	26
1808	26
1808	27
1808	26
1808	26
1808	24
1808	27
1808	26
1808	25
1809	26
1809	26
1809	27
1809	23
1809	23
1809	23
1809	23
1809	26
1809	23
1809	23
1809	31
1809	26
1809	23
1809	23
1809	44
1810	26
1810	23
1810	23
1810	23
1810	23
1810	26
1810	21
1810	23
1810	23
1810	23
1810	26
1810	23
1810	25
1811	26
1811	21
1811	36
1811	30
1811	23
1811	28
1812	28
1812	26
1813	25
1813	35
1813	35
1813	25
1813	25
1813	19
1814	29
1814	29
1814	28
1814	28
1814	23
1814	23
1814	20
1814	26
1814	23
1814	23
1814	23
1814	23
1815	21
1815	23
1815	23
1815	23
1815	23
1815	23
1815	22
1815	23
1815	23
1815	23
1816	37
1816	37
1816	34
1816	23
1816	26
1816	23
1816	37
1816	27
1816	29
1817	24
1817	26
1817	23
1818	23
1818	23
1818	48
1818	23
1818	21
1818	26
1819	23
1819	25
1820	25
1821	26
1821	25
1821	27
1821	31
1821	27
1821	25
1822	23
1823	25
1823	21
1824	29
1826	13
1826	17
1827	33
1827	31
1827	197
1828	18
1828	19
1828	15
1828	14
1828	18
1828	12
1828	28
1829	15
1829	12
1829	12
1829	13
1829	12
1829	12
1829	12
1829	20
1829	24
1829	13
1829	15
1829	12
1829	24
1829	17
1829	15
1829	12
1829	11
1829	12
1829	13
1829	12
1829	12
1829	12
1829	12
1829	11
1829	11
1829	12
1829	12
1829	13
1830	13
1830	11
1830	13
1830	13
1830	11
1830	13
1830	12
1830	11
1830	13
1830	13
1830	16
1830	27
1830	12
1830	9
1830	11
1830	11
1830	13
1830	9
1830	14
1830	13
1830	12
1830	12
1830	11
1830	13
1830	13
1830	13
1830	12
1830	12
1830	12
1830	13
1831	19
1831	15
1831	13
1831	13
1831	13
1831	11
1831	13
1831	13
1831	13
1831	13
1831	14
1831	13
1831	11
1831	13
1831	12
1831	13
1831	13
1831	44
1831	13
1831	13
1831	13
1831	13
1831	15
1831	16
1831	13
1831	13
1831	13
1832	14
1832	13
1832	12
1832	14
1832	13
1832	12
1832	11
1832	11
1832	12
1832	13
1832	13
1832	13
1832	12
1832	11
1832	16
1832	14
1832	13
1832	11
1832	13
1832	13
1832	13
1832	14
1832	12
1832	13
1832	13
1832	13
1832	13
1832	42
1832	12
1832	13
1832	13
1832	15
1832	15
1832	13
1832	13
1832	13
1832	13
1832	13
1832	13
1832	13
1833	11
1833	11
1833	13
1833	36
1833	13
1833	11
1833	11
1833	11
1833	11
1833	11
1833	11
1833	11
1833	11
1833	11
1833	11
1833	11
1833	15
1833	10
1833	10
1833	11
1833	11
1833	11
1833	9
1833	10
1833	10
1833	10
1833	10
1833	10
1833	10
1834	10
1834	10
1834	10
1834	11
1834	10
1834	11
1834	10
1834	10
1834	13
1834	10
1834	13
1834	10
1834	10
1834	11
1834	10
1834	10
1834	12
1834	10
1834	11
1834	10
1834	20
1834	22
1834	41
1834	10
1834	11
1834	10
1834	11
1834	10
1834	10
1834	11
1834	10
1834	10
1834	10
1834	11
1834	10
1834	10
1834	19
1835	10
1835	10
1835	11
1835	11
1835	14
1835	20
1835	10
1835	13
1835	12
1835	20
1835	12
1835	11
1835	11
1835	12
1835	12
1835	12
1835	10
1835	10
1835	12
1835	40
1835	20
1835	14
1835	12
1835	11
1835	10
1835	12
1835	13
1835	11
1835	10
1835	10
1835	10
1835	11
1835	13
1835	10
1835	10
1835	13
1835	15
1835	11
1835	10
1835	10
1835	15
1836	10
1836	10
1836	10
1836	11
1836	16
1836	12
1836	12
1836	10
1836	10
1836	14
1836	11
1836	13
1836	10
1836	11
1836	12
1836	15
1836	10
1836	10
1836	10
1836	10
1836	12
1836	10
1836	11
1836	10
1836	10
1836	12
1836	9
1836	10
1836	10
1836	11
1836	10
1836	10
1836	10
1836	10
1836	11
1836	11
1836	18
1836	10
1836	24
1836	10
1836	10
1836	10
1836	17
1836	29
1836	12
1836	16
1837	10
1837	10
1837	10
1837	10
1837	12
1837	9
1837	11
1837	10
1837	10
1837	13
1837	10
1837	10
1837	11
1837	10
1837	12
1837	10
1837	11
1837	9
1837	13
1837	11
1837	15
1837	12
1838	10
1838	10
1838	27
1838	12
1838	11
1838	13
1838	10
1838	10
1838	11
1838	10
1838	10
1838	11
1838	12
1838	12
1838	11
1838	11
1838	10
1838	11
1838	10
1838	11
1838	10
1838	13
1838	15
1838	11
1838	13
1838	10
1838	11
1838	11
1838	22
1838	10
1838	10
1838	25
1838	10
1838	10
1838	14
1838	11
1838	10
1838	10
1839	10
1839	12
1839	10
1839	10
1839	10
1839	11
1839	13
1839	10
1839	11
1839	11
1839	17
1839	9
1839	9
1839	9
1839	28
1839	31
1839	9
1839	9
1839	9
1839	8
1839	9
1839	9
1839	8
1839	8
1839	8
1839	8
1839	11
1839	9
1839	9
1839	8
1839	24
1839	11
1839	9
1839	11
1840	13
1840	39
1840	9
1840	8
1840	9
1840	9
1840	9
1840	11
1840	23
1840	9
1840	9
1840	40
1840	40
1840	10
1840	15
1840	9
1840	8
1840	8
1840	8
1840	9
1840	29
1840	9
1840	8
1840	11
1840	9
1840	9
1840	8
1840	11
1840	8
1840	9
1840	18
1841	9
1841	9
1841	8
1841	8
1841	15
1841	9
1841	11
1841	9
1841	8
1841	9
1841	8
1841	14
1841	18
1841	13
1841	16
1841	9
1841	18
1841	11
1841	67
1841	43
1841	42
1841	9
1841	9
1841	9
1841	18
1841	9
1841	9
1842	26
1842	13
1842	10
1842	16
1842	9
1842	9
1842	9
1842	9
1842	9
1842	9
1842	8
1842	10
1842	9
1842	10
1842	9
1842	8
1843	13
1843	9
1843	9
1843	11
1843	40
1843	16
1843	12
1843	9
1843	17
1843	9
1843	9
1843	11
1843	9
1843	12
1843	10
1843	15
1843	13
1843	1
1843	9
1843	10
1843	13
1843	12
1843	9
1843	10
1844	8
1844	8
1844	9
1844	12
1844	12
1844	11
1844	10
1844	10
1844	11
1844	13
1844	9
1844	12
1844	17
1845	24
1845	19
1845	7
1845	9
1845	9
1845	36
1845	9
1845	8
1845	23
1845	10
1846	9
1846	11
1846	9
1846	8
1846	20
1846	10
1846	8
1846	8
1846	8
1846	24
1846	8
1846	9
1846	8
1846	9
1846	9
1846	9
1846	8
1846	10
1846	8
1846	7
1846	9
1847	30
1847	8
1847	8
1847	19
1847	14
1847	8
1847	8
1847	7
1847	8
1847	7
1847	7
1847	8
1847	9
1848	7
1849	6
1849	6
1849	7
1849	6
1849	6
1849	6
1849	6
1849	6
1849	6
1849	8
1849	6
1849	24
1849	7
1849	6
1849	8
1849	7
1849	6
1849	6
1849	9
1849	6
1849	6
1849	6
1849	9
1849	6
1849	23
1849	6
1849	8
1849	6
1849	6
1849	6
1849	6
1849	6
1849	7
1849	6
1849	6
1849	6
1849	6
1849	7
1849	6
1849	6
1849	6
1849	6
1850	10
1850	7
1850	7
1850	7
1850	6
1850	7
1850	6
1850	8
1850	8
1850	26
1850	6
1851	7
1851	8
1851	9
1851	18
1851	26
1853	27
1853	20
1853	232
1853	251
1853	31
1853	272
1856	30
1856	14
1856	15
1856	15
1856	14
1856	31
1856	15
1856	32
1856	59
1856	31
1857	22
1857	15
1857	61
1857	35
1858	136
1858	49
1859	29
1859	8
1859	9
1859	44
1859	25
1859	88
1859	9
1859	31
1859	7
1859	7
1860	33
