year	delta
1808	73
1809	81
1809	60
1809	66
1810	52
1812	69
1816	53
1817	69
1818	58
1818	60
1818	59
1818	61
1818	61
1820	53
1821	64
1822	51
1822	49
1823	52
1833	34
1834	36
1835	54
1835	33
1835	38
1835	37
1835	46
1835	48
1835	45
1836	40
1836	42
1836	49
1838	46
1838	44
1838	45
1844	26
1844	27
1844	40
1845	35
1846	27
1849	30
1850	24
1851	13
1851	19
1852	22
1853	20
1854	22
1854	27
1855	30
1855	30
1855	29
1855	37
1856	21
1856	23
1856	19
1856	22
1857	30
1857	32
1857	31
1857	31
1857	39
1857	29
1857	30
1857	23
1857	21
1857	22
1857	22
1857	20
1857	20
1857	17
1857	37
1857	22
1857	19
1857	19
1858	21
1858	26
1858	27
1858	25
1858	21
1858	20
1858	25
1859	29
1860	20
1860	21
1861	14
1861	18
1861	16
1861	17
1861	14
1861	16
1861	18
1861	17
1861	17
1861	20
1861	21
1861	24
1861	15
1861	23
1861	12
1861	13
1862	25
1862	28
1866	26
1867	21
1867	2
1868	12
1868	3
1868	14
1868	1
1868	3
1868	3
1868	13
1868	4
1868	4
1868	14
1868	3
1868	14
1868	13
1868	13
1868	30
1868	12
1868	4
1868	3
1868	23
1868	3
1868	14
1868	4
1868	3
1868	13
1868	13
1868	4
1868	3
1868	3
1868	3
1868	12
1868	3
1868	4
1868	3
1868	4
1868	2
1868	4
1868	14
1868	13
1868	3
1868	16
1868	3
1868	3
1868	4
1868	3
1868	3
1868	4
1868	4
1868	1
1868	14
1868	8
1868	1
1868	25
1868	13
1868	3
1868	12
1868	3
1868	13
1868	13
1868	13
1868	14
1868	3
1868	10
1868	3
1868	28
1868	5
1868	3
1868	8
1868	3
1868	3
1869	3
1869	3
1869	4
1869	3
1869	3
1869	3
1869	4
1869	2
1869	3
1869	2
1869	5
1869	5
1869	4
1869	2
1869	3
1869	3
1869	4
1869	3
1869	4
1869	3
1869	4
1869	4
1869	4
1869	3
1869	3
1869	2
1869	3
1869	4
1869	3
1869	3
1869	4
1869	3
1869	3
1869	3
1869	3
1869	3
1869	4
1869	2
1869	3
1869	3
1869	4
1869	3
1869	3
1869	4
1869	8
1870	9
1870	4
1870	8
1870	4
1870	4
1870	6
1870	1
1870	2
1870	3
1870	8
1870	3
1870	5
1870	4
1870	3
1870	2
1870	3
1870	3
1870	3
1870	8
1870	4
1870	3
1870	3
1870	3
1870	5
1870	7
1870	9
1870	3
1870	4
1870	4
1870	5
1870	6
1870	4
1871	8
1871	5
1871	8
1871	9
1871	4
1871	4
1871	5
1871	2
1871	3
1871	3
1871	5
1871	4
1871	3
1871	3
1871	2
1871	3
1871	1
1871	7
1871	5
1871	3
1872	3
1872	2
1872	1
1872	4
1872	3
1872	3
1872	1
1872	3
1872	4
1872	2
1872	5
1872	3
1872	2
1872	2
1872	3
1872	2
1872	2
1872	2
1872	1
1872	3
1872	2
1872	1
1872	2
1872	1
1872	1
1872	2
1872	3
1872	3
1872	3
1872	3
1872	3
1872	2
1872	3
1873	1
1873	3
1873	3
1873	5
1873	2
1873	1
1873	3
1873	4
1873	3
1873	3
1873	3
1873	2
1873	3
1873	3
1873	3
1873	3
1873	3
1873	2
1873	3
1874	3
1874	3
1874	3
1874	1
1874	3
1874	4
1874	3
1874	3
1874	3
1874	3
1874	2
1874	3
1874	4
1874	4
1874	2
1874	1
1874	3
1874	3
1874	3
1874	4
1874	3
1874	4
1874	4
1874	3
1874	3
1874	1
1874	3
1874	4
1875	4
1875	6
1875	4
1875	4
1875	2
1875	3
1875	3
1875	3
1875	3
1875	4
1875	3
1875	4
1875	5
1875	5
1875	3
1875	3
1875	3
1875	3
1875	2
1875	3
1875	3
1875	3
1875	1
1875	4
1876	3
1876	2
1876	2
1876	4
1876	4
1876	3
1876	1
1876	3
1876	3
1876	3
1876	3
1876	3
1876	3
1876	1
1876	3
1876	2
1876	3
1876	3
1876	4
1876	1
1876	7
1876	8
1876	4
1876	3
1876	4
1876	2
1876	4
1876	3
1876	3
1876	3
1876	3
1876	3
1876	3
1876	3
1876	3
1876	2
1876	3
1876	3
1876	3
1877	4
1877	3
1877	3
1877	4
1877	3
1877	21
1877	3
1877	3
1877	3
1877	3
1877	5
1877	2
1877	2
1877	4
1877	2
1877	3
1877	2
1877	3
1877	3
1877	2
1877	3
1877	5
1877	4
1877	3
1877	5
1877	4
1877	5
1877	2
1877	3
1877	3
1877	3
1877	3
1877	2
1877	2
1877	3
1877	3
1878	3
1878	4
1878	6
1878	3
1878	6
1878	2
1878	3
1878	2
1878	3
1878	3
1878	4
1878	3
1878	3
1878	2
1878	5
1878	3
1878	1
1878	4
1878	2
1878	3
1878	3
1878	4
1878	2
1879	3
1879	3
1879	5
1879	3
1879	2
1879	2
1879	4
1879	3
1879	3
1879	3
1880	3
1880	1
1880	1
1880	3
1880	2
1880	2
1880	3
1880	1
1880	2
1880	3
1880	3
1880	2
1880	3
1880	3
1880	3
1880	3
1880	2
1880	2
1880	1
1880	3
1880	4
1881	3
1881	1
1881	3
1881	3
1881	3
1881	2
1881	2
1881	2
1881	1
1881	1
1881	3
1881	3
1881	3
1881	2
1881	1
1881	3
1881	3
1881	3
1881	3
1881	1
1881	1
1881	2
1881	3
1881	2
1881	3
1881	3
1881	3
1881	3
1881	3
1881	3
1881	3
1881	2
1881	2
1881	2
1881	1
1881	2
1881	3
1881	2
1881	3
1881	2
1881	3
1881	3
1881	3
1881	2
1881	2
1881	2
1881	3
1881	3
1881	2
1881	1
1881	4
1881	3
1881	3
1881	3
1881	3
1881	3
1881	3
1881	3
1881	3
1881	3
1881	3
1881	3
1881	3
1881	3
1881	3
1881	1
1881	2
1881	3
1881	3
1881	3
1883	2
1883	3
1883	1
1883	1
1883	1
1883	1
1883	3
1883	3
1883	3
1884	3
1884	3
1884	3
1884	2
1884	3
1884	2
1884	1
1884	3
1884	2
1884	3
1884	1
1884	1
1884	3
1884	2
1884	1
1884	3
1884	3
1884	1
1884	3
1884	1
1884	3
1884	2
1884	2
1884	3
1884	2
1884	3
1885	1
1885	1
1885	1
1885	1
1885	3
1885	3
1885	1
1885	2
1885	1
1886	3
1886	3
1886	2
1886	3
1886	3
1886	3
1887	3
1887	3
1887	1
1888	2
1888	2
1888	1
1888	1
1888	2
1888	2
1888	9
1888	2
1888	3
1888	3
