year	delta	season
1804	22	s
1805	17	s
1805	23	w
1806	24	s
1806	22	s
1806	41	w
1808	31	w
1808	36	s
1808	23	s
1809	30	w
1810	30	w
1811	26	s
1811	28	s
1816	23	w
1816	20	w
1817	25	w
1818	25	w
1818	24	s
1818	25	w
1819	26	w
1822	28	s
1826	15	w
1828	26	w
1829	10	s
1829	11	w
1829	17	w
1830	11	w
1830	11	w
1832	12	w
1832	10	s
1832	13	w
1833	10	w
1833	10	w
1833	10	w
1834	13	w
1834	8	s
1835	9	s
1835	10	s
1835	10	s
1835	10	w
1836	11	w
1836	11	s
1836	9	s
1836	10	s
1836	11	s
1836	9	s
1836	14	w
1837	13	w
1837	17	s
1837	11	w
1838	9	w
1838	11	w
1838	10	w
1838	10	w
1838	10	w
1838	9	w
1838	10	w
1838	9	w
1838	13	w
1838	10	s
1838	10	s
1838	10	s
1838	8	s
1838	7	s
1838	11	s
1838	11	s
1838	8	s
1838	11	s
1838	9	s
1838	10	s
1838	9	s
1838	53	s
1838	48	s
1838	11	w
1839	10	w
1839	8	s
1839	8	s
1839	8	s
1839	7	s
1839	8	s
1839	9	s
1839	8	w
1839	8	w
1840	9	w
1840	8	s
1840	10	s
1840	9	s
1841	10	w
1841	8	w
1841	10	w
1841	8	w
1841	8	s
1841	9	s
1841	11	s
1841	9	s
1841	3	s
1841	9	s
1841	9	s
1841	10	s
1841	14	s
1841	13	s
1841	14	w
1841	20	w
1842	8	w
1842	8	w
1842	8	s
1842	7	s
1842	10	s
1842	6	s
1842	6	w
1842	10	w
1843	9	s
1843	8	w
1843	7	w
1843	7	w
1843	11	w
1844	7	w
1844	11	w
1844	69	w
1844	7	s
1844	5	s
1844	18	w
1845	7	w
1845	17	s
1845	10	s
1845	12	w
1845	6	w
1846	8	w
1846	8	w
1846	11	s
1846	6	s
1846	6	s
1846	8	s
1846	8	w
1846	13	w
1847	10	s
1847	6	s
1847	9	s
1848	10	w
1848	6	w
1848	9	w
1848	8	w
1848	9	w
1848	10	s
1848	6	s
1848	6	s
1848	6	s
1848	9	s
1848	7	s
1849	9	w
1849	13	w
1849	8	w
1849	7	s
1849	8	s
1849	13	w
1850	7	w
1850	8	w
1850	9	w
1850	6	s
1850	2	s
1850	7	s
1850	12	s
1851	6	w
1851	7	w
1851	8	s
1851	8	s
1851	7	s
1852	8	w
1852	7	w
1852	10	w
1852	5	w
1852	9	w
1852	6	w
1852	12	s
1852	8	s
1852	8	s
1852	12	s
1852	9	s
1852	10	w
1852	14	w
1852	6	w
1853	7	w
1853	7	s
1853	8	s
1853	5	s
1853	5	s
1853	8	s
1853	11	s
1853	6	s
1853	9	s
1853	7	s
1853	8	w
1853	5	w
1853	5	w
1853	5	w
1854	7	w
1854	7	w
1854	8	w
1854	6	w
1854	6	w
1854	6	w
1854	8	s
1854	8	s
1854	8	s
1854	9	s
1854	11	s
1854	7	s
1854	4	w
1854	5	w
1854	16	w
1854	5	w
1855	8	w
1855	5	w
1855	4	s
1855	9	s
1855	5	s
1855	4	w
1855	9	w
1855	7	w
1855	9	w
1856	7	w
1856	5	w
1856	5	w
1856	5	w
1856	15	w
1856	6	w
1856	6	w
1856	7	s
1856	5	s
1856	6	s
1856	4	s
1856	5	s
1856	7	s
1856	4	s
1856	6	s
1856	7	s
1856	5	w
1856	5	w
1857	6	w
1857	4	w
1857	4	w
1857	7	w
1857	9	w
1857	9	s
1857	5	s
1857	4	s
1857	7	s
1857	7	s
