year	delta	season
1803	6	s
1819	3	w
1842	6	s
1842	8	s
1842	11	s
1842	6	s
1842	8	s
1847	25	w
1847	8	w
1848	14	w
1848	18	w
1850	5	w
1850	7	w
1850	6	s
1850	10	s
1850	3	w
1850	5	w
1850	8	w
1851	9	s
1852	3	w
1852	5	w
1853	9	s
1853	2	s
1853	6	s
1854	3	s
1854	3	w
1854	10	w
1856	5	s
1862	32	s
1863	6	w
1863	7	s
1863	3	s
1863	6	w
1863	4	w
1865	6	w
1867	1	w
1868	8	s
1870	5	s
1870	3	s
1872	2	s
1873	9	s
1874	1	s
1874	334	s
1876	2	w
1877	4	s
1877	3	s
1877	124	s
1877	10	s
1878	3	w
1878	9	s
1879	6	w
1881	3	w
1881	1	w
1883	2	w
1883	2	s
1883	2	w
1883	3	w
1884	1	s
