year	delta	season
1802	25	w
1802	31	w
1802	31	w
1802	25	w
1802	24	w
1802	24	w
1802	24	w
1802	24	w
1802	24	w
1802	24	s
1802	25	s
1802	28	s
1802	24	s
1802	28	s
1802	24	s
1802	24	s
1802	25	s
1802	22	s
1802	22	s
1802	25	s
1802	24	w
1802	21	w
1802	25	w
1802	24	w
1802	25	w
1802	23	w
1802	25	w
1803	25	w
1803	31	w
1803	24	w
1803	24	w
1803	24	s
1803	25	s
1803	21	s
1803	25	s
1803	24	s
1803	24	s
1803	24	s
1803	24	w
1803	24	w
1803	25	w
1803	25	w
1803	24	w
1804	24	w
1804	24	w
1804	24	w
1804	24	w
1804	24	w
1804	55	w
1804	25	w
1804	28	w
1804	25	w
1804	25	w
1804	24	w
1804	24	s
1804	24	s
1804	24	s
1804	24	s
1804	24	s
1804	25	s
1804	23	s
1804	25	s
1804	24	s
1804	24	s
1804	25	s
1804	24	s
1804	25	s
1804	42	s
1804	24	s
1804	24	s
1804	24	s
1804	24	w
1804	25	w
1804	32	w
1804	25	w
1804	24	w
1804	24	w
1804	22	w
1804	25	w
1804	24	w
1805	25	w
1805	24	w
1805	24	w
1805	25	w
1805	25	w
1805	24	w
1805	24	w
1805	24	w
1805	24	w
1805	24	w
1805	25	w
1805	28	w
1805	25	s
1805	24	s
1805	24	s
1805	36	s
1805	24	s
1805	24	s
1805	24	s
1805	25	s
1805	24	s
1805	25	s
1805	25	s
1805	28	s
1805	24	s
1805	24	s
1805	25	s
1805	24	s
1805	24	s
1805	25	s
1805	25	s
1805	24	s
1805	25	s
1805	24	s
1805	24	s
1805	24	s
1805	23	s
1805	25	s
1805	24	s
1805	24	s
1805	24	s
1805	28	s
1805	34	s
1805	25	w
1805	35	w
1805	28	w
1805	28	w
1805	25	w
1805	24	w
1805	28	w
1805	29	w
1805	31	w
1805	32	w
1806	32	w
1806	31	w
1806	32	w
1806	28	w
1806	24	w
1806	30	w
1806	25	w
1806	28	w
1806	24	w
1806	25	w
1806	42	w
1806	24	w
1806	28	w
1806	25	w
1806	24	w
1806	24	w
1806	43	w
1806	24	w
1806	25	w
1806	25	w
1806	42	w
1806	31	w
1806	28	w
1806	28	w
1806	28	w
1806	24	s
1806	28	s
1806	24	s
1806	28	s
1806	25	s
1806	24	s
1806	24	s
1806	25	s
1806	24	s
1806	25	s
1806	24	s
1806	24	s
1806	25	s
1806	24	s
1806	24	s
1806	24	s
1806	23	s
1806	25	s
1806	24	s
1806	24	s
1806	24	s
