year	delta	season
1805	36	w
1819	22	s
1819	22	s
1819	24	s
1821	22	w
1829	13	s
1836	13	s
1836	14	s
1836	11	w
1838	10	s
1838	13	s
1838	10	w
1839	11	s
1839	9	s
1839	41	s
1839	10	w
1840	11	w
1840	15	w
1840	8	s
1840	9	s
1840	14	w
1841	12	s
1841	7	s
1841	12	w
1842	11	s
1842	11	w
1843	13	w
1843	10	s
1843	20	s
1843	10	w
1843	11	w
1843	11	w
1844	13	w
1844	10	w
1844	9	w
1844	9	w
1844	9	s
1845	9	w
1845	12	w
1846	8	w
1846	15	w
1846	8	s
1846	11	s
1846	7	s
1846	10	s
1846	11	w
1846	8	w
1848	9	w
1848	8	w
1848	9	w
1848	9	s
1848	10	s
1848	8	s
1848	8	s
1848	9	s
1848	11	w
1849	25	w
1849	8	w
1849	8	s
1849	9	s
1849	8	s
1849	6	s
1849	8	s
1849	8	s
1849	7	s
1849	7	s
1850	11	w
1850	7	w
1850	8	w
1850	9	s
1850	7	s
1850	9	s
1850	8	s
1850	7	s
1850	6	s
1850	7	s
1850	7	s
1850	9	s
1850	8	s
1850	11	s
1850	7	s
1850	7	s
1850	11	s
1850	7	s
1850	7	s
1850	8	s
1850	8	s
1850	8	w
1851	11	w
1851	8	w
1851	7	w
1851	7	s
1851	7	s
1851	7	s
1851	8	s
1851	7	s
1851	6	w
1852	7	w
1852	5	s
1852	7	s
1852	6	s
1852	9	s
1852	7	s
1852	7	s
1852	15	s
1852	14	s
1852	7	s
1852	11	s
1852	8	s
1852	9	s
1852	10	w
1852	9	w
1853	8	w
1853	7	w
1853	8	w
1853	9	s
1853	6	s
1853	9	s
1853	7	s
1853	6	w
1853	7	w
1854	8	w
1854	6	w
1854	6	w
1854	6	w
1854	7	w
1854	7	s
1854	6	s
1854	6	s
1854	6	s
1854	7	s
1854	7	s
1854	7	s
1854	5	s
1854	6	w
1854	9	w
1855	6	w
1855	6	w
1855	6	w
1855	7	s
1855	7	s
1855	7	s
1855	6	s
1855	5	s
1855	7	s
1856	5	w
1856	5	s
1856	6	s
1856	6	s
1856	5	s
1856	7	s
1856	5	s
1857	5	s
1857	5	s
1857	6	s
1857	8	s
1857	5	s
1857	5	s
1857	6	s
1857	5	s
1857	6	s
1857	7	s
1857	7	s
1857	6	s
1857	5	s
1857	6	s
1857	7	s
1857	7	w
1857	5	w
1857	6	w
1857	5	w
1857	5	w
1857	6	w
1857	5	w
1857	6	w
1858	6	w
1858	9	w
1858	6	w
1858	6	w
1858	10	w
1858	5	s
1858	7	s
1858	8	s
1858	11	s
1858	6	s
1858	6	s
1858	5	s
1858	6	s
1858	6	s
1858	6	s
1858	6	s
1858	6	s
1858	6	s
1858	5	s
1858	7	s
1858	5	s
1858	6	s
1858	5	s
1858	5	s
1858	4	s
1858	5	s
1858	5	s
1858	6	s
1858	7	s
1858	6	w
1858	8	w
1858	7	w
1858	6	w
1858	5	w
1858	8	w
1858	6	w
1859	5	w
1859	7	w
1859	5	w
1859	6	w
1859	7	w
1859	3	w
1859	7	w
1859	5	w
1859	6	w
1859	10	w
1859	6	w
1859	7	w
1859	6	w
1859	6	w
1859	6	w
1859	8	s
1859	8	s
1859	6	s
1859	6	s
1859	9	s
1859	7	s
1859	6	s
1859	7	s
1859	7	s
1859	6	s
1859	7	s
1859	7	s
1859	5	s
1859	13	s
1859	9	s
1859	8	s
1859	7	s
1859	7	s
1859	7	s
1859	8	s
1859	7	s
1859	7	s
1859	9	s
1859	7	w
1860	6	w
1860	6	w
1860	7	w
1860	7	w
1860	7	w
1860	6	w
1860	6	w
1860	8	w
1860	7	w
1860	7	w
1860	6	w
1860	9	s
1860	6	s
1860	6	s
1860	4	s
1860	9	s
1860	4	s
1860	7	s
1860	8	s
1860	3	s
1860	7	s
1860	7	s
1860	7	s
1861	6	w
1861	6	s
1861	5	s
1861	5	s
1861	4	s
1861	6	s
1861	7	s
1861	6	s
1861	8	s
1861	7	s
1861	8	s
1861	4	w
1862	10	w
1862	8	w
1862	7	w
1862	12	w
1862	9	s
1862	4	s
1862	8	s
1862	9	s
1862	5	s
1862	8	s
1862	9	s
1862	13	s
1862	10	s
1862	8	s
1862	10	s
1862	10	s
1862	6	s
1862	10	s
1862	3	s
1862	6	s
1862	14	w
1862	7	w
1863	4	w
1863	8	w
1863	14	s
1864	7	s
1864	3	s
1864	5	w
1864	4	w
1865	3	w
1865	3	s
1865	10	s
1865	11	s
1865	7	w
1865	2	w
1866	4	w
1866	4	w
1866	6	s
1866	5	s
1866	2	s
1866	3	s
1867	12	w
1867	5	s
1867	6	s
1867	7	s
1867	22	s
1867	7	s
1867	7	s
1867	9	w
1868	5	w
1868	2	s
1869	2	s
1870	2	w
1870	1	w
1871	2	s
1871	3	s
1871	7	s
1871	2	w
1872	2	s
1873	2	w
1873	3	s
1873	4	s
1873	4	s
1873	3	s
1873	2	s
1874	2	s
1875	2	s
1876	3	w
1876	2	s
1876	2	s
1877	4	s
1877	3	w
1878	3	w
1878	2	w
1879	2	w
1880	4	w
1881	3	s
1881	3	s
1881	5	s
1881	2	s
1883	1	s
1884	2	w
1884	2	s
1884	5	s
1885	3	s
1886	4	s
1887	1	s
1888	1	s
1888	4	s
1888	2	s
