year	delta	season
1802	45	s
1810	27	s
1812	33	s
1812	36	s
1812	33	s
1812	32	s
1812	34	s
1812	33	s
1812	31	s
1812	36	s
1812	31	s
1812	31	s
1812	29	s
1812	33	s
1812	32	s
1812	29	s
1812	32	s
1812	29	s
1812	34	w
1812	27	w
1813	31	w
1831	28	w
1831	40	s
1838	30	s
1839	28	s
1839	30	s
1839	34	s
1839	26	w
1848	18	w
1860	30	w
1860	30	w
1860	39	w
1860	24	w
1860	30	s
1860	17	s
1861	20	s
1862	18	s
1862	10	w
1863	16	w
1863	3	w
1863	16	w
1863	18	w
1863	17	w
1863	16	w
1863	19	w
1863	19	w
1863	16	w
1863	16	w
1863	17	w
1863	16	s
1863	17	s
1863	16	s
1863	18	s
1863	16	s
1863	17	s
1863	16	s
1863	16	s
1863	17	s
1863	14	s
1863	17	s
1863	18	s
1863	17	s
1863	17	s
1863	17	s
1863	4	s
1863	5	s
1863	23	s
1863	17	s
1863	16	s
1863	15	s
1863	26	s
1863	20	s
1863	17	s
1863	12	s
1863	17	s
1863	17	s
1863	21	w
1863	30	w
1863	22	w
1863	17	w
1864	24	w
1864	21	w
1864	18	w
1864	19	s
1864	20	s
1864	20	w
1865	18	s
1866	15	w
1866	39	s
1866	17	s
1867	19	s
1867	13	s
1867	22	s
1867	18	s
1867	18	w
1867	17	w
1868	16	s
1868	49	s
1868	15	s
1869	15	s
1869	16	s
1870	15	s
1870	15	s
1870	17	s
1870	14	s
1872	14	w
1872	14	w
1872	15	w
1872	16	s
1872	12	s
1872	16	s
1872	15	w
1872	16	w
1874	25	s
1875	14	s
1876	13	w
1876	13	w
1878	16	s
1880	14	w
1881	15	s
1881	16	s
1883	16	w
1883	14	w
1883	14	w
1883	15	w
1883	14	w
1883	14	s
1883	19	s
1883	15	s
1883	14	w
1883	14	w
1884	13	s
1884	14	s
1884	12	s
1884	14	s
1884	15	s
1884	13	s
1884	14	w
1885	28	w
1885	13	s
1885	15	s
1886	16	w
1886	18	w
1886	12	s
1886	17	s
1886	13	s
1886	17	s
1886	14	s
1886	15	s
1887	17	w
1887	14	s
1887	16	s
1887	15	s
1888	13	w
