year	delta
1809	67
1810	25
1833	18
1834	14
1834	13
1834	14
1835	21
1835	14
1836	14
1836	17
1838	14
1838	14
1839	15
1839	16
1839	16
1839	29
1840	13
1840	10
1840	16
1841	4
1841	13
1841	17
1842	16
1844	16
1845	15
1845	16
1845	13
1847	20
1848	5
1848	6
1849	12
1849	13
1850	13
1850	3
1850	4
1850	5
1850	4
1852	4
1852	6
1853	2
1853	3
1853	4
1853	6
1855	38
1855	22
1857	2
1857	4
1857	3
1858	4
1858	4
1858	5
1861	3
1861	3
1861	2
1861	9
1863	3
1863	1
1865	7
1865	7
1866	4
1866	6
1867	1
1867	1
1867	2
1867	1
1867	5
1867	1
1867	1
1867	1
1867	4
1868	3
1868	1
1868	1
1868	1
1868	1
1868	1
1868	1
1868	1
1868	2
1868	1
1868	1
1869	1
1869	1
1869	1
1869	1
1869	3
1869	7
1870	1
1870	1
1870	1
1870	1
1870	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	2
1871	2
1871	7
1871	5
1872	2
1873	5
1873	1
1873	4
1874	1
1874	45
1875	1
1875	3
1875	1
1875	1
1876	1
1876	1
1876	1
1876	2
1876	1
1877	1
1877	1
1877	1
1877	1
1877	5
1877	1
1878	9
1878	3
1878	1
1878	1
1878	3
1879	1
1880	3
1880	3
1883	2
1884	1
1885	3
1886	1
1886	1
1886	12
1886	1
1887	3
1887	4
1888	3
1888	3
1888	3
