year	delta	season
1805	22	s
1805	23	s
1805	28	w
1806	22	s
1806	61	w
1808	32	w
1808	24	w
1808	22	w
1808	26	s
1809	26	w
1810	25	s
1813	21	w
1815	21	w
1815	19	s
1819	24	w
1820	25	w
1824	19	w
1834	17	w
1835	12	w
1839	15	s
1845	9	s
1847	11	s
1848	14	w
1848	9	w
1849	7	s
1849	9	w
1850	31	w
1850	12	w
1850	8	w
1850	9	s
1850	8	s
1850	13	w
1852	7	s
1854	7	s
1854	7	s
1854	5	s
1854	8	w
1855	7	w
1857	5	w
1857	7	s
1857	6	w
1858	9	w
1858	7	s
1858	7	s
1858	5	s
1859	7	w
1859	9	s
1859	5	s
1859	6	w
1859	7	w
1859	5	w
1860	7	s
1860	8	s
1860	7	w
1861	7	s
1864	4	w
1864	5	w
1864	6	w
1866	5	s
1867	15	w
1874	5	s
1874	6	w
1874	2	w
1874	5	w
1874	4	w
1875	2	w
1876	7	s
1877	2	s
1879	3	s
1879	2	s
1879	7	s
1879	12	s
1880	2	s
1881	2	s
1883	2	w
1883	3	s
1884	4	w
1886	3	s
1886	3	s
1888	5	w
