year	delta	season
1810	50	s
1814	44	w
1828	25	w
1829	19	w
1829	19	w
1830	21	s
1830	25	s
1830	19	s
1834	15	s
1835	21	s
1836	15	s
1839	173	w
1839	15	s
1839	21	w
1843	16	w
1843	16	w
1845	12	s
1848	13	s
1848	10	s
1848	13	s
1848	14	s
1848	11	s
1848	10	s
1848	11	s
1848	15	s
1848	11	w
1849	14	w
1849	10	w
1849	9	w
1849	10	s
1849	17	s
1849	12	s
1849	9	s
1849	8	s
1849	9	s
1849	8	s
1849	9	s
1849	9	s
1849	12	s
1849	9	w
1850	7	s
1850	6	s
1850	8	w
1851	7	w
1851	9	w
1851	10	w
1851	8	w
1851	9	w
1851	7	w
1851	8	w
1851	9	w
1851	6	w
1851	8	s
1851	9	s
1851	7	s
1851	6	s
1851	10	s
1851	14	w
1852	7	w
1852	6	w
1852	9	s
1852	10	s
1852	14	s
1852	10	s
1852	7	s
1852	7	s
1852	8	s
1852	7	w
1852	10	w
1853	10	w
1854	7	s
1860	8	w
1861	6	w
1861	8	w
1861	4	w
1861	4	w
1861	4	w
1861	4	w
1861	3	w
1861	3	w
1861	3	s
1861	3	s
1861	6	s
1861	8	s
1861	7	s
1861	7	s
1861	6	s
1861	8	s
1861	7	s
1861	5	s
1861	4	s
1861	8	s
1861	7	s
1861	7	s
1861	7	s
1861	7	s
1861	6	s
1861	6	s
1861	6	s
1861	7	s
1861	7	s
1861	7	s
1861	7	s
1861	7	s
1861	7	s
1861	7	s
1861	7	s
1861	7	s
1861	15	s
1861	12	s
1861	7	s
1861	7	s
1861	7	s
1861	6	s
1861	8	s
1861	7	s
1861	7	s
1861	6	s
1861	7	s
1861	7	s
1861	7	s
1861	7	s
1861	7	s
1861	7	s
1861	7	s
1861	7	s
1861	7	s
1861	9	s
1861	7	s
1861	9	w
1861	7	w
1861	6	w
1861	10	w
1861	5	w
1862	13	w
1865	4	s
1865	5	w
1865	4	w
1865	5	w
1865	4	w
1866	2	w
1866	4	w
1866	4	w
1866	4	w
1866	5	w
1866	5	s
1866	6	w
1866	5	w
1867	6	w
1867	2	s
1867	4	s
1867	4	s
1867	10	s
1867	3	w
1868	2	s
1868	3	w
1870	6	s
1870	6	s
1873	3	s
1873	3	s
1873	4	s
1874	4	w
1875	1	s
1875	2	s
1875	3	s
1876	3	w
1876	5	w
1876	5	w
1877	3	w
1877	3	w
1877	3	s
1877	6	s
1877	2	s
1880	1	w
1880	1	w
1880	2	w
1880	3	w
1883	2	w
1883	1	s
1883	1	s
1883	1	s
1883	1	s
1883	1	s
1883	1	s
1883	1	s
1883	1	s
1883	2	w
1883	3	w
1883	1	w
1883	1	w
1883	2	w
1883	1	w
1884	1	w
1884	2	s
1884	3	w
1885	1	s
1887	3	s
1888	2	s
