year	delta	season
1813	125	s
1821	50	s
1821	41	s
1821	55	s
1821	41	w
1821	40	w
1822	45	w
1822	27	w
1822	48	w
1822	33	s
1822	52	s
1822	75	s
1823	39	w
1823	33	w
1823	37	w
1824	46	w
1824	28	w
1824	40	s
1824	36	s
1824	39	s
1824	69	s
1824	30	s
1824	57	s
1824	37	w
1825	40	w
1825	44	w
1825	50	w
1825	77	w
1825	51	w
1825	39	w
1825	36	w
1825	52	w
1825	34	s
1825	43	s
1825	35	s
1825	43	s
1825	36	s
1825	34	s
1825	37	s
1825	34	s
1825	41	s
1825	37	s
1825	33	s
1825	41	s
1825	33	w
1825	44	s
1825	36	w
1826	50	w
1826	35	w
1826	34	w
1826	38	w
1826	41	w
1826	34	w
1826	37	s
1826	34	s
1826	31	s
1828	25	w
1886	1	s
