year	delta	season
1807	74	w
1809	40	s
1810	57	w
1810	51	w
1835	20	w
1849	14	w
1849	18	w
1849	14	s
1850	10	s
1850	14	s
1850	9	w
1850	10	w
1850	10	w
1850	12	w
1850	11	w
1850	11	w
1850	9	w
1850	12	w
1850	11	w
1850	13	w
1851	12	w
1851	12	w
1851	17	w
1851	13	w
1851	11	s
1851	12	s
1851	10	w
1851	11	w
1851	17	w
1851	14	w
1852	10	w
1852	9	w
1852	11	w
1852	10	s
1852	10	s
1852	9	s
1852	11	s
1853	10	w
1853	13	w
1853	11	w
1854	13	s
1854	7	w
1855	6	s
1857	12	s
1859	8	s
1859	15	s
1859	6	s
1860	5	s
1860	8	s
1863	4	w
1866	3	s
1869	2	w
1869	3	w
1869	2	w
1874	4	w
1875	5	w
1875	2	s
1875	3	s
1876	3	w
1876	2	s
1876	2	s
1876	1	s
1876	2	s
1876	1	s
1876	3	s
1876	4	s
1876	3	w
1876	1	w
1877	3	s
1877	3	s
1877	2	s
1877	2	w
1881	2	s
