year	delta	season
1802	28	w
1802	29	s
1802	28	s
1804	25	w
1804	26	w
1807	50	w
1808	31	s
1809	30	w
1811	28	w
1811	28	w
1811	28	s
1811	25	s
1811	34	s
1811	27	s
1814	24	s
1814	26	s
1815	28	w
1815	26	s
1816	26	w
1816	25	s
1819	24	w
1823	23	w
1825	23	s
1830	19	w
1832	21	w
1833	22	s
1833	24	s
1833	18	s
1833	20	s
1833	17	s
1833	16	s
1833	15	s
1833	14	s
1833	13	s
1833	14	s
1833	19	s
1833	32	s
1833	16	s
1833	23	s
1833	13	w
1833	15	w
1834	17	w
1834	12	w
1834	14	w
1834	14	w
1834	18	w
1834	18	w
1834	15	s
1834	23	s
1834	15	s
1834	16	s
1834	15	s
1834	18	s
1834	16	s
1834	14	s
1834	17	s
1834	14	w
1834	15	w
1835	13	s
1835	16	s
1835	15	s
1835	17	w
1836	16	w
1836	34	w
1836	15	w
1836	18	w
1836	16	s
1836	15	s
1836	13	s
1836	44	s
1836	47	s
1836	16	s
1836	14	s
1836	13	s
1836	15	s
1836	17	s
1836	15	w
1836	19	w
1836	20	w
1837	16	w
1837	15	s
1837	15	w
1838	16	w
1838	22	w
1838	15	s
1838	12	s
1838	12	s
1838	15	s
1838	14	s
1839	13	w
1839	15	w
1839	13	s
1839	11	s
1839	13	s
1839	11	w
1840	16	w
1840	13	w
1840	10	w
1840	14	w
1841	14	w
1841	13	w
1841	14	w
1841	13	w
1841	13	w
1841	11	w
1841	13	s
1841	12	s
1841	11	s
1842	13	w
1843	14	w
1843	13	w
1843	12	w
1843	11	w
1843	12	w
1843	13	w
1843	17	s
1843	14	s
1843	12	w
1844	10	s
1845	13	w
1845	11	w
1845	12	w
1845	14	s
1845	12	s
1845	12	s
1845	13	s
1846	13	w
1846	10	s
1846	10	s
1846	12	w
1847	11	w
1847	15	s
1847	16	s
1847	10	s
1847	10	w
1847	8	w
1847	10	w
1847	9	w
1848	11	w
1848	14	w
1848	13	s
1848	10	s
1848	9	s
1848	8	s
1848	9	s
1848	8	w
1848	11	w
1849	9	w
1849	11	s
1849	9	s
1849	10	s
1849	9	s
1849	11	s
1849	10	s
1849	8	s
1849	9	s
1849	8	s
1849	10	s
1849	12	s
1849	11	w
1850	13	w
1850	11	w
1850	11	w
1850	12	w
1850	9	w
1850	12	s
1850	10	s
1851	9	s
1851	8	s
1852	10	s
1852	9	s
1852	8	s
1852	12	w
1853	6	w
1853	11	w
1853	9	w
1853	7	s
1853	5	s
1853	5	s
1853	5	s
1853	4	w
1853	8	w
1854	9	s
1854	37	w
1855	10	w
1855	10	w
1855	10	w
1855	8	w
1856	8	w
1856	8	w
1856	29	w
1857	9	w
1857	8	s
1857	7	s
1857	7	s
1857	8	w
1858	12	s
1858	10	s
1858	6	w
1858	6	w
1859	10	w
1859	38	w
1859	3	s
1859	7	s
1859	7	s
1859	11	s
1859	8	s
1859	4	s
1859	4	s
1859	8	s
1859	6	s
1859	5	s
1859	4	s
1859	10	s
1859	4	s
1859	3	s
1859	5	s
1859	4	s
1859	4	s
1859	5	s
1859	4	s
1859	4	s
1859	7	s
1859	8	s
1859	4	w
1859	3	w
1859	4	w
1859	8	w
1859	5	w
1859	6	w
1859	4	w
1859	6	w
1859	9	w
1860	6	s
1860	6	s
1860	9	s
1861	9	w
1861	19	s
1861	8	s
1868	8	w
1868	7	w
1869	6	s
1870	8	w
1870	2	w
1871	2	w
1871	1	w
1871	1	w
1871	3	w
1871	3	w
1871	2	w
1871	6	w
1871	6	w
1871	7	w
1871	3	s
1871	2	s
1871	3	s
1871	2	s
1871	7	w
1872	6	w
1872	7	s
1872	5	s
1873	9	w
1873	3	w
1873	3	s
1873	2	s
1873	3	s
1873	9	s
1873	6	s
1873	6	s
1874	3	s
1875	8	w
1875	7	s
1876	10	s
1877	7	s
1877	5	w
1878	2	s
1878	2	w
1879	3	w
1880	3	s
1881	2	w
1881	1	w
1881	1	s
1881	1	s
1881	2	s
1881	2	s
1883	305	s
1883	10	s
1883	3	s
1883	7	s
1884	8	s
1885	3	s
1885	1	s
1885	5	s
1885	3	w
1886	7	w
1887	4	w
1887	5	s
1887	4	s
1887	7	w
