reduction_16	reduction_48	reduction_96
0	16	64
0	16	65
0	16	66
0	17	67
0	17	68
0	18	69
0	18	70
0	18	71
1	19	72
1	20	73
1	20	74
1	20	75
1	21	76
1	21	77
1	21	78
2	22	79
2	22	80
2	22	81
2	23	82
2	23	83
2	23	84
2	24	85
2	25	86
2	25	87
3	25	88
3	26	89
3	26	90
3	27	91
3	28	92
3	29	93
4	29	94
4	30	95
4	30	96
4	30	97
4	30	98
5	30	99
5	31	100
5	31	101
5	32	102
5	32	103
5	33	104
5	33	105
6	34	106
6	34	107
6	34	108
6	35	109
6	35	110
6	35	111
6	35	112
6	36	113
6	36	114
6	37	115
6	37	116
6	37	117
7	38	118
7	39	119
7	39	120
7	40	121
7	40	122
7	41	123
7	41	124
7	42	125
7	42	126
7	43	127
7	44	128
8	44	129
8	44	130
8	44	131
8	45	132
9	46	133
9	47	134
9	48	135
9	48	136
10	49	137
10	50	138
10	50	139
10	50	140
11	51	141
11	52	142
11	53	143
11	53	144
12	54	145
12	54	146
12	55	147
13	55	148
13	56	149
13	56	150
13	57	151
13	57	152
13	58	153
13	59	154
14	60	155
14	61	156
14	61	157
15	62	158
15	63	159
