	Paris	London	Berlin	St. Petersburg	Wien	Madrid	Konstantinopel	Rom	Brüssel	Kopenhagen	New York	München	Riga	Hamburg	Turin	Bern	Dorpat	Dresden	Reval	Stockholm	Warschau	Domesnees	Florenz	Odessa	Neapel	Haag	Amsterdam	Athen	Lissabon	Hannover	Stuttgart	Bukarest	Triest	Versailles	Moskau	Karlsruhe	Main	Kassel	Belgrad	Budapest	Kiel	Leipzig	Frankfurt am Main	Köln	Italien	Washington	Königsberg	Darmstadt	Mailand	Breslau	Libau	Türkische Grenze	Mitau	Alexandrien	Posen	Weimar	Altona	Prag	Liverpool	Bremen	Pest	Antwerpen	Schweiz	Wiesbaden	Marseille	Genua	Stettin	Sofia	Straßburg	Venedig	Kairo	Gotha	Flensburg	Bolderaa	Zürich	Rendsburg	Basel	Bombay	Smyrna	Mainz	Lübeck	Kronstadt	Danzig	Schleswig	Augsburg	Genf	Semlin	Braunschweig	Christiania	Koblenz	Bayonne	Charkow	Tiflis	Dublin	Zagreb	Kiew	Schwerin	Livorno	Oldenburg	Potsdam	Pernau	Heidelberg	Ragusa	Mannheim	Korfu	Nürnberg	Bordeaux	Niederelbe	Krakau	Magdeburg	Wilna	Windau	Baden	Freiburg	Hongkong	Aachen	Lemberg	Palermo	Italienische Grenze	Memel	Calcutta	Düsseldorf	Bonn	Verona	Luxemburg	Barcelona	Toulon	Bologna	Itzehoe	Algier	Dünaburg	Eisenach	Philadelphia	Narwa	Spanische Grenze	Ankona	Koburg	Helsingör	Hanau	Erfurt	Gent	Helsingfors	Lüttich	Serbische Grenze	Alexandria	Fulda	Baden-Baden	Bremerhaven	Salzburg	Lyon	Malta	Sachsen	Münster	Würzburg	Fellin	Pera	Donau	Archangelsk	Rhein	Jassy	Innsbruck	Taschkent	Halle	Modena	Nizza	Elberfeld	Thüringen	Beirut	Stralsund	Preßburg	Zara	Gothenburg	Oesterreich	Tours	Perpignan	Luzern	Regensburg	Tilsit	Kasan	Parma	Rostock	Holstein	Zante	Wenden	Göttingen	Varna	Cadix	Hull	Dundee	Gibraltar	Tunis	Metz	Orenburg	Dessau	Twer	Ulm	Rastatt	Altenburg	Jena	Brünn	Arensburg	Dünkirchen	Meiningen	Orel	Trier	Gravenhaag	Mexiko	Teplitz	Nauplia	Shanghai	Swinemünde	Helgoland	Teheran	Ssaratow	Ostende	Cettinje	Malchin	Worms	Brandenburgischen	Wolmar	Kissingen	Saragossa	Hartlepool	Baltischport	Nowgorod	Astrachan	Hermannstadt	Konstanz	Philippopel	Rotterdam	Gravesend	Graz	Livadia	Boston	Nishni-Nowgorod	Tirnowo	Glasgow	Möttau	Bayreuth	Havre	Saarbrücken	Ofen	Olmütz	Ems	Galacz	Linz	Hapsal	Trapezunt	Grimsby	Goldingen	Plymouth	Newport	Sanssouci	Speyer	Peterhof	Zarskoje-Sselo	Dirschau	Schleswig-Holstein	Kaluga	Lausanne	Montevideo	Lille	Cattaro	Saldo	Tuckum	Kurland	Oger	Chur	Niederrhein	Elbing	Macao	Marienburg	Gastein	Oporto	Damaskus	Bromberg	Simla	Taganrog	Kahira	St. Gallen	Woronesh	Manchester	Porto	Gera	San Francisco	Poltawa	Kostroma	Coblenz	Gumbinnen	Born	Malaga	Tambow	Leith	Minden	Cuxhaven	Detmold	Walk	Texel	Karlsbad	Baiern	Polnische Grenze	Veracruz	Paderborn	Gießen	Frankreich	Rustschuk	Havanna	Marburg	Buenos Aires	Barnberg	Belfast	Ischl	Erlangen	Nyborg	DomeSueeS	Poretschje	Wladimir	Messina	Sellin	Portsmouth	Eider	Rio de Janeiro	Chicago	Lüneburg	Sigmaringen	Schwaben	Melbourne	Syra	Hadersleben	Mecklenburg	Newcastle	Sewastopol	Polangen	Smolensk	Jerusalem	Wittenberg	Bosnische Gränze	Kengeragge	Lodz	Witebsk	Werro	Abo	San Sebastian	Ungarn	Tula	Thorn	Ludwigsburg	Lindau	Neckar	Wesel	Tschernigow	Arbroath	Brest	Pensa	Galatz	Grangemouth	Kadir	Schaffhausen	Pillau	Southampton	Helvoet	Pskow	Santander
1802	11.614583333333334	11.294117647058824	7.2727272727272725	11.131868131868131	12.814814814814815		35.214285714285715	27.5	10.666666666666666			13.75	2.0	3.2		17.666666666666668	11.75		10.0	14.076923076923077			23.5		32.5	7.40625	7.166666666666667									13.0	9.555555555555555						10.0		21.333333333333332		10.0	6.0	20.666666666666668											6.0			19.5			23.0			12.666666666666666	23.0		18.0			16.333333333333332		13.2			9.5	4.0		10.0		11.5											39.0		28.0						13.0				3.0			33.0									9.0																			10.0											17.0		7.0	5.5						9.0																		11.0														72.0									10.4				35.0																							8.0															29.0																		17.0																										41.0																			12.0																					11.0																		13.0														13.0					
1803	10.6	13.115789473684211	9.428571428571429	12.490384615384615	12.5625	30.25	34.38461538461539	25.0	9.884615384615385	8.0				4.5		13.0	10.75			13.2			23.0		38.0	8.25	10.777777777777779		32.666666666666664	6.2							10.0						9.0	11.0	21.857142857142858		19.0	9.0	22.2			20.0			2.0		3.0						17.5						12.25	20.0						10.0				7.333333333333333		18.0	9.0											16.0			7.0	21.5								10.0		3.5									31.0											18.0					50.0					9.0	9.25																	36.0													6.0			12.0					10.571428571428571				7.0			6.0						43.5						16.5																																														12.0	17.0																																																32.0				7.0																													6.8																													19.0										
1804	11.669230769230769	13.9	6.0	14.387387387387387	13.837837837837839	30.428571428571427	39.21052631578947	25.428571428571427	9.666666666666666	7.764705882352941		7.0	3.0	4.333333333333333		19.0	16.0		14.666666666666666	13.1	12.0		24.666666666666668	42.5	28.0	7.56	7.7105263157894735		34.0	7.0		21.0	18.0		34.333333333333336		9.875	11.0	33.0			9.0	9.4		19.545454545454547		12.0	9.0	21.5				8.666666666666666			10.0				4.0		9.5	16.0			24.0			11.2	19.666666666666668					13.5					13.0					10.75													23.6				13.0		11.0																								24.0		52.0			52.0	13.0				6.0	9.5							8.0				19.0								57.0											7.142857142857143			38.0					10.0										32.666666666666664			42.0			73.66666666666667			10.5			13.0				16.0	34.0								5.0																		9.0																	17.0								66.5																			21.0												39.0					33.05555555555556	39.0								12.0																		30.0								11.0																											22.0	54.0									
1805	11.794871794871796	13.814814814814815	7.972222222222222	12.349056603773585	13.716981132075471	26.22222222222222	41.04545454545455	29.11111111111111	9.0	7.083333333333333	68.0	11.666666666666666	2.6666666666666665	5.142857142857143		17.0		11.5		15.0	22.0		24.5	50.0	26.333333333333332	8.666666666666666	7.620689655172414		37.2	7.631578947368421	12.0		33.5		32.0	13.333333333333334	9.722222222222221	10.0				10.846153846153847	10.0		20.846153846153847				21.0	11.333333333333334			41.0			8.0		15.75					17.0	24.0		22.625			12.0	24.857142857142858										10.333333333333334	3.0		10.0		12.555555555555555						21.0							26.857142857142858		10.5				10.444444444444445		11.75			13.0								30.5											26.0		42.5								7.0	10.25										14.0					12.333333333333334			16.0	38.5											6.0				5.5				10.9																			16.5				17.0															16.0															9.0																12.0																												31.0																	22.0									12.666666666666666													12.333333333333334					44.0						7.0		10.857142857142858																				9.0		15.0	11.0	20.0							29.6						
1806	12.914285714285715	14.39240506329114	8.513513513513514	14.574074074074074	16.58	34.333333333333336	39.55	32.714285714285715		9.411764705882353		18.0	2.0	9.833333333333334			4.0	12.0	32.0	22.0					36.05555555555556	11.731707317073171	10.526315789473685		38.0	12.0	14.25		32.0		37.0		13.18421052631579	6.0				14.375	24.444444444444443		26.5		16.75		25.0	20.0		27.0	35.0		11.0	17.0	4.0			4.0						23.0	9.5		13.666666666666666	19.0		6.0					26.5				20.666666666666668	16.0			15.523809523809524			33.5														14.428571428571429		17.5		13.333333333333334		13.0									34.0					14.0						26.0		53.0		11.5	59.0					14.0	10.0	10.0						17.0			14.0			35.2	14.0	29.5			18.0	71.0											13.0				19.5				12.083333333333334								26.5								77.0			15.0			30.0	17.25											12.0								4.5									20.0		6.0									13.0							27.0																																						18.0																25.0			9.0					25.0					16.333333333333332					52.0		14.0				14.0		13.0																								15.333333333333334									22.5				
1807	25.372093023255815	36.93939393939394	16.4	16.463768115942027	34.515151515151516	31.5	55.45454545454545	34.666666666666664		23.258064516129032			4.083333333333333	21.0				28.666666666666668		39.0	27.75				43.2	22.142857142857142	28.333333333333332		47.0	19.0	42.0	68.5	57.5		40.0		38.2	17.0			16.0	31.25	36.2				10.40625		33.666666666666664	37.333333333333336		91.0					26.5			24.5		28.0				44.0				32.0					38.0	14.0			64.0	17.0	27.5		11.8		46.5		40.0	48.0			23.0						26.4	46.0								21.666666666666668		23.90909090909091												13.714285714285714				33.5												25.0		19.666666666666668	10.0													46.0					20.0						60.0						35.75		62.0	26.0	26.0					23.0			29.0															25.0						19.0																																					59.0																					27.0																																													20.0																			32.0																																			6.5				
1808	12.051546391752577	25.7	6.833333333333333	16.194444444444443	12.333333333333334	24.68421052631579	41.55555555555556	31.444444444444443	22.5	12.651162790697674	72.5	14.75	2.7777777777777777	17.823529411764707		24.5		12.375		16.75	16.428571428571427		32.0	46.0	26.714285714285715	13.0	17.0		32.666666666666664	9.8		52.5	30.4				11.666666666666666	15.11111111111111	28.571428571428573		9.0	10.857142857142858	15.0		18.0	61.0	10.571428571428571	17.0	20.8	6.666666666666667	32.0		8.0			18.0	11.8	17.0		26.0		29.0	17.0				11.0		16.0	21.5		9.0			19.0	7.0	27.0		55.0	15.0	21.4	20.0	16.666666666666668		13.833333333333334		31.0				17.727272727272727							19.0								12.0	20.5	21.75		6.0										17.333333333333332								33.0					65.0					13.5		8.666666666666666						16.0								14.0			19.0	68.0					20.5						12.0			24.5	11.0		19.0										13.0							20.0								17.0																			6.0											26.0																21.5																										16.0									39.0	38.0																		18.0					21.0					13.0																11.0							27.0									34.0																					
1809	11.604166666666666	18.884615384615383	6.117647058823529	10.87912087912088	14.948453608247423	27.894736842105264	45.5	22.571428571428573	14.0	9.375	45.0	12.63888888888889	3.6666666666666665	7.8	24.0	20.0		8.653846153846153	54.0	20.2	14.0		31.0	64.0	29.363636363636363		8.538461538461538		51.0	6.0	11.75	40.0	25.333333333333332		23.0	11.0	9.588235294117647	8.875	47.0			8.931034482758621	10.347826086956522		28.0	57.0	10.0	13.0	20.666666666666668	12.0					11.4	18.0	4.0	11.285714285714286			26.0	12.285714285714286	17.0		21.0		7.0		12.8	21.0		12.333333333333334			18.0						3.0	17.0			11.86046511627907		36.166666666666664	13.0			19.05263157894737	33.0				35.0						14.0		23.0		11.444444444444445	17.5	9.0		8.25		67.0												22.0			20.0											11.0	13.0										15.444444444444445	21.5		7.5		14.0			14.166666666666666	38.0					8.0		22.0				6.75		28.0	17.0	14.666666666666666				15.8															17.0	46.75		23.5	12.333333333333334				18.0	25.0														19.0			17.0				31.0				58.5				14.25		18.0										19.333333333333332				20.0									19.5				25.0									14.0										99.0		13.0	36.0						34.0													14.0					25.0								13.5				52.5																44.0									13.0		17.0			12.857142857142858	12.0														24.0	
1810	11.134920634920634	17.47945205479452	6.75	12.663461538461538	12.507936507936508	29.916666666666668	44.142857142857146	29.444444444444443	10.5	7.0	46.0	13.821428571428571	5.0	3.888888888888889	20.0	17.666666666666668	20.0	8.521739130434783	31.22222222222222	16.296296296296298	11.692307692307692			44.8	24.5		8.06060606060606		29.333333333333332	8.285714285714286	14.25		23.5		25.4	12.0	9.731707317073171	8.666666666666666		18.0		14.3	9.80952380952381		20.833333333333332	40.0	14.4		18.375	6.0	29.5		5.333333333333333		11.0	18.0		13.0		7.0		9.666666666666666	20.0		22.5	23.0			13.0	20.0		11.333333333333334					18.0		52.0	17.666666666666668		20.333333333333332	14.166666666666666		12.0						19.76923076923077	35.333333333333336			38.0	42.0	8.0	22.0				15.0		11.0		12.666666666666666	24.0	7.428571428571429		6.0	15.0	25.0																		45.0				14.0		18.5		8.4		13.0									13.75			9.5		13.0			12.5	47.0	11.0				11.0						7.5	17.0	42.0	13.5	13.75				13.333333333333334		39.5		6.0				11.0		37.5			42.0			59.0		19.0					34.0	34.0			31.666666666666668															10.0			37.0			14.0	45.5				9.0										14.0						18.0														20.5					10.5													43.5		13.0	32.0						24.0					30.0					26.0								16.5								15.0				29.0			15.0						13.0							35.888888888888886	34.25		6.0					34.0			25.0				13.0			23.0			32.0								25.0	
1811	10.066666666666666	17.185185185185187	8.0	13.293577981651376	10.967213114754099	39.0	45.45454545454545	30.0	10.666666666666666	10.25	51.857142857142854	13.11111111111111	2.7777777777777777	5.35	23.5	18.25	14.5	10.5	24.0	13.944444444444445	15.333333333333334		23.666666666666668	41.0	26.545454545454547		8.6875		35.5		12.0				26.555555555555557	11.333333333333334	11.0	7.0				16.75	10.625		22.333333333333332		10.375		19.444444444444443	6.0					30.0	15.0	5.0					12.8	16.2			23.5			12.0	31.666666666666668		14.0			16.333333333333332		18.666666666666668		79.0	7.0	18.666666666666668	20.0	10.0		11.461538461538462			13.0								30.0		26.0		3.0				9.0		11.5				6.5						14.0	30.0			24.0							20.0						88.0	23.0		33.0		7.0		15.0												15.571428571428571	14.0					34.0									14.0		6.0			13.0	9.0				19.0	17.0	35.0	17.0							41.6			35.0	56.0	13.0	42.333333333333336	6.0	25.375	14.5					43.0	14.0										25.0			13.0							75.0				45.5	25.0			8.0																					21.0								29.75	13.0		13.0								14.0		12.0						42.5			34.5					34.666666666666664	28.0					32.5													17.0											36.2	29.0			15.0				11.0		12.0						37.0		28.75										15.0	30.0				16.0	15.0												25.333333333333332	
